"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-149-5p","hsa-mir-3065-5p",6667,"SP1",148,"ADRA1A",1,0.001,0,0.5245,0.013,0.0205,0.001,0.014695652173913
"hsa-mir-135a-5p","hsa-mir-141-3p",4205,"MEF2A",640,"BLK",1,0,0,0.0015,0.0375,0.0175,0.0015,0.0200176991150442
"hsa-mir-149-5p","hsa-mir-20b-5p",6667,"SP1",1027,"CDKN1B",1,0,0,0.009,0.013,0.265,0,0
"hsa-mir-20b-5p","hsa-mir-338-3p",3091,"HIF1A",1048,"CEACAM5",1,0,0,0.003,0.018,0.034,0.005,0.0463670766319773
"hsa-mir-338-3p","hsa-mir-9-5p",3091,"HIF1A",2305,"FOXM1",1,0,0.0015,0.0145,0.014,0.2315,0,0
"hsa-mir-20b-5p","hsa-mir-503-5p",6667,"SP1",3459,"IFNGR1",1,0,0,0,0.0155,0.1065,5e-04,0.00866666666666666
"hsa-mir-106a-5p","hsa-mir-20b-5p",6774,"STAT3",3569,"IL6",1,0,0,0,0.0615,0.0515,0.001,0.014695652173913
"hsa-mir-106a-5p","hsa-mir-20b-5p",1316,"KLF6",4843,"NOS2",1,0,0,5e-04,0.148,0.0295,0.0015,0.0200176991150442
"hsa-mir-106a-5p","hsa-mir-20b-5p",3091,"HIF1A",4843,"NOS2",1,0,0,0,0.148,0.0295,0.0015,0.0200176991150442
"hsa-mir-129-5p","hsa-mir-362-3p",7003,"TEAD1",5130,"PCYT1A",1,0.001,0.0015,0.1795,0.5345,0.0435,0.0035,0.0365746268656716
"hsa-let-7g-3p","hsa-mir-106a-5p",1385,"CREB1",5663,"PSEN1",1,0,0,0.033,0.275,0.168,0.0055,0.0493690476190476
"hsa-mir-135a-5p","hsa-mir-141-3p",4205,"MEF2A",6480,"ST6GAL1",1,0,0,0.0015,0.127,0.027,0.0015,0.0200176991150442
"hsa-mir-33a-3p","hsa-mir-33a-5p",8648,"NCOA1",6788,"STK3",1,0.0035,0.009,0.0055,0.023,0.5115,5e-04,0.00866666666666666
"hsa-mir-205-5p","hsa-mir-31-5p",367,"AR",6792,"CDKL5",1,0,0,0.0185,0.6785,0.0155,0,0
"hsa-mir-106a-5p","hsa-mir-20b-5p",864,"RUNX3",6932,"TCF7",1,0.001,0.0045,0.1235,0.0755,0.019,0.0015,0.0200176991150442
"hsa-mir-149-5p","hsa-mir-3065-5p",6667,"SP1",8714,"ABCC3",1,0.001,0,0.5245,0.915,0.1695,0.001,0.014695652173913
"hsa-mir-20b-3p","hsa-mir-33a-3p",3662,"IRF4",8837,"CFLAR",1,0.0095,0,0.075,0.2535,0.0375,0.001,0.014695652173913
"hsa-mir-149-5p","hsa-mir-3065-5p",6667,"SP1",10253,"SPRY2",1,0.001,0,0.5245,0.014,0.012,0.003,0.0330590219224283
"hsa-mir-33a-3p","hsa-mir-33a-5p",8648,"NCOA1",10905,"MAN1A2",1,0.0035,0.009,0.0055,0.3635,0.122,0.002,0.0248466413181242
"hsa-mir-20b-5p","hsa-mir-33a-3p",6925,"TCF4",23236,"PLCB1",1,0,0,0.0115,0.0365,0.0245,0.002,0.0248466413181242
"hsa-mir-106a-5p","hsa-mir-20b-5p",1316,"KLF6",23604,"DAPK2",1,0,0,5e-04,0.0275,0.044,0.0055,0.0493690476190476
"hsa-mir-20b-3p","hsa-mir-20b-5p",8202,"NCOA3",23613,"ZMYND8",1,0.0035,0,0,0.3705,0.034,0.001,0.014695652173913
"hsa-mir-106a-5p","hsa-mir-20b-5p",10009,"ZBTB33",26009,"ZZZ3",1,0,0,0,0.015,0.382,0.005,0.0463670766319773
"hsa-mir-182-5p","hsa-mir-96-5p",6591,"SNAI2",56894,"AGPAT3",-1,0,0,0,0.2985,0.0345,0.0055,0.0493690476190476
"hsa-mir-33a-3p","hsa-mir-33a-5p",8648,"NCOA1",57488,"ESYT2",1,0.0035,0.009,0.0055,0.0555,0.0845,0,0
"hsa-mir-106a-5p","hsa-mir-20b-5p",6925,"TCF4",57507,"ZNF608",1,0,0,0,0.054,0.035,0.0015,0.0200176991150442
"hsa-mir-106a-5p","hsa-mir-20b-5p",55810,"FOXJ2",57545,"CC2D2A",1,0,0,0,0.0125,0.0355,0.0025,0.0290860534124629
"hsa-mir-106a-5p","hsa-mir-135a-5p",4205,"MEF2A",79712,"GTDC1",1,0,0,0.005,0.2635,0.5035,0.0055,0.0493690476190476
"hsa-mir-106a-5p","hsa-mir-20b-5p",6925,"TCF4",84708,"LNX1",1,0,0,0,0.023,0.03,5e-04,0.00866666666666666
