miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-195-5p,hsa-mir-27b-3p,10009,26065,1,0.0005,0.003,0.0065,0.3125,0.526,0.0015,True,0.00926164766692629
hsa-mir-186-5p,hsa-mir-19b-3p,10499,10564,1,0.0,0.002,0.241,0.0115,0.0185,0.0055,True,0.02511300921562467
hsa-mir-181a-5p,hsa-mir-200b-3p,10499,157680,1,0.0005,0.004,0.2885,0.3735,0.015,0.009,True,0.036198215026982145
hsa-mir-19b-1-5p,hsa-mir-450b-5p,10499,204851,1,0.001,0.0,0.4035,0.6505,0.013,0.0,True,0.0
hsa-mir-181a-5p,hsa-mir-19b-3p,10499,9910,1,0.001,0.0005,0.383,0.766,0.015,0.0085,True,0.03471397292993631
hsa-mir-129-5p,hsa-mir-183-5p,1316,81671,1,0.001,0.0005,0.0025,0.432,0.067,0.001,True,0.006677502105827398
hsa-mir-10b-5p,hsa-mir-424-5p,144455,1786,1,0.0015,0.005,0.003,0.0445,0.105,0.009,True,0.036198215026982145
hsa-mir-10b-5p,hsa-mir-3913-5p,144455,29128,1,0.0015,0.0015,0.1075,0.15,0.0845,0.007,True,0.03005911754567391
hsa-mir-222-5p,hsa-mir-27b-3p,171017,29123,1,0.0005,0.003,0.096,0.0835,0.07,0.002,True,0.011619894729828769
hsa-mir-197-3p,hsa-mir-874-3p,1869,137682,1,0.0,0.008,0.0185,0.2555,0.2905,0.0,True,0.0
hsa-mir-500a-3p,hsa-mir-874-3p,1869,137682,1,0.008,0.0055,0.0085,0.1335,0.256,0.0065,True,0.028436460554371
hsa-mir-181b-5p,hsa-mir-223-3p,1869,2271,1,0.004,0.006,0.078,0.1965,0.0265,0.0005,True,0.0037510861616552676
hsa-mir-17-3p,hsa-mir-181b-5p,1869,5800,1,0.001,0.0025,0.3425,0.2335,0.2405,0.0065,True,0.028436460554371
hsa-mir-30b-3p,hsa-mir-30c-2-3p,2034,112399,1,0.0,0.001,0.002,0.029,0.18,0.004,True,0.019795465508924266
hsa-mir-30b-3p,hsa-mir-625-5p,2034,112399,1,0.0,0.001,0.0015,0.044,0.027,0.002,True,0.011619894729828769
hsa-mir-365a-3p,hsa-mir-625-5p,2034,112399,1,0.008,0.0005,0.0065,0.775,0.026,0.0015,True,0.00926164766692629
hsa-mir-23b-3p,hsa-mir-769-3p,2034,135,1,0.0,0.0,0.002,0.112,0.9895,0.001,True,0.006677502105827398
hsa-mir-130a-5p,hsa-mir-744-5p,2034,5460,1,0.0005,0.0,0.0,0.014,0.2255,0.0015,True,0.00926164766692629
hsa-mir-142-5p,hsa-mir-30b-3p,2034,5460,1,0.001,0.0,0.0195,0.3215,0.3425,0.006,True,0.026780416645339613
hsa-mir-182-5p,hsa-mir-744-5p,2034,5460,1,0.0,0.0,0.0,0.227,0.206,0.0,True,0.0
hsa-mir-21-3p,hsa-mir-30b-3p,2034,5460,1,0.0,0.0,0.001,0.8075,0.3285,0.008,True,0.033179329861358825
hsa-mir-22-5p,hsa-mir-30b-3p,2034,5460,1,0.0,0.0,0.0065,0.069,0.314,0.001,True,0.006677502105827398
hsa-mir-17-5p,hsa-mir-19a-3p,2099,134,1,0.0,0.0,0.0,0.051,0.077,0.002,True,0.011619894729828769
hsa-mir-17-5p,hsa-mir-19b-3p,2099,134,1,0.0,0.0005,0.0,0.031,0.0135,0.0035,True,0.01787491581012621
hsa-mir-17-5p,hsa-mir-19a-3p,2099,1950,1,0.0,0.0,0.0,0.095,0.0505,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-454-3p,2099,1950,1,0.0005,0.0,0.1775,0.1185,0.188,0.0035,True,0.01787491581012621
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,1950,1,0.0,0.0005,0.0,0.087,0.0125,0.0015,True,0.00926164766692629
hsa-mir-19b-3p,hsa-mir-301a-3p,2099,23613,1,0.001,0.0015,0.019,0.0215,0.078,0.0025,True,0.013825707128361238
hsa-mir-301a-3p,hsa-mir-9-5p,2099,2934,1,0.0,0.008,0.0215,0.442,0.013,0.002,True,0.011619894729828769
hsa-mir-17-5p,hsa-mir-19b-3p,2099,3315,1,0.0,0.0005,0.0,0.285,0.03,0.0035,True,0.01787491581012621
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,3315,1,0.0,0.0005,0.0,0.165,0.038,0.0015,True,0.00926164766692629
hsa-mir-19a-3p,hsa-mir-301b-3p,2099,3315,1,0.0,0.0,0.005,0.1355,0.02,0.0095,True,0.037670603883406845
hsa-mir-19a-3p,hsa-mir-454-3p,2099,3315,1,0.0,0.0005,0.001,0.137,0.0865,0.008,True,0.033179329861358825
hsa-mir-19b-3p,hsa-mir-454-3p,2099,3315,1,0.001,0.001,0.0135,0.0245,0.11,0.0005,True,0.0037510861616552676
hsa-mir-129-5p,hsa-mir-192-5p,2099,3964,1,0.0,0.0045,0.012,0.11,0.7375,0.006,True,0.026780416645339613
hsa-mir-17-5p,hsa-mir-19a-3p,2099,3964,1,0.0,0.0,0.0,0.037,0.0795,0.008,True,0.033179329861358825
