"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-193b-5p","hsa-mir-221-5p",7026,"NR2F2",58,"ACTA1",1,0,0,0.119,0.0995,0.048,0.0015,0.00926164766692629
"hsa-mir-409-3p","hsa-mir-484",7543,"ZFX",118,"ADD1",1,0,0,0.2135,0.0275,0.101,0.003,0.0158793590093781
"hsa-mir-17-5p","hsa-mir-19b-3p",2099,"ESR1",134,"ADORA1",1,0,5e-04,0,0.031,0.0135,0.0035,0.0178749158101262
"hsa-mir-17-5p","hsa-mir-19a-3p",2099,"ESR1",134,"ADORA1",1,0,0,0,0.051,0.077,0.002,0.0116198947298288
"hsa-mir-23b-3p","hsa-mir-769-3p",2034,"EPAS1",135,"ADORA2A",1,0,0,0.002,0.112,0.9895,0.001,0.00667750210582739
"hsa-mir-200b-3p","hsa-mir-223-3p",6667,"SP1",151,"ADRA2B",1,0.0075,0,0.3275,0.014,0.019,0.0035,0.0178749158101262
"hsa-mir-185-5p","hsa-mir-27b-3p",7157,"TP53",174,"AFP",-1,0.004,0.004,5e-04,0.013,0.3815,0.003,0.0158793590093781
"hsa-mir-200b-3p","hsa-mir-29b-3p",6667,"SP1",183,"AGT",1,0.0075,0,0.069,0.166,0.241,0.005,0.0234167136604098
"hsa-mir-200b-3p","hsa-mir-29a-3p",6667,"SP1",183,"AGT",1,0.0095,0.002,0.522,0.214,0.517,0.0055,0.0251130092156247
"hsa-mir-200b-3p","hsa-mir-223-3p",6667,"SP1",183,"AGT",1,0.0075,0,0.3275,0.203,0.016,0.008,0.0331793298613588
"hsa-mir-155-5p","hsa-mir-29b-3p",6667,"SP1",183,"AGT",1,0,0.0015,0.537,0.0155,0.2505,0.0065,0.028436460554371
"hsa-mir-126-5p","hsa-mir-223-3p",6667,"SP1",328,"APEX1",-1,0,0,0.0805,0.0215,0.4925,0.0075,0.0316612809527267
"hsa-mir-126-5p","hsa-mir-29a-3p",6667,"SP1",328,"APEX1",-1,0,5e-04,0.0655,0.027,0.1505,5e-04,0.00375108616165526
"hsa-mir-17-5p","hsa-mir-340-5p",6774,"STAT3",330,"BIRC3",1,0,0,0.144,0.035,0.0655,0,0
"hsa-mir-21-3p","hsa-mir-940",6774,"STAT3",330,"BIRC3",1,5e-04,5e-04,0.0165,0.2305,0.022,0,0
"hsa-mir-15b-5p","hsa-mir-340-5p",6774,"STAT3",330,"BIRC3",1,0.0035,0,0,0.1735,0.0635,0,0
"hsa-mir-18a-5p","hsa-mir-940",6774,"STAT3",330,"BIRC3",1,0,5e-04,0.0035,0.1595,0.019,0.007,0.0300591175456739
"hsa-mir-34a-5p","hsa-mir-362-3p",6774,"STAT3",330,"BIRC3",1,0.0015,0,0.042,0.6465,0.086,0,0
"hsa-mir-106b-5p","hsa-mir-34a-5p",6774,"STAT3",330,"BIRC3",1,0,0.0035,0.01,0.0405,0.623,0,0
"hsa-mir-17-5p","hsa-mir-362-3p",6774,"STAT3",330,"BIRC3",1,0,0,0.0215,0.03,0.1185,0.001,0.00667750210582739
"hsa-mir-15b-5p","hsa-mir-34a-5p",6774,"STAT3",330,"BIRC3",1,0.004,0.003,0.024,0.175,0.6575,0,0
"hsa-mir-106b-5p","hsa-mir-18a-5p",6774,"STAT3",330,"BIRC3",1,0,0,0,0.0225,0.1505,0.0035,0.0178749158101262
"hsa-mir-182-5p","hsa-mir-340-5p",6774,"STAT3",330,"BIRC3",1,0.009,0,0.0425,0.011,0.0605,0.0095,0.0376706038834068
"hsa-mir-17-5p","hsa-mir-34a-5p",6774,"STAT3",330,"BIRC3",1,0,5e-04,5e-04,0.018,0.615,0,0
"hsa-mir-17-5p","hsa-mir-18a-5p",6774,"STAT3",330,"BIRC3",1,0,0,5e-04,0.0245,0.1645,0.002,0.0116198947298288
"hsa-mir-1-3p","hsa-mir-145-5p",2113,"ETS1",356,"FASLG",1,0,5e-04,0.0015,0.0305,0.013,0.0015,0.00926164766692629
"hsa-mir-2110","hsa-mir-532-3p",4779,"NFE2L1",395,"ARHGAP6",1,0.003,0,5e-04,0.0135,0.028,0.002,0.0116198947298288
"hsa-mir-2110","hsa-mir-629-3p",4779,"NFE2L1",395,"ARHGAP6",1,0.0035,0,0.0415,0.017,0.014,0.004,0.0197954655089243
"hsa-mir-182-5p","hsa-mir-21-3p",4205,"MEF2A",467,"ATF3",1,0.0045,0,0.111,0.411,0.0795,0.0025,0.0138257071283612
"hsa-mir-106b-5p","hsa-mir-17-5p",4205,"MEF2A",467,"ATF3",1,0.0065,0.0045,0.2415,0.685,0.024,0.009,0.0361982150269821
"hsa-mir-17-5p","hsa-mir-19b-1-5p",4205,"MEF2A",467,"ATF3",1,0.001,0,0,0.0245,0.306,0.009,0.0361982150269821
"hsa-mir-491-5p","hsa-mir-589-3p",367,"AR",472,"ATM",1,5e-04,0,0.004,0.067,0.114,0,0
"hsa-mir-214-3p","hsa-mir-362-5p",7003,"TEAD1",473,"RERE",1,0.0035,0,0.085,0.1215,0.1955,0.0015,0.00926164766692629
"hsa-let-7a-3p","hsa-mir-362-5p",7003,"TEAD1",473,"RERE",1,0.001,0,0,0.042,0.2065,0.004,0.0197954655089243
"hsa-mir-214-3p","hsa-mir-503-5p",7003,"TEAD1",473,"RERE",1,0.009,0.006,5e-04,0.106,0.014,0,0
"hsa-mir-214-3p","hsa-mir-362-3p",7003,"TEAD1",473,"RERE",1,0.008,5e-04,0.115,0.0895,0.013,0,0
"hsa-mir-301a-3p","hsa-mir-9-5p",2099,"ESR1",493,"ATP2B4",1,0,0.008,0.0215,0.2305,0.1525,5e-04,0.00375108616165526
"hsa-let-7e-5p","hsa-mir-501-3p",6774,"STAT3",604,"BCL6",1,0.005,0,0.135,0.3125,0.0135,0.009,0.0361982150269821
"hsa-let-7e-5p","hsa-mir-17-3p",6774,"STAT3",604,"BCL6",1,0.007,0,0.487,0.311,0.201,0.0025,0.0138257071283612
