"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-342-3p","hsa-mir-93-5p",4601,"MXI1",47,"ACLY",-1,0,0,0.008,0.8765,0.0105,0.0035,0.0101818123310593
"hsa-mir-26b-5p","hsa-mir-93-5p",4601,"MXI1",47,"ACLY",-1,0.001,0,0.025,0.9465,0.0145,0.0035,0.0101818123310593
"hsa-mir-20a-5p","hsa-mir-93-5p",4601,"MXI1",47,"ACLY",-1,0,0,0,0.0645,0.012,5e-04,0.00189985829570563
"hsa-mir-935","hsa-mir-937-3p",7026,"NR2F2",58,"ACTA1",1,0,0,0,0.1115,0.0555,0.0025,0.00768582394092499
"hsa-mir-421","hsa-mir-935",7026,"NR2F2",58,"ACTA1",1,0,0,0,0.0395,0.151,0,0
"hsa-mir-188-5p","hsa-mir-940",6722,"SRF",70,"ACTC1",1,0.006,5e-04,0,0.0115,0.0165,0.007,0.0181534817389024
"hsa-mir-149-5p","hsa-mir-299-5p",6667,"SP1",102,"ADAM10",1,0.0015,0.0045,0.001,0.066,0.3315,0.001,0.00350499590136694
"hsa-mir-26b-5p","hsa-mir-744-3p",7543,"ZFX",118,"ADD1",1,0,0.0055,0.063,0.072,0.0535,5e-04,0.00189985829570563
"hsa-mir-26b-3p","hsa-mir-501-5p",1385,"CREB1",148,"ADRA1A",1,0,0,5e-04,0.041,0.0105,0,0
"hsa-mir-16-2-3p","hsa-mir-2110",367,"AR",231,"AKR1B1",1,0,0,0,0.065,0.016,0.009,0.0223565663861324
"hsa-mir-532-3p","hsa-mir-7-5p",7003,"TEAD1",288,"ANK3",1,0,0,0,0.7885,0.062,0.003,0.00895381742034071
"hsa-mir-362-3p","hsa-mir-93-3p",405,"ARNT",288,"ANK3",1,0.0025,5e-04,5e-04,0.7275,0.0505,0,0
"hsa-mir-19b-1-5p","hsa-mir-429",9839,"ZEB2",307,"ANXA4",-1,0,0,0,0.051,0.012,0,0
"hsa-mir-335-5p","hsa-mir-429",9839,"ZEB2",307,"ANXA4",-1,0,0,0,0.536,0.0125,0.0025,0.00768582394092499
"hsa-mir-130a-3p","hsa-mir-362-5p",7003,"TEAD1",323,"APBB2",1,0.005,0,0.0485,0.457,0.0195,0.005,0.0137450043440487
"hsa-mir-503-5p","hsa-mir-505-3p",7003,"TEAD1",323,"APBB2",1,0,0,0,0.046,0.089,0.005,0.0137450043440487
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",355,"FAS",1,0,0,0,0.012,0.021,0.007,0.0181534817389024
"hsa-mir-129-5p","hsa-mir-192-5p",10664,"CTCF",402,"ARL2",-1,0,0.003,0.021,0.0975,0.0105,5e-04,0.00189985829570563
"hsa-mir-335-3p","hsa-mir-494-3p",7003,"TEAD1",473,"RERE",1,0,0.0085,0.0095,0.013,0.0535,0.004,0.0114075062191297
"hsa-mir-335-3p","hsa-mir-335-5p",7003,"TEAD1",473,"RERE",1,0,0,0.0325,0.012,0.1235,0.0075,0.0192214077433987
"hsa-mir-183-5p","hsa-mir-576-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.0205,0.102,0.005,0.0137450043440487
"hsa-mir-183-5p","hsa-mir-222-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.015,0.019,0.0015,0.00497708682885906
"hsa-mir-183-5p","hsa-mir-93-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.015,0.114,0.001,0.00350499590136694
"hsa-mir-19b-1-5p","hsa-mir-222-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.0395,0.0595,0.0025,0.00768582394092499
"hsa-mir-17-5p","hsa-mir-183-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.0185,0.02,0.0015,0.00497708682885906
"hsa-mir-222-5p","hsa-mir-576-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.036,0.0965,0,0
"hsa-mir-148a-5p","hsa-mir-93-5p",2908,"NR3C1",481,"ATP1B1",-1,0.004,0,0,0.0105,0.0935,0.0085,0.0213281919111816
"hsa-mir-182-5p","hsa-mir-33a-3p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.031,0.0185,0.005,0.0137450043440487
"hsa-mir-182-5p","hsa-mir-222-5p",2908,"NR3C1",481,"ATP1B1",-1,0,0,0,0.0135,0.0385,0.0035,0.0101818123310593
"hsa-mir-133a-3p","hsa-mir-133b",6667,"SP1",595,"CCND1",1,0.008,0.0035,0.0035,0.0105,0.0345,0.005,0.0137450043440487
"hsa-mir-1292-5p","hsa-mir-1304-5p",4303,"FOXO4",604,"BCL6",1,0.0055,0,0.1095,0.0185,0.043,0.008,0.0202732704352144
"hsa-mir-539-5p","hsa-mir-940",5978,"REST",627,"BDNF",-1,0.0015,0,0.023,0.06,0.0495,0.007,0.0181534817389024
"hsa-mir-18a-5p","hsa-mir-93-3p",3091,"HIF1A",665,"BNIP3L",1,0.0015,0.002,0.0815,0.183,0.0235,0,0
"hsa-mir-1301-3p","hsa-mir-33a-3p",11016,"ATF7",677,"ZFP36L1",1,0,0,0,0.185,0.0495,0.002,0.00636012784176566
"hsa-mir-1301-3p","hsa-mir-940",11016,"ATF7",677,"ZFP36L1",1,0,0,0,0.2035,0.016,0.002,0.00636012784176566
"hsa-mir-33a-3p","hsa-mir-424-5p",11016,"ATF7",677,"ZFP36L1",1,0,0,0,0.048,0.0115,0.008,0.0202732704352144
"hsa-mir-1301-3p","hsa-mir-155-5p",11016,"ATF7",677,"ZFP36L1",1,0,0,0.0045,0.1935,0.138,0.005,0.0137450043440487
"hsa-mir-550a-5p","hsa-mir-940",11016,"ATF7",677,"ZFP36L1",1,0,0,0,0.023,0.0145,0,0
"hsa-mir-33a-3p","hsa-mir-550a-5p",11016,"ATF7",677,"ZFP36L1",1,0,0,0,0.0445,0.0195,0.0015,0.00497708682885906
"hsa-mir-130b-3p","hsa-mir-18a-5p",2099,"ESR1",860,"RUNX2",1,0,0,0,0.0165,0.011,0.004,0.0114075062191297
"hsa-mir-26b-5p","hsa-mir-3065-3p",6664,"SOX11",861,"RUNX1",1,0,0.001,0.1695,0.0175,0.5215,0.0035,0.0101818123310593
"hsa-mir-153-3p","hsa-mir-3065-3p",6664,"SOX11",861,"RUNX1",1,0,0.0015,0.127,0.0465,0.639,0.0045,0.0125888120667704
"hsa-mir-7-1-3p","hsa-mir-93-5p",6774,"STAT3",896,"CCND3",1,0,0,0,0.016,0.077,0,0
"hsa-mir-18a-5p","hsa-mir-20a-3p",6774,"STAT3",896,"CCND3",1,0,0,5e-04,0.019,0.297,0.0025,0.00768582394092499
"hsa-mir-26b-5p","hsa-mir-93-5p",6774,"STAT3",896,"CCND3",1,5e-04,0,5e-04,0.251,0.056,0.003,0.00895381742034071
"hsa-mir-20a-3p","hsa-mir-93-5p",6774,"STAT3",896,"CCND3",1,0,0,0,0.3275,0.0895,0,0
"hsa-mir-130b-5p","hsa-mir-33a-3p",2308,"FOXO1",901,"CCNG2",1,5e-04,0,0.455,0.3665,0.05,0.0075,0.0192214077433987
"hsa-mir-19b-1-5p","hsa-mir-324-5p",2113,"ETS1",915,"CD3D",1,0,0.003,0.069,0.2185,0.342,0.0095,0.023381989172034
"hsa-mir-19b-1-5p","hsa-mir-324-5p",2113,"ETS1",923,"CD6",1,0,0.003,0.069,0.105,0.591,0,0
"hsa-mir-19b-1-5p","hsa-mir-324-5p",2113,"ETS1",925,"CD8A",1,0,0.003,0.069,0.098,0.0185,0.0025,0.00768582394092499
