miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-192-3p,hsa-mir-192-5p,10127,1523,-1,0.003,0.0025,0.0015,0.0235,0.0165,0.0075,True,0.023634799767259476
hsa-mir-192-3p,hsa-mir-192-5p,10127,1953,-1,0.003,0.0025,0.0015,0.013,0.0355,0.0075,True,0.023634799767259476
hsa-mir-192-3p,hsa-mir-192-5p,10127,3340,-1,0.003,0.0025,0.0015,0.0445,0.094,0.003,True,0.011271082157075642
hsa-mir-192-3p,hsa-mir-192-5p,10127,349136,-1,0.003,0.0025,0.0015,0.023,0.036,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-20b-5p,10379,3437,1,0.0,0.0,0.0,0.0735,0.0495,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-302c-3p,10379,4940,1,0.0,0.0,0.0015,0.1835,0.0285,0.0005,True,0.002452608781256153
hsa-mir-20b-5p,hsa-mir-302c-3p,10379,4940,1,0.0,0.0,0.0045,0.069,0.0205,0.0005,True,0.002452608781256153
hsa-mir-125b-5p,hsa-mir-152-3p,10499,2186,1,0.0,0.0,0.002,0.018,0.1575,0.0085,True,0.026125194305312245
hsa-mir-200a-3p,hsa-mir-582-3p,10499,2186,1,0.0,0.0,0.005,0.3135,0.5345,0.004,True,0.014251408631982381
hsa-mir-200b-3p,hsa-mir-582-3p,10499,2186,1,0.0,0.0,0.05,0.282,0.5105,0.006,True,0.019740320109872693
hsa-mir-33b-3p,hsa-mir-424-5p,11016,667,1,0.0,0.009,0.025,0.495,0.0285,0.0005,True,0.002452608781256153
hsa-mir-106a-5p,hsa-mir-9-5p,1316,10938,1,0.0025,0.0,0.2885,0.9425,0.1435,0.0015,True,0.0063445044310889275
hsa-mir-20b-5p,hsa-mir-9-5p,1316,10938,1,0.0,0.0,0.3165,0.4105,0.1435,0.0,True,0.0
hsa-mir-301b-3p,hsa-mir-7-1-3p,1316,10938,1,0.006,0.0,0.0035,0.24,0.0165,0.0005,True,0.002452608781256153
hsa-mir-3609,hsa-mir-9-5p,1316,10938,1,0.0015,0.0,0.0545,0.084,0.1365,0.007,True,0.022389359626149026
hsa-mir-9-5p,hsa-mir-92b-3p,1316,10938,1,0.0,0.0,0.0235,0.143,0.034,0.0085,True,0.026125194305312245
hsa-mir-183-5p,hsa-mir-9-5p,1316,11221,1,0.0,0.0,0.2305,0.0105,0.209,0.0,True,0.0
hsa-mir-18a-3p,hsa-mir-7-1-3p,1316,3688,1,0.0,0.0,0.1455,0.0285,0.018,0.008,True,0.024878769722388654
hsa-mir-124-3p,hsa-mir-200c-3p,1316,4739,1,0.0,0.0055,0.1,0.017,0.0835,0.0005,True,0.002452608781256153
hsa-mir-183-5p,hsa-mir-7-1-3p,1316,6867,1,0.0,0.0,0.01,0.0195,0.281,0.0035,True,0.012789322381930184
hsa-mir-302a-3p,hsa-mir-512-3p,1385,359,1,0.0,0.0,0.002,0.011,0.0265,0.001,True,0.004498826248690815
hsa-mir-520a-3p,hsa-mir-520d-3p,1385,4763,1,0.0,0.0,0.0,0.018,0.026,0.0075,True,0.023634799767259476
hsa-mir-520a-3p,hsa-mir-520h,1385,4763,1,0.0,0.0,0.0,0.0155,0.011,0.002,True,0.008057438551099612
hsa-mir-520a-3p,hsa-mir-526b-5p,1385,4763,1,0.0,0.0,0.0,0.0145,0.082,0.0095,True,0.028517627780321467
hsa-mir-520d-3p,hsa-mir-526b-3p,1385,4763,1,0.0,0.0,0.0,0.018,0.0135,0.004,True,0.014251408631982381
hsa-mir-520g-3p,hsa-mir-526b-3p,1385,4763,1,0.0,0.0,0.0,0.013,0.021,0.0085,True,0.026125194305312245
hsa-mir-526b-3p,hsa-mir-526b-5p,1385,4763,1,0.0,0.0,0.0,0.016,0.084,0.0085,True,0.026125194305312245
hsa-mir-520a-3p,hsa-mir-520d-3p,1385,4929,1,0.0,0.0,0.0,0.2055,0.1475,0.0095,True,0.028517627780321467
hsa-mir-194-5p,hsa-mir-203a-3p,1386,4846,-1,0.007,0.0,0.472,0.0155,0.2525,0.0055,True,0.018412857104463973
hsa-mir-29b-3p,hsa-mir-29c-3p,144455,8289,1,0.0,0.0,0.0,0.013,0.0105,0.0,True,0.0
hsa-mir-1270,hsa-mir-3651,1523,10801,1,0.002,0.0005,0.123,0.0955,0.069,0.0095,True,0.028517627780321467
hsa-mir-142-3p,hsa-mir-9-3p,1523,3691,1,0.0,0.003,0.052,0.0255,0.1,0.003,True,0.011271082157075642
hsa-mir-3651,hsa-mir-9-3p,1523,55532,1,0.0,0.007,0.0055,0.1035,0.051,0.003,True,0.011271082157075642
hsa-mir-122-5p,hsa-mir-367-3p,1523,79068,1,0.005,0.0,0.0,0.4835,0.018,0.001,True,0.004498826248690815
hsa-mir-1270,hsa-mir-302a-3p,1523,79068,1,0.002,0.0,0.0375,0.3155,0.0115,0.005,True,0.01706691510933304
hsa-mir-1270,hsa-mir-302b-3p,1523,79068,1,0.0025,0.0,0.0305,0.291,0.015,0.005,True,0.01706691510933304
hsa-mir-1270,hsa-mir-302c-3p,1523,79068,1,0.002,0.001,0.0355,0.3005,0.1055,0.0045,True,0.01568295890104356
hsa-mir-1270,hsa-mir-302d-3p,1523,79068,1,0.0035,0.0,0.0915,0.2745,0.0135,0.004,True,0.014251408631982381
hsa-mir-195-5p,hsa-mir-302d-3p,1523,79068,1,0.0,0.0,0.001,0.041,0.029,0.005,True,0.01706691510933304
hsa-mir-302a-3p,hsa-mir-302b-3p,1523,79068,1,0.0,0.0,0.0,0.0105,0.013,0.0,True,0.0
hsa-mir-302a-5p,hsa-mir-302d-3p,1523,79068,1,0.0,0.0,0.0,0.0205,0.0165,0.0,True,0.0
hsa-mir-302a-5p,hsa-mir-367-3p,1523,79068,1,0.0005,0.0,0.0,0.014,0.026,0.0005,True,0.002452608781256153
hsa-mir-302c-3p,hsa-mir-302d-3p,1523,79068,1,0.001,0.0005,0.0,0.0815,0.0105,0.0,True,0.0
hsa-mir-302c-3p,hsa-mir-367-3p,1523,79068,1,0.0025,0.001,0.0,0.0945,0.0205,0.0,True,0.0
hsa-mir-302d-3p,hsa-mir-367-3p,1523,79068,1,0.0,0.0,0.0,0.014,0.0215,0.0,True,0.0
hsa-mir-1226-3p,hsa-mir-9-3p,1869,56852,1,0.0005,0.0025,0.152,0.024,0.042,0.008,True,0.024878769722388654
hsa-mir-1226-3p,hsa-mir-9-3p,1869,83734,1,0.0005,0.0025,0.152,0.5185,0.021,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-582-3p,1871,4175,1,0.003,0.004,0.0,0.035,0.046,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-582-3p,1871,4175,1,0.0015,0.0055,0.0,0.029,0.0455,0.0005,True,0.002452608781256153
hsa-mir-125b-5p,hsa-mir-424-5p,1871,990,1,0.0,0.0,0.001,0.0105,0.069,0.0,True,0.0
hsa-mir-122-5p,hsa-mir-1224-5p,1874,4522,1,0.0,0.0,0.301,0.114,0.1335,0.0,True,0.0
hsa-mir-342-5p,hsa-mir-760,1874,7415,1,0.0005,0.003,0.991,0.0215,0.0115,0.0085,True,0.026125194305312245
hsa-mir-122-5p,hsa-mir-1224-5p,1874,7918,1,0.0,0.0,0.301,0.1355,0.067,0.004,True,0.014251408631982381
hsa-mir-367-3p,hsa-mir-518b,1958,7490,1,0.0015,0.006,0.0015,0.0545,0.0525,0.0055,True,0.018412857104463973
hsa-mir-367-3p,hsa-mir-548j-5p,1958,847,1,0.003,0.0,0.0125,0.0495,0.087,0.0015,True,0.0063445044310889275
hsa-mir-377-5p,hsa-mir-485-5p,196,10184,1,0.0055,0.0005,0.0015,0.0195,0.0645,0.0,True,0.0
hsa-mir-302a-3p,hsa-mir-302c-3p,196,1545,1,0.0,0.001,0.0,0.067,0.082,0.002,True,0.008057438551099612
hsa-mir-302a-3p,hsa-mir-302d-3p,196,1545,1,0.0,0.0,0.0,0.0655,0.073,0.002,True,0.008057438551099612
hsa-mir-302c-3p,hsa-mir-302d-3p,196,1545,1,0.001,0.0,0.0,0.0635,0.071,0.001,True,0.004498826248690815
hsa-mir-302a-3p,hsa-mir-573,196,23236,1,0.0,0.0,0.0055,0.325,0.8245,0.0005,True,0.002452608781256153
hsa-mir-302c-3p,hsa-mir-573,196,23236,1,0.0015,0.0,0.0185,0.274,0.8695,0.0,True,0.0
hsa-mir-302d-3p,hsa-mir-573,196,23236,1,0.0,0.0005,0.0035,0.551,0.7955,0.0,True,0.0
hsa-mir-124-3p,hsa-mir-665,196,55959,1,0.0,0.0,0.017,0.1355,0.0545,0.0075,True,0.023634799767259476
hsa-mir-377-5p,hsa-mir-485-5p,196,55959,1,0.0055,0.0005,0.0015,0.038,0.0615,0.0,True,0.0
hsa-mir-7-1-3p,hsa-mir-96-5p,196,7402,1,0.0,0.0,0.0,0.06,0.1015,0.0085,True,0.026125194305312245
hsa-mir-377-5p,hsa-mir-485-5p,196,861,1,0.0055,0.0005,0.0015,0.0575,0.1015,0.008,True,0.024878769722388654
hsa-mir-106a-5p,hsa-mir-200c-3p,2005,1958,1,0.0,0.0,0.043,0.687,0.6285,0.0025,True,0.009698536281532234
hsa-mir-200b-3p,hsa-mir-516b-5p,2005,1958,1,0.0045,0.0,0.043,0.0275,0.075,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-526b-3p,2005,1958,1,0.0035,0.0005,0.1495,0.023,0.0425,0.0,True,0.0
hsa-mir-200c-3p,hsa-mir-526b-3p,2005,1958,1,0.0,0.0,0.122,0.543,0.0445,0.0,True,0.0
hsa-mir-516b-5p,hsa-mir-520d-3p,2005,1958,1,0.0,0.0005,0.0,0.0635,0.0355,0.0095,True,0.028517627780321467
hsa-mir-516b-5p,hsa-mir-520h,2005,1958,1,0.0,0.0005,0.0005,0.0775,0.0105,0.0015,True,0.0063445044310889275
hsa-mir-516b-5p,hsa-mir-526b-3p,2005,1958,1,0.0,0.0,0.0,0.0805,0.0465,0.0075,True,0.023634799767259476
hsa-mir-518a-5p,hsa-mir-520d-3p,2005,1958,1,0.0005,0.0,0.0,0.0415,0.0525,0.001,True,0.004498826248690815
hsa-mir-518a-5p,hsa-mir-526b-3p,2005,1958,1,0.0005,0.0005,0.0005,0.0465,0.046,0.0015,True,0.0063445044310889275
hsa-mir-520d-3p,hsa-mir-520h,2005,1958,1,0.0005,0.002,0.0,0.0365,0.011,0.0005,True,0.002452608781256153
hsa-mir-520d-3p,hsa-mir-526b-3p,2005,1958,1,0.0005,0.0005,0.0,0.06,0.0385,0.0025,True,0.009698536281532234
hsa-mir-520h,hsa-mir-526b-3p,2005,1958,1,0.001,0.0,0.0,0.0105,0.048,0.0005,True,0.002452608781256153
hsa-mir-106a-5p,hsa-mir-518c-5p,2034,8553,1,0.002,0.0,0.0015,0.8395,0.2395,0.001,True,0.004498826248690815
hsa-mir-106a-5p,hsa-mir-520a-3p,2034,8553,1,0.0,0.0,0.001,0.8325,0.1145,0.007,True,0.022389359626149026
hsa-mir-18b-5p,hsa-mir-302a-3p,2099,10318,1,0.0,0.0,0.0,0.888,0.04,0.003,True,0.011271082157075642
hsa-mir-18b-5p,hsa-mir-302d-3p,2099,10318,1,0.0,0.0,0.0,0.887,0.0225,0.001,True,0.004498826248690815
hsa-mir-20b-5p,hsa-mir-302a-3p,2099,10318,1,0.0,0.0,0.0,0.1585,0.047,0.006,True,0.019740320109872693
hsa-mir-20b-5p,hsa-mir-302d-3p,2099,10318,1,0.0,0.0,0.0,0.1665,0.0135,0.009,True,0.02734619606312657
hsa-mir-20b-5p,hsa-mir-378a-3p,2099,10318,1,0.0,0.006,0.595,0.1755,0.02,0.002,True,0.008057438551099612
hsa-mir-302a-3p,hsa-mir-302c-3p,2099,10318,1,0.0,0.0,0.0,0.0515,0.286,0.0005,True,0.002452608781256153
hsa-mir-302a-3p,hsa-mir-302d-3p,2099,10318,1,0.0,0.0,0.0,0.05,0.0155,0.001,True,0.004498826248690815
hsa-mir-302a-3p,hsa-mir-378a-3p,2099,10318,1,0.0,0.007,0.0165,0.0525,0.012,0.002,True,0.008057438551099612
hsa-mir-302c-3p,hsa-mir-302d-3p,2099,10318,1,0.0,0.0,0.0,0.243,0.011,0.001,True,0.004498826248690815
hsa-mir-302c-3p,hsa-mir-378a-3p,2099,10318,1,0.0,0.0055,0.034,0.14,0.0175,0.0005,True,0.002452608781256153
hsa-mir-18b-5p,hsa-mir-302c-3p,2099,10693,1,0.0,0.0,0.0,0.518,0.023,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-302c-3p,2099,10693,1,0.0,0.0,0.0,0.59,0.0285,0.0,True,0.0
hsa-mir-18b-5p,hsa-mir-302a-3p,2099,1545,1,0.0,0.0,0.0,0.1145,0.054,0.003,True,0.011271082157075642
hsa-mir-18b-5p,hsa-mir-519a-3p,2099,1545,1,0.0,0.0,0.0315,0.1195,0.0185,0.0015,True,0.0063445044310889275
hsa-mir-18b-5p,hsa-mir-519b-3p,2099,1545,1,0.0,0.0,0.0375,0.1215,0.04,0.0005,True,0.002452608781256153
hsa-mir-18b-5p,hsa-mir-520d-3p,2099,1545,1,0.0,0.0,0.0275,0.0855,0.0155,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-335-3p,2099,1545,1,0.0,0.0005,0.0225,0.012,0.1085,0.0025,True,0.009698536281532234
hsa-mir-302a-3p,hsa-mir-302c-3p,2099,1545,1,0.0,0.0,0.0,0.067,0.082,0.002,True,0.008057438551099612
hsa-mir-302a-3p,hsa-mir-302d-3p,2099,1545,1,0.0,0.0,0.0,0.0655,0.073,0.002,True,0.008057438551099612
hsa-mir-302a-3p,hsa-mir-335-3p,2099,1545,1,0.0,0.0,0.0005,0.068,0.1225,0.004,True,0.014251408631982381
hsa-mir-302a-3p,hsa-mir-519a-3p,2099,1545,1,0.0,0.0,0.0,0.0445,0.0175,0.0015,True,0.0063445044310889275
hsa-mir-302a-3p,hsa-mir-519b-3p,2099,1545,1,0.0,0.0,0.0,0.058,0.0325,0.001,True,0.004498826248690815
hsa-mir-302a-3p,hsa-mir-520c-3p,2099,1545,1,0.0,0.0,0.0,0.073,0.011,0.003,True,0.011271082157075642
hsa-mir-302a-3p,hsa-mir-520d-3p,2099,1545,1,0.0,0.0,0.0,0.0655,0.0395,0.002,True,0.008057438551099612
hsa-mir-302c-3p,hsa-mir-302d-3p,2099,1545,1,0.0,0.0,0.0,0.0635,0.071,0.001,True,0.004498826248690815
hsa-mir-302c-3p,hsa-mir-335-3p,2099,1545,1,0.0,0.0,0.002,0.081,0.1055,0.006,True,0.019740320109872693
hsa-mir-302c-3p,hsa-mir-519a-3p,2099,1545,1,0.0,0.0,0.0,0.068,0.027,0.0,True,0.0
hsa-mir-302c-3p,hsa-mir-519b-3p,2099,1545,1,0.0,0.0,0.0,0.068,0.077,0.001,True,0.004498826248690815
hsa-mir-302c-3p,hsa-mir-520c-3p,2099,1545,1,0.0,0.0,0.0,0.0665,0.0175,0.003,True,0.011271082157075642
hsa-mir-302c-3p,hsa-mir-520d-3p,2099,1545,1,0.0,0.0,0.0,0.062,0.015,0.0015,True,0.0063445044310889275
hsa-mir-302d-3p,hsa-mir-519a-3p,2099,1545,1,0.0,0.0,0.0,0.071,0.022,0.005,True,0.01706691510933304
hsa-mir-302d-3p,hsa-mir-519b-3p,2099,1545,1,0.0,0.0,0.0,0.066,0.0505,0.004,True,0.014251408631982381
hsa-mir-378a-3p,hsa-mir-519b-3p,2099,1545,1,0.003,0.0,0.0465,0.026,0.02,0.0005,True,0.002452608781256153
hsa-mir-519a-3p,hsa-mir-519b-3p,2099,1545,1,0.0,0.0,0.0,0.0265,0.069,0.0055,True,0.018412857104463973
hsa-mir-519a-3p,hsa-mir-520c-3p,2099,1545,1,0.0005,0.0,0.0,0.0165,0.011,0.0005,True,0.002452608781256153
hsa-mir-519a-3p,hsa-mir-520d-3p,2099,1545,1,0.0,0.0,0.0,0.022,0.0245,0.0,True,0.0
hsa-mir-519b-3p,hsa-mir-520c-3p,2099,1545,1,0.0,0.0,0.0,0.047,0.017,0.0005,True,0.002452608781256153
hsa-mir-373-3p,hsa-mir-520c-3p,2099,367,1,0.0,0.0,0.0045,0.012,0.015,0.0,True,0.0
hsa-mir-373-3p,hsa-mir-520d-3p,2099,367,1,0.0,0.0,0.0,0.0165,0.0775,0.001,True,0.004498826248690815
hsa-mir-519a-3p,hsa-mir-519b-3p,2099,367,1,0.0,0.0,0.0,0.1315,0.0145,0.0005,True,0.002452608781256153
hsa-mir-519a-3p,hsa-mir-519c-3p,2099,367,1,0.0,0.0,0.0,0.0775,0.0205,0.001,True,0.004498826248690815
hsa-mir-519a-3p,hsa-mir-520c-3p,2099,367,1,0.0005,0.0,0.0,0.1005,0.03,0.0065,True,0.021086278288497094
hsa-mir-519b-3p,hsa-mir-520d-3p,2099,367,1,0.0,0.0,0.0,0.012,0.0825,0.002,True,0.008057438551099612
hsa-mir-519c-3p,hsa-mir-520a-3p,2099,367,1,0.0,0.0,0.0,0.0455,0.048,0.001,True,0.004498826248690815
hsa-mir-519c-3p,hsa-mir-520c-3p,2099,367,1,0.0,0.0,0.0,0.0165,0.0145,0.0005,True,0.002452608781256153
hsa-mir-519c-3p,hsa-mir-520d-3p,2099,367,1,0.0,0.0,0.0,0.0425,0.094,0.002,True,0.008057438551099612
hsa-mir-520a-3p,hsa-mir-520c-3p,2099,367,1,0.0,0.0,0.0,0.0785,0.026,0.003,True,0.011271082157075642
hsa-mir-520a-3p,hsa-mir-520d-3p,2099,367,1,0.0,0.0,0.0,0.0995,0.1185,0.008,True,0.024878769722388654
hsa-mir-520c-3p,hsa-mir-520d-3p,2099,367,1,0.0,0.0,0.0,0.032,0.077,0.002,True,0.008057438551099612
