miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-520d-3p,hsa-mir-527,10009,3658,1,0.0,0.0,0.0605,0.662,0.6535,0.0075,True,0.030829022203656693
hsa-mir-518a-5p,hsa-mir-520d-3p,10009,80010,1,0.0,0.0,0.011,0.172,0.1195,0.005,True,0.022760657604440966
hsa-mir-519d-3p,hsa-mir-520d-3p,10009,80010,1,0.0,0.0,0.0015,0.168,0.108,0.0095,True,0.036734213946740014
hsa-mir-520a-3p,hsa-mir-520d-3p,10009,80010,1,0.0,0.0,0.0035,0.1225,0.104,0.0035,True,0.01740800933125972
hsa-mir-520d-3p,hsa-mir-527,10009,80010,1,0.0,0.0,0.0605,0.1035,0.1355,0.0055,True,0.024463908205841444
hsa-mir-181a-5p,hsa-mir-548d-3p,1050,3778,1,0.0,0.0,0.0255,0.0175,0.058,0.0015,True,0.009032479758990774
hsa-mir-101-5p,hsa-mir-519a-3p,10765,3720,1,0.0,0.0005,0.0095,0.0135,0.0935,0.0005,True,0.0036882712489908894
hsa-mir-101-5p,hsa-mir-519c-3p,10765,3720,1,0.0005,0.0025,0.006,0.0205,0.13,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-20a-5p,1316,4843,1,0.0,0.0,0.005,0.0275,0.191,0.008,True,0.03234079130324864
hsa-mir-142-5p,hsa-mir-18a-3p,1316,4843,1,0.0,0.0,0.0735,0.011,0.223,0.0005,True,0.0036882712489908894
hsa-mir-16-2-3p,hsa-mir-25-3p,1316,4843,1,0.0,0.0,0.0715,0.068,0.0115,0.007,True,0.029321152586771447
hsa-mir-18a-3p,hsa-mir-25-3p,1316,4843,1,0.0,0.0,0.015,0.2,0.012,0.001,True,0.00653841042678252
hsa-mir-25-3p,hsa-mir-7-5p,1316,4843,1,0.0,0.0005,0.1125,0.0125,0.099,0.002,True,0.011305200830718926
hsa-mir-25-3p,hsa-mir-93-5p,1316,4843,1,0.0,0.0,0.0035,0.011,0.075,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-299-5p,1390,5757,1,0.0,0.0,0.003,0.0595,0.3865,0.0,True,0.0
hsa-let-7b-5p,hsa-mir-522-3p,1390,5757,1,0.0,0.0,0.101,0.07,0.466,0.0,True,0.0
hsa-mir-125b-5p,hsa-mir-214-5p,1870,83879,1,0.002,0.005,0.0115,0.019,0.137,0.008,True,0.03234079130324864
