"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-16-1-3p","hsa-mir-299-5p",3091,"HIF1A",19,"ABCA1",1,0,0.0015,0.002,0.015,0.133,0,0
"hsa-mir-106a-3p","hsa-mir-299-5p",3091,"HIF1A",19,"ABCA1",1,0.001,0.006,0,0.1845,0.1555,0,0
"hsa-mir-299-5p","hsa-mir-616-5p",3091,"HIF1A",19,"ABCA1",1,0.0035,0.002,0.013,0.2505,0.3435,0.009,0.0353088600607232
"hsa-mir-181a-5p","hsa-mir-7-5p",27086,"FOXP1",284,"ANGPT1",-1,0.0025,5e-04,0.0025,0.1455,0.027,0,0
"hsa-mir-181a-5p","hsa-mir-942-5p",27086,"FOXP1",284,"ANGPT1",-1,0.0045,0.001,0,0.135,0.0135,0,0
"hsa-mir-181b-5p","hsa-mir-7-5p",27086,"FOXP1",284,"ANGPT1",-1,0.0015,0,5e-04,0.2075,0.028,0,0
"hsa-mir-181b-5p","hsa-mir-942-5p",27086,"FOXP1",284,"ANGPT1",-1,0.003,5e-04,5e-04,0.1855,0.0175,5e-04,0.00368827124899088
"hsa-mir-7-1-3p","hsa-mir-942-5p",27086,"FOXP1",284,"ANGPT1",-1,0.005,0.001,0,0.0695,0.0125,0.005,0.022760657604441
"hsa-mir-7-5p","hsa-mir-942-5p",27086,"FOXP1",284,"ANGPT1",-1,0,0.0015,0.001,0.024,0.0165,0.0025,0.0134317513649727
"hsa-mir-33a-3p","hsa-mir-942-5p",6662,"SOX9",579,"NKX3-2",1,0.007,0,0.323,0.0335,0.0405,0.0075,0.0308290222036567
"hsa-let-7b-5p","hsa-mir-125b-5p",7157,"TP53",581,"BAX",1,0,0,0,0.133,0.0365,0,0
"hsa-mir-125a-5p","hsa-mir-125b-5p",7157,"TP53",581,"BAX",1,0,0,0,0.0125,0.0365,0,0
"hsa-mir-19a-3p","hsa-mir-497-3p",3091,"HIF1A",664,"BNIP3",1,5e-04,0.002,0.3225,0.0325,0.0715,0,0
"hsa-mir-497-3p","hsa-mir-548d-3p",3091,"HIF1A",664,"BNIP3",1,0.001,5e-04,0.462,0.0645,0.0155,0.004,0.0192613114507265
"hsa-mir-497-3p","hsa-mir-93-5p",3091,"HIF1A",664,"BNIP3",1,0.001,5e-04,0.5115,0.071,0.0375,0.0065,0.0277631385642738
"hsa-mir-196b-5p","hsa-mir-301b-3p",4089,"SMAD4",862,"RUNX1T1",1,0,0,0.072,0.2895,0.014,0.006,0.0261531961292081
"hsa-let-7b-5p","hsa-mir-195-3p",367,"AR",920,"CD4",1,0,0.004,0,0.0175,0.056,0.0015,0.00903247975899077
"hsa-let-7b-5p","hsa-mir-31-5p",367,"AR",920,"CD4",1,0,0,0.045,0.0425,0.0295,0,0
"hsa-mir-195-3p","hsa-mir-31-5p",367,"AR",920,"CD4",1,0.0055,0,0.2235,0.052,0.032,0,0
"hsa-mir-31-3p","hsa-mir-519d-3p",1871,"E2F3",990,"CDC6",1,0,0.005,0.6985,0.013,0.0215,0.004,0.0192613114507265
"hsa-mir-15b-5p","hsa-mir-200c-3p",2308,"FOXO1",1028,"CDKN1C",1,0,0,0.0725,0.1915,0.1495,0.0045,0.0210332127589609
"hsa-mir-125a-5p","hsa-mir-195-5p",3662,"IRF4",1075,"CTSC",1,0,0,0.2845,0.0635,0.025,0.007,0.0293211525867714
"hsa-mir-106a-5p","hsa-mir-17-5p",9189,"ZBED1",1153,"CIRBP",1,0,0,0.0015,0.0455,0.1165,0.008,0.0323407913032486
"hsa-mir-106a-5p","hsa-mir-93-5p",9189,"ZBED1",1153,"CIRBP",1,0.001,0,0,0.0515,0.042,0.0025,0.0134317513649727
"hsa-mir-17-5p","hsa-mir-766-3p",9189,"ZBED1",1153,"CIRBP",1,0,0,0,0.13,0.02,0,0
"hsa-mir-17-5p","hsa-mir-93-5p",9189,"ZBED1",1153,"CIRBP",1,0,0,5e-04,0.109,0.036,0.0045,0.0210332127589609
"hsa-mir-20b-5p","hsa-mir-93-5p",9189,"ZBED1",1153,"CIRBP",1,0.001,5e-04,0,0.042,0.0235,0.002,0.0113052008307189
"hsa-mir-17-5p","hsa-mir-20b-5p",9189,"ZBED1",1153,"CIRBP",1,0,0.0035,5e-04,0.103,0.0505,0.0055,0.0244639082058414
"hsa-mir-766-3p","hsa-mir-93-5p",9189,"ZBED1",1153,"CIRBP",1,0,0,0,0.0135,0.0325,0,0
"hsa-mir-18a-3p","hsa-mir-2355-5p",4088,"SMAD3",1277,"COL1A1",1,0,0,0.09,0.104,0.7225,0.0055,0.0244639082058414
"hsa-mir-15a-5p","hsa-mir-18a-3p",4088,"SMAD3",1277,"COL1A1",1,5e-04,0,0.473,0.0425,0.0605,0.0015,0.00903247975899077
"hsa-mir-25-3p","hsa-mir-301b-3p",6667,"SP1",1280,"COL2A1",1,0.0015,0.004,0.1005,0.1555,0.011,5e-04,0.00368827124899088
"hsa-mir-25-3p","hsa-mir-625-5p",6667,"SP1",1280,"COL2A1",1,0,0,0.0315,0.112,0.32,5e-04,0.00368827124899088
"hsa-mir-128-3p","hsa-mir-93-5p",6667,"SP1",1280,"COL2A1",1,0.0035,5e-04,5e-04,0.6595,0.0645,0.0095,0.03673421394674
"hsa-mir-2355-5p","hsa-mir-625-5p",6667,"SP1",1280,"COL2A1",1,0.004,0.0015,0.0725,0.659,0.3075,0.0015,0.00903247975899077
"hsa-mir-25-3p","hsa-mir-93-5p",6667,"SP1",1280,"COL2A1",1,0.001,0,0.001,0.1245,0.0815,0.005,0.022760657604441
