miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-let-7a-3p,hsa-mir-22-5p,1385,3162,-1,0.0,0.0,0.0005,0.7845,0.024,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-221-3p,2099,1956,1,0.0065,0.0,0.167,0.0775,0.0965,0.0005,True,0.038288212435233164
hsa-mir-18a-5p,hsa-mir-301a-3p,2099,27086,1,0.0,0.0,0.004,0.0125,0.0215,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-18a-5p,2099,718,1,0.0,0.0,0.103,0.186,0.3275,0.0005,True,0.038288212435233164
hsa-mir-10a-5p,hsa-mir-9-5p,2113,3560,1,0.0,0.0085,0.1455,0.0465,0.225,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-9-5p,2113,3932,1,0.0,0.0085,0.1455,0.205,0.138,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-9-5p,2113,915,1,0.0,0.0085,0.1455,0.1385,0.0975,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-9-5p,2113,920,1,0.0,0.0085,0.1455,0.0425,0.248,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-9-5p,2113,963,1,0.0,0.0085,0.1455,0.0215,0.013,0.0,True,0.0
hsa-mir-183-5p,hsa-mir-96-5p,2308,6414,1,0.0,0.0,0.0005,0.064,0.171,0.0,True,0.0
hsa-mir-182-5p,hsa-mir-183-5p,2308,83604,1,0.0,0.0,0.0,0.159,0.027,0.0005,True,0.038288212435233164
hsa-mir-18a-3p,hsa-mir-19a-3p,4782,7980,1,0.0,0.002,0.0,0.011,0.3655,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-96-5p,4790,2,1,0.0055,0.0005,0.853,0.2025,0.3055,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-130b-3p,4790,602,1,0.0025,0.0005,0.002,0.2865,0.026,0.0,True,0.0
hsa-mir-181c-5p,hsa-mir-877-5p,639,944,1,0.0095,0.0,0.2815,0.241,0.935,0.0005,True,0.038288212435233164
hsa-mir-130b-3p,hsa-mir-940,6774,2353,1,0.0,0.0,0.1375,0.2355,0.23,0.0,True,0.0
hsa-mir-181d-5p,hsa-mir-940,6774,3569,1,0.0,0.001,0.617,0.0355,0.386,0.0005,True,0.038288212435233164
hsa-mir-130b-3p,hsa-mir-18a-5p,6774,604,1,0.0,0.0,0.7225,0.233,0.603,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-301b-3p,6774,604,1,0.0,0.0,0.118,0.617,0.399,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-96-5p,6935,1468,-1,0.0,0.0,0.004,0.1145,0.1015,0.0,True,0.0
