source,target,ModeOfRegulation,edgeType
mir-106a-5p,mir-106a-5p/mir-324-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-93-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-324-5p,"",direct
mir-324-5p,mir-324-5p/mir-33a-3p,"",direct
mir-33a-5p,mir-33a-5p/mir-342-5p,"",direct
mir-324-5p,mir-324-5p/mir-33a-5p,"",direct
mir-19a-3p,mir-19a-3p/mir-532-3p,"",direct
mir-18a-5p,mir-18a-5p/mir-485-3p,"",direct
mir-18a-5p,mir-18a-5p/mir-20a-3p,"",direct
mir-149-5p,mir-149-5p/mir-486-5p,"",direct
let-7f-1-3p,let-7f-1-3p/mir-324-5p,"",direct
mir-328-3p,mir-328-3p/mir-625-5p,"",direct
mir-149-5p,mir-149-5p/mir-486-5p,"",direct
mir-331-3p,mir-331-3p/mir-92b-3p,"",direct
mir-378a-5p,mir-378a-5p/mir-532-3p,"",direct
mir-197-3p,mir-197-3p/mir-326,"",direct
mir-320b,mir-320b/mir-548b-3p,"",direct
mir-455-5p,mir-455-5p/mir-877-5p,"",direct
mir-129-5p,mir-129-5p/mir-133a-3p,"",direct
mir-429,mir-429/mir-454-3p,"",direct
mir-153-3p,mir-153-3p/mir-223-5p,"",direct
mir-223-5p,mir-223-5p/mir-3127-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-183-5p,"",direct
mir-103a-2-5p,mir-103a-2-5p/mir-335-3p,"",direct
mir-150-5p,mir-150-5p/mir-199a-5p,"",direct
mir-299-5p,mir-299-5p/mir-335-5p,"",direct
mir-149-5p,mir-149-5p/mir-331-3p,"",direct
mir-19a-3p,mir-19a-3p/mir-590-5p,"",direct
mir-363-3p,mir-363-3p/mir-503-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-454-3p,"",direct
mir-148b-5p,mir-148b-5p/mir-203a-3p,"",direct
mir-192-5p,mir-192-5p/mir-92b-3p,"",direct
mir-130a-3p,mir-130a-3p/mir-142-3p,"",direct
mir-27a-5p,mir-27a-5p/mir-335-3p,"",direct
mir-320b,mir-320b/mir-33a-5p,"",direct
