source,target,ModeOfRegulation,edgeType
hsa-mir-625-5p,hsa-mir-625-5p/hsa-mir-942-5p,"",direct
hsa-mir-7-5p,hsa-mir-7-5p/hsa-mir-942-5p,"",direct
hsa-mir-125b-5p,hsa-mir-125b-5p/hsa-mir-136-5p,"",direct
hsa-mir-18a-5p,hsa-mir-18a-5p/hsa-mir-196a-5p,"",direct
hsa-mir-33b-5p,hsa-mir-33b-5p/hsa-mir-877-3p,"",direct
hsa-mir-210-3p,hsa-mir-210-3p/hsa-mir-577,"",direct
hsa-mir-188-3p,hsa-mir-188-3p/hsa-mir-491-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-455-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-455-3p,"",direct
hsa-mir-1180-3p,hsa-mir-1180-3p/hsa-mir-203a-3p,"",direct
hsa-mir-1180-3p,hsa-mir-1180-3p/hsa-mir-203a-3p,"",direct
hsa-let-7g-3p,hsa-let-7g-3p/hsa-mir-424-5p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-29b-1-5p,"",direct
hsa-mir-455-3p,hsa-mir-455-3p/hsa-mir-499a-5p,"",direct
hsa-mir-196a-5p,hsa-mir-196a-5p/hsa-mir-96-5p,"",direct
hsa-mir-31-5p,hsa-mir-31-5p/hsa-mir-615-3p,"",direct
hsa-mir-376a-5p,hsa-mir-376a-5p/hsa-mir-424-5p,"",direct
hsa-let-7g-3p,hsa-let-7g-3p/hsa-mir-16-2-3p,"",direct
hsa-mir-18a-3p,hsa-mir-18a-3p/hsa-mir-7-5p,"",direct
hsa-mir-18b-5p,hsa-mir-18b-5p/hsa-mir-424-5p,"",direct
hsa-mir-424-5p,hsa-mir-424-5p/hsa-mir-491-3p,"",direct
hsa-mir-18a-5p,hsa-mir-18a-5p/hsa-mir-203a-3p,"",direct
hsa-mir-181d-5p,hsa-mir-181d-5p/hsa-mir-424-5p,"",direct
hsa-mir-203a-3p,hsa-mir-203a-3p/hsa-mir-629-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-33a-3p,"",direct
hsa-mir-203a-3p,hsa-mir-203a-3p/hsa-mir-429,"",direct
hsa-mir-18a-5p,hsa-mir-18a-5p/hsa-mir-34a-3p,"",direct
hsa-mir-135b-5p,hsa-mir-135b-5p/hsa-mir-570-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-34a-3p,"",direct
hsa-mir-18a-5p,hsa-mir-18a-5p/hsa-mir-34a-3p,"",direct
hsa-mir-31-5p,hsa-mir-31-5p/hsa-mir-33b-5p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-33a-5p,"",direct
hsa-mir-33a-3p,hsa-mir-33a-3p/hsa-mir-452-3p,"",direct
hsa-mir-10a-3p,hsa-mir-10a-3p/hsa-mir-135b-5p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-96-5p,"",direct
hsa-mir-196a-5p,hsa-mir-196a-5p/hsa-mir-19a-3p,"",direct
hsa-mir-18a-5p,hsa-mir-18a-5p/hsa-mir-196a-5p,"",direct
hsa-mir-429,hsa-mir-429/hsa-mir-96-5p,"",direct
hsa-mir-16-2-3p,hsa-mir-16-2-3p/hsa-mir-92a-1-5p,"",direct
hsa-mir-196b-5p,hsa-mir-196b-5p/hsa-mir-33b-5p,"",direct
hsa-mir-18b-5p,hsa-mir-18b-5p/hsa-mir-615-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-589-3p,"",direct
hsa-mir-10a-3p,hsa-mir-10a-3p/hsa-mir-296-5p,"",direct
hsa-mir-339-5p,hsa-mir-339-5p/hsa-mir-570-3p,"",direct
hsa-mir-196a-5p,hsa-mir-196a-5p/hsa-mir-362-5p,"",direct
hsa-mir-130b-5p,hsa-mir-130b-5p/hsa-mir-31-5p,"",direct
hsa-mir-339-5p,hsa-mir-339-5p/hsa-mir-501-5p,"",direct
hsa-mir-188-5p,hsa-mir-188-5p/hsa-mir-224-5p,"",direct
hsa-mir-486-5p,hsa-mir-486-5p/hsa-mir-7-5p,"",direct
hsa-mir-210-3p,hsa-mir-210-3p/hsa-mir-339-5p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-301b-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-301b-3p,"",direct
hsa-mir-30b-5p,hsa-mir-30b-5p/hsa-mir-362-5p,"",direct
hsa-mir-18a-3p,hsa-mir-18a-3p/hsa-mir-19a-3p,"",direct
hsa-mir-338-5p,hsa-mir-338-5p/hsa-mir-424-5p,"",direct
hsa-mir-18a-5p,hsa-mir-18a-5p/hsa-mir-30b-5p,"",direct
hsa-mir-33a-5p,hsa-mir-33a-5p/hsa-mir-429,"",direct
hsa-mir-130b-5p,hsa-mir-130b-5p/hsa-mir-30b-5p,"",direct
hsa-mir-16-1-3p,hsa-mir-16-1-3p/hsa-mir-19a-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-589-3p,"",direct
hsa-mir-16-2-3p,hsa-mir-16-2-3p/hsa-mir-942-5p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-335-3p,"",direct
hsa-mir-18a-3p,hsa-mir-18a-3p/hsa-mir-20a-3p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-33a-3p,"",direct
hsa-mir-18a-5p,hsa-mir-18a-5p/hsa-mir-769-3p,"",direct
hsa-mir-224-5p,hsa-mir-224-5p/hsa-mir-424-5p,"",direct
hsa-mir-224-5p,hsa-mir-224-5p/hsa-mir-424-5p,"",direct
hsa-mir-224-5p,hsa-mir-224-5p/hsa-mir-424-5p,"",direct
hsa-mir-224-5p,hsa-mir-224-5p/hsa-mir-424-5p,"",direct
hsa-mir-92a-1-5p,hsa-mir-92a-1-5p/hsa-mir-940,"",direct
hsa-mir-20a-3p,hsa-mir-20a-3p/hsa-mir-29b-1-5p,"",direct
hsa-mir-224-5p,hsa-mir-224-5p/hsa-mir-625-3p,"",direct
hsa-mir-16-1-3p,hsa-mir-16-1-3p/hsa-mir-203a-3p,"",direct
hsa-mir-16-1-3p,hsa-mir-16-1-3p/hsa-mir-877-5p,"",direct
hsa-mir-18a-3p,hsa-mir-18a-3p/hsa-mir-301a-3p,"",direct
hsa-mir-188-5p,hsa-mir-188-5p/hsa-mir-30b-5p,"",direct
hsa-mir-221-5p,hsa-mir-221-5p/hsa-mir-485-5p,"",direct
hsa-mir-19a-3p,hsa-mir-19a-3p/hsa-mir-577,"",direct
hsa-mir-196a-5p,hsa-mir-196a-5p/hsa-mir-503-5p,"",direct
hsa-mir-942-5p,hsa-mir-625-5p/hsa-mir-942-5p,"",direct
hsa-mir-942-5p,hsa-mir-7-5p/hsa-mir-942-5p,"",direct
hsa-mir-136-5p,hsa-mir-125b-5p/hsa-mir-136-5p,"",direct
hsa-mir-196a-5p,hsa-mir-18a-5p/hsa-mir-196a-5p,"",direct
hsa-mir-877-3p,hsa-mir-33b-5p/hsa-mir-877-3p,"",direct
hsa-mir-577,hsa-mir-210-3p/hsa-mir-577,"",direct
hsa-mir-491-3p,hsa-mir-188-3p/hsa-mir-491-3p,"",direct
hsa-mir-455-3p,hsa-mir-19a-3p/hsa-mir-455-3p,"",direct
hsa-mir-455-3p,hsa-mir-19a-3p/hsa-mir-455-3p,"",direct
hsa-mir-203a-3p,hsa-mir-1180-3p/hsa-mir-203a-3p,"",direct
