source,target,ModeOfRegulation,edgeType
mir-17-5p,mir-17-5p/mir-501-3p,"",direct
let-7f-5p,let-7f-5p/mir-2110,"",direct
mir-194-5p,mir-194-5p/mir-200b-3p,"",direct
mir-196a-5p,mir-196a-5p/mir-589-3p,"",direct
mir-196a-5p,mir-196a-5p/mir-625-5p,"",direct
mir-193b-3p,mir-193b-3p/mir-203a-3p,"",direct
mir-192-5p,mir-192-5p/mir-200a-3p,"",direct
mir-203a-3p,mir-203a-3p/mir-3928-3p,"",direct
mir-224-5p,mir-224-5p/mir-589-3p,"",direct
mir-192-5p,mir-192-5p/mir-194-5p,"",direct
mir-192-5p,mir-192-5p/mir-194-5p,"",direct
mir-196a-5p,mir-196a-5p/mir-92a-1-5p,"",direct
let-7c-5p,let-7c-5p/mir-125b-2-3p,"",direct
mir-182-5p,mir-182-5p/mir-183-5p,"",direct
mir-17-5p,mir-17-5p/mir-19a-3p,"",direct
mir-130b-5p,mir-130b-5p/mir-203a-3p,"",direct
mir-501-3p,mir-17-5p/mir-501-3p,"",direct
mir-2110,let-7f-5p/mir-2110,"",direct
mir-200b-3p,mir-194-5p/mir-200b-3p,"",direct
mir-589-3p,mir-196a-5p/mir-589-3p,"",direct
mir-625-5p,mir-196a-5p/mir-625-5p,"",direct
mir-203a-3p,mir-193b-3p/mir-203a-3p,"",direct
mir-200a-3p,mir-192-5p/mir-200a-3p,"",direct
mir-3928-3p,mir-203a-3p/mir-3928-3p,"",direct
mir-589-3p,mir-224-5p/mir-589-3p,"",direct
mir-194-5p,mir-192-5p/mir-194-5p,"",direct
mir-194-5p,mir-192-5p/mir-194-5p,"",direct
mir-92a-1-5p,mir-196a-5p/mir-92a-1-5p,"",direct
mir-125b-2-3p,let-7c-5p/mir-125b-2-3p,"",direct
mir-183-5p,mir-182-5p/mir-183-5p,"",direct
mir-19a-3p,mir-17-5p/mir-19a-3p,"",direct
mir-203a-3p,mir-130b-5p/mir-203a-3p,"",direct
mir-17-5p,STAT3_tf,"",direct
let-7f-5p,NFE2L1_tf,"",direct
mir-194-5p,ETS1_tf,"",direct
mir-196a-5p,AR_tf,"",direct
mir-196a-5p,AR_tf,"",direct
mir-193b-3p,PBX3_tf,"",direct
mir-192-5p,ESR1_tf,"",direct
mir-203a-3p,IRF4_tf,"",direct
mir-224-5p,HIF1A_tf,"",direct
mir-192-5p,EGR1_tf,"",direct
mir-192-5p,WT1_tf,"",direct
mir-196a-5p,MEF2A_tf,"",direct
let-7c-5p,NCOA3_tf,"",direct
mir-182-5p,IRF4_tf,"",direct
mir-17-5p,IKZF1_tf,"",direct
mir-130b-5p,PBX3_tf,"",direct
STAT3_tf,CCND1_target,1,direct
NFE2L1_tf,CALD1_target,1,direct
ETS1_tf,CD4_target,1,direct
AR_tf,IGFBP3_target,1,direct
AR_tf,IGFBP3_target,1,direct
PBX3_tf,MYLK_target,1,direct
ESR1_tf,CXCL12_target,1,direct
IRF4_tf,TCF4_target,1,direct
HIF1A_tf,TGFB3_target,1,direct
EGR1_tf,THBS1_target,1,direct
WT1_tf,THBS1_target,1,direct
MEF2A_tf,EEA1_target,1,direct
NCOA3_tf,ARFGEF2_target,1,direct
IRF4_tf,RAPGEF6_target,1,direct
IKZF1_tf,PREX1_target,1,direct
PBX3_tf,FNDC3B_target,1,direct
mir-17-5p/mir-501-3p,CCND1_target,"",indirect
let-7f-5p/mir-2110,CALD1_target,"",indirect
mir-194-5p/mir-200b-3p,CD4_target,"",indirect
mir-196a-5p/mir-589-3p,IGFBP3_target,"",indirect
mir-196a-5p/mir-625-5p,IGFBP3_target,"",indirect
mir-193b-3p/mir-203a-3p,MYLK_target,"",indirect
mir-192-5p/mir-200a-3p,CXCL12_target,"",indirect
mir-203a-3p/mir-3928-3p,TCF4_target,"",indirect
mir-224-5p/mir-589-3p,TGFB3_target,"",indirect
mir-192-5p/mir-194-5p,THBS1_target,"",indirect
mir-192-5p/mir-194-5p,THBS1_target,"",indirect
mir-196a-5p/mir-92a-1-5p,EEA1_target,"",indirect
let-7c-5p/mir-125b-2-3p,ARFGEF2_target,"",indirect
mir-182-5p/mir-183-5p,RAPGEF6_target,"",indirect
mir-17-5p/mir-19a-3p,PREX1_target,"",indirect
mir-130b-5p/mir-203a-3p,FNDC3B_target,"",indirect
