shared_name,name,info
mir-17-5p,mir-17-5p,mirna
let-7f-5p,let-7f-5p,mirna
mir-194-5p,mir-194-5p,mirna
mir-196a-5p,mir-196a-5p,mirna
mir-196a-5p,mir-196a-5p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-192-5p,mir-192-5p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-224-5p,mir-224-5p,mirna
mir-192-5p,mir-192-5p,mirna
mir-192-5p,mir-192-5p,mirna
mir-196a-5p,mir-196a-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-130b-5p,mir-130b-5p,mirna
mir-501-3p,mir-501-3p,mirna
mir-2110,mir-2110,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-589-3p,mir-589-3p,mirna
mir-625-5p,mir-625-5p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-3928-3p,mir-3928-3p,mirna
mir-589-3p,mir-589-3p,mirna
mir-194-5p,mir-194-5p,mirna
mir-194-5p,mir-194-5p,mirna
mir-92a-1-5p,mir-92a-1-5p,mirna
mir-125b-2-3p,mir-125b-2-3p,mirna
mir-183-5p,mir-183-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-203a-3p,mir-203a-3p,mirna
STAT3_tf,STAT3,tf
NFE2L1_tf,NFE2L1,tf
ETS1_tf,ETS1,tf
AR_tf,AR,tf
AR_tf,AR,tf
PBX3_tf,PBX3,tf
ESR1_tf,ESR1,tf
IRF4_tf,IRF4,tf
HIF1A_tf,HIF1A,tf
EGR1_tf,EGR1,tf
WT1_tf,WT1,tf
MEF2A_tf,MEF2A,tf
NCOA3_tf,NCOA3,tf
IRF4_tf,IRF4,tf
IKZF1_tf,IKZF1,tf
PBX3_tf,PBX3,tf
CCND1_target,CCND1,target
CALD1_target,CALD1,target
CD4_target,CD4,target
IGFBP3_target,IGFBP3,target
IGFBP3_target,IGFBP3,target
MYLK_target,MYLK,target
CXCL12_target,CXCL12,target
TCF4_target,TCF4,target
TGFB3_target,TGFB3,target
THBS1_target,THBS1,target
THBS1_target,THBS1,target
EEA1_target,EEA1,target
ARFGEF2_target,ARFGEF2,target
RAPGEF6_target,RAPGEF6,target
PREX1_target,PREX1,target
FNDC3B_target,FNDC3B,target
mir-17-5p/mir-501-3p,"",dummy
let-7f-5p/mir-2110,"",dummy
mir-194-5p/mir-200b-3p,"",dummy
mir-196a-5p/mir-589-3p,"",dummy
mir-196a-5p/mir-625-5p,"",dummy
mir-193b-3p/mir-203a-3p,"",dummy
mir-192-5p/mir-200a-3p,"",dummy
mir-203a-3p/mir-3928-3p,"",dummy
mir-224-5p/mir-589-3p,"",dummy
mir-192-5p/mir-194-5p,"",dummy
mir-192-5p/mir-194-5p,"",dummy
mir-196a-5p/mir-92a-1-5p,"",dummy
let-7c-5p/mir-125b-2-3p,"",dummy
mir-182-5p/mir-183-5p,"",dummy
mir-17-5p/mir-19a-3p,"",dummy
mir-130b-5p/mir-203a-3p,"",dummy
