source,target,ModeOfRegulation,edgeType
mir-20b-5p,mir-20b-5p/mir-376b-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-218-5p,"",direct
mir-363-3p,mir-363-3p/mir-9-5p,"",direct
mir-196b-5p,mir-196b-5p/mir-29b-1-5p,"",direct
mir-10a-5p,mir-10a-5p/mir-30a-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-31-5p,"",direct
mir-33b-5p,mir-33b-5p/mir-503-5p,"",direct
mir-10a-5p,mir-10a-5p/mir-503-5p,"",direct
mir-224-3p,mir-224-3p/mir-320d,"",direct
let-7c-5p,let-7c-5p/mir-377-5p,"",direct
mir-182-5p,mir-182-5p/mir-20a-3p,"",direct
mir-206,mir-206/mir-301b-3p,"",direct
mir-206,mir-206/mir-301b-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-3065-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-454-3p,"",direct
mir-203a-3p,mir-203a-3p/mir-92a-1-5p,"",direct
mir-33b-5p,mir-33b-5p/mir-425-5p,"",direct
mir-19a-3p,mir-19a-3p/mir-200a-3p,"",direct
mir-130a-3p,mir-130a-3p/mir-135b-5p,"",direct
mir-142-3p,mir-142-3p/mir-580-3p,"",direct
mir-19a-3p,mir-19a-3p/mir-454-3p,"",direct
mir-505-5p,mir-505-5p/mir-7-5p,"",direct
mir-424-5p,mir-424-5p/mir-7-5p,"",direct
mir-218-5p,mir-218-5p/mir-9-5p,"",direct
mir-142-5p,mir-142-5p/mir-155-5p,"",direct
mir-155-5p,mir-155-5p/mir-7-5p,"",direct
mir-31-3p,mir-31-3p/mir-410-3p,"",direct
mir-206,mir-206/mir-218-5p,"",direct
mir-1-3p,mir-1-3p/mir-218-5p,"",direct
mir-200b-3p,mir-200b-3p/mir-493-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-493-3p,"",direct
mir-363-3p,mir-363-3p/mir-9-5p,"",direct
mir-183-5p,mir-183-5p/mir-582-5p,"",direct
let-7c-5p,let-7c-5p/mir-138-5p,"",direct
mir-155-5p,mir-155-5p/mir-589-3p,"",direct
mir-155-5p,mir-155-5p/mir-589-3p,"",direct
mir-1-3p,mir-1-3p/mir-101-5p,"",direct
mir-135b-5p,mir-135b-5p/mir-148a-5p,"",direct
mir-2355-3p,mir-2355-3p/mir-296-3p,"",direct
mir-196a-5p,mir-196a-5p/mir-19b-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-96-5p,"",direct
mir-193b-3p,mir-193b-3p/mir-424-5p,"",direct
mir-338-3p,mir-338-3p/mir-582-5p,"",direct
mir-141-3p,mir-141-3p/mir-183-5p,"",direct
mir-130a-3p,mir-130a-3p/mir-29c-3p,"",direct
mir-378a-3p,mir-378a-3p/mir-654-3p,"",direct
mir-429,mir-429/mir-654-3p,"",direct
mir-183-5p,mir-183-5p/mir-424-5p,"",direct
mir-199a-5p,mir-199a-5p/mir-411-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-338-3p,"",direct
mir-30a-3p,mir-30a-3p/mir-7-5p,"",direct
mir-20a-3p,mir-20a-3p/mir-223-5p,"",direct
mir-301b-3p,mir-301b-3p/mir-580-3p,"",direct
mir-301b-3p,mir-301b-3p/mir-580-3p,"",direct
mir-148a-3p,mir-148a-3p/mir-9-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-410-3p,"",direct
mir-142-5p,mir-142-5p/mir-9-5p,"",direct
mir-454-3p,mir-454-3p/mir-7-5p,"",direct
mir-10a-5p,mir-10a-5p/mir-30a-5p,"",direct
mir-425-5p,mir-425-5p/mir-452-3p,"",direct
mir-223-3p,mir-223-3p/mir-511-5p,"",direct
mir-30a-3p,mir-30a-3p/mir-30a-5p,"",direct
mir-135b-5p,mir-135b-5p/mir-183-5p,"",direct
mir-425-5p,mir-425-5p/mir-616-5p,"",direct
mir-19a-3p,mir-19a-3p/mir-20a-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-363-3p,"",direct
mir-424-5p,mir-424-5p/mir-425-5p,"",direct
mir-30c-5p,mir-30c-5p/mir-9-5p,"",direct
mir-133b,mir-133b/mir-454-3p,"",direct
mir-133b,mir-133b/mir-20a-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-454-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-221-5p,"",direct
mir-103a-2-5p,mir-103a-2-5p/mir-130a-3p,"",direct
mir-103a-2-5p,mir-103a-2-5p/mir-193b-3p,"",direct
mir-19a-3p,mir-19a-3p/mir-301a-3p,"",direct
mir-184,mir-184/mir-615-3p,"",direct
mir-149-5p,mir-149-5p/mir-424-5p,"",direct
mir-3065-5p,mir-3065-5p/mir-378a-3p,"",direct
mir-203a-3p,mir-203a-3p/mir-9-5p,"",direct
let-7c-5p,let-7c-5p/mir-138-5p,"",direct
let-7c-5p,let-7c-5p/mir-138-5p,"",direct
mir-19a-3p,mir-19a-3p/mir-301a-3p,"",direct
mir-10a-5p,mir-10a-5p/mir-320b,"",direct
mir-1-3p,mir-1-3p/mir-204-5p,"",direct
mir-33a-5p,mir-33a-5p/mir-33b-5p,"",direct
mir-31-5p,mir-31-5p/mir-424-5p,"",direct
let-7c-5p,let-7c-5p/mir-182-5p,"",direct
mir-1-3p,mir-1-3p/mir-155-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-221-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-185-3p,"",direct
let-7c-5p,let-7c-5p/mir-539-5p,"",direct
mir-33a-5p,mir-33a-5p/mir-96-5p,"",direct
mir-149-5p,mir-149-5p/mir-204-5p,"",direct
mir-223-3p,mir-223-3p/mir-377-3p,"",direct
mir-335-3p,mir-335-3p/mir-335-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-9-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-34c-5p,"",direct
mir-424-5p,mir-424-5p/mir-7-5p,"",direct
mir-187-3p,mir-187-3p/mir-30a-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-196b-5p,"",direct
mir-589-3p,mir-589-3p/mir-7-5p,"",direct
mir-19b-3p,mir-19b-3p/mir-338-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-30c-5p,"",direct
mir-338-3p,mir-338-3p/mir-424-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-30c-5p,"",direct
mir-582-5p,mir-582-5p/mir-99a-5p,"",direct
mir-363-3p,mir-363-3p/mir-625-5p,"",direct
mir-200b-3p,mir-200b-3p/mir-9-5p,"",direct
mir-200b-3p,mir-200b-3p/mir-9-5p,"",direct
mir-30a-5p,mir-30a-5p/mir-369-3p,"",direct
mir-155-5p,mir-155-5p/mir-320d,"",direct
mir-182-5p,mir-182-5p/mir-224-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-3065-3p,"",direct
mir-203a-3p,mir-203a-3p/mir-454-3p,"",direct
mir-193b-3p,mir-193b-3p/mir-381-3p,"",direct
mir-200a-3p,mir-200a-3p/mir-200b-3p,"",direct
mir-141-3p,mir-141-3p/mir-378a-3p,"",direct
mir-135b-5p,mir-135b-5p/mir-378a-3p,"",direct
mir-141-5p,mir-141-5p/mir-200b-3p,"",direct
mir-141-5p,mir-141-5p/mir-200b-3p,"",direct
