shared_name,name,info
mir-20b-5p,mir-20b-5p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-363-3p,mir-363-3p,mirna
mir-196b-5p,mir-196b-5p,mirna
mir-10a-5p,mir-10a-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-33b-5p,mir-33b-5p,mirna
mir-10a-5p,mir-10a-5p,mirna
mir-224-3p,mir-224-3p,mirna
let-7c-5p,let-7c-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-206,mir-206,mirna
mir-206,mir-206,mirna
mir-29b-3p,mir-29b-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-33b-5p,mir-33b-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-505-5p,mir-505-5p,mirna
mir-424-5p,mir-424-5p,mirna
mir-218-5p,mir-218-5p,mirna
mir-142-5p,mir-142-5p,mirna
mir-155-5p,mir-155-5p,mirna
mir-31-3p,mir-31-3p,mirna
mir-206,mir-206,mirna
mir-1-3p,mir-1-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-363-3p,mir-363-3p,mirna
mir-183-5p,mir-183-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-155-5p,mir-155-5p,mirna
mir-155-5p,mir-155-5p,mirna
mir-1-3p,mir-1-3p,mirna
mir-135b-5p,mir-135b-5p,mirna
mir-2355-3p,mir-2355-3p,mirna
mir-196a-5p,mir-196a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-338-3p,mir-338-3p,mirna
mir-141-3p,mir-141-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-378a-3p,mir-378a-3p,mirna
mir-429,mir-429,mirna
mir-183-5p,mir-183-5p,mirna
mir-199a-5p,mir-199a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-30a-3p,mir-30a-3p,mirna
mir-20a-3p,mir-20a-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-29b-3p,mir-29b-3p,mirna
mir-142-5p,mir-142-5p,mirna
mir-454-3p,mir-454-3p,mirna
mir-10a-5p,mir-10a-5p,mirna
mir-425-5p,mir-425-5p,mirna
mir-223-3p,mir-223-3p,mirna
mir-30a-3p,mir-30a-3p,mirna
mir-135b-5p,mir-135b-5p,mirna
mir-425-5p,mir-425-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-424-5p,mir-424-5p,mirna
mir-30c-5p,mir-30c-5p,mirna
mir-133b,mir-133b,mirna
mir-133b,mir-133b,mirna
mir-133a-3p,mir-133a-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-103a-2-5p,mir-103a-2-5p,mirna
mir-103a-2-5p,mir-103a-2-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-184,mir-184,mirna
mir-149-5p,mir-149-5p,mirna
mir-3065-5p,mir-3065-5p,mirna
mir-203a-3p,mir-203a-3p,mirna
let-7c-5p,let-7c-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-10a-5p,mir-10a-5p,mirna
mir-1-3p,mir-1-3p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-31-5p,mir-31-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-1-3p,mir-1-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-223-3p,mir-223-3p,mirna
mir-335-3p,mir-335-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-424-5p,mir-424-5p,mirna
mir-187-3p,mir-187-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-589-3p,mir-589-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-29b-3p,mir-29b-3p,mirna
mir-338-3p,mir-338-3p,mirna
mir-29b-3p,mir-29b-3p,mirna
mir-582-5p,mir-582-5p,mirna
mir-363-3p,mir-363-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-155-5p,mir-155-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-193b-3p,mir-193b-3p,mirna
