source,target,ModeOfRegulation,edgeType
mir-1-3p,mir-1-3p/mir-452-5p,"",direct
mir-142-3p,mir-142-3p/mir-142-5p,"",direct
mir-142-3p,mir-142-3p/mir-486-3p,"",direct
mir-122-5p,mir-122-5p/mir-362-3p,"",direct
mir-1270,mir-1270/mir-155-5p,"",direct
mir-142-5p,mir-142-5p/mir-150-5p,"",direct
mir-215-5p,mir-215-5p/mir-628-5p,"",direct
mir-452-5p,mir-1-3p/mir-452-5p,"",direct
mir-142-5p,mir-142-3p/mir-142-5p,"",direct
mir-486-3p,mir-142-3p/mir-486-3p,"",direct
mir-362-3p,mir-122-5p/mir-362-3p,"",direct
mir-155-5p,mir-1270/mir-155-5p,"",direct
mir-150-5p,mir-142-5p/mir-150-5p,"",direct
mir-628-5p,mir-215-5p/mir-628-5p,"",direct
mir-1-3p,ETS1_tf,"",direct
mir-142-3p,ELF1_tf,"",direct
mir-142-3p,MEF2A_tf,"",direct
mir-122-5p,FOXK2_tf,"",direct
mir-1270,NR2C2_tf,"",direct
mir-142-5p,TEAD1_tf,"",direct
mir-215-5p,MEF2A_tf,"",direct
ETS1_tf,BIRC2_target,1,direct
ELF1_tf,FOXO3_target,1,direct
MEF2A_tf,HIVEP2_target,1,direct
FOXK2_tf,STAT3_target,1,direct
NR2C2_tf,DICER1_target,1,direct
TEAD1_tf,VPS13D_target,1,direct
MEF2A_tf,PHTF2_target,1,direct
mir-1-3p/mir-452-5p,BIRC2_target,"",indirect
mir-142-3p/mir-142-5p,FOXO3_target,"",indirect
mir-142-3p/mir-486-3p,HIVEP2_target,"",indirect
mir-122-5p/mir-362-3p,STAT3_target,"",indirect
mir-1270/mir-155-5p,DICER1_target,"",indirect
mir-142-5p/mir-150-5p,VPS13D_target,"",indirect
mir-215-5p/mir-628-5p,PHTF2_target,"",indirect
