shared_name,name,info
mir-1-3p,mir-1-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-122-5p,mir-122-5p,mirna
mir-1270,mir-1270,mirna
mir-142-5p,mir-142-5p,mirna
mir-215-5p,mir-215-5p,mirna
mir-452-5p,mir-452-5p,mirna
mir-142-5p,mir-142-5p,mirna
mir-486-3p,mir-486-3p,mirna
mir-362-3p,mir-362-3p,mirna
mir-155-5p,mir-155-5p,mirna
mir-150-5p,mir-150-5p,mirna
mir-628-5p,mir-628-5p,mirna
ETS1_tf,ETS1,tf
ELF1_tf,ELF1,tf
MEF2A_tf,MEF2A,tf
FOXK2_tf,FOXK2,tf
NR2C2_tf,NR2C2,tf
TEAD1_tf,TEAD1,tf
MEF2A_tf,MEF2A,tf
BIRC2_target,BIRC2,target
FOXO3_target,FOXO3,target
HIVEP2_target,HIVEP2,target
STAT3_target,STAT3,target
DICER1_target,DICER1,target
VPS13D_target,VPS13D,target
PHTF2_target,PHTF2,target
mir-1-3p/mir-452-5p,"",dummy
mir-142-3p/mir-142-5p,"",dummy
mir-142-3p/mir-486-3p,"",dummy
mir-122-5p/mir-362-3p,"",dummy
mir-1270/mir-155-5p,"",dummy
mir-142-5p/mir-150-5p,"",dummy
mir-215-5p/mir-628-5p,"",dummy
