source,target,ModeOfRegulation,edgeType
mir-199a-5p,mir-199a-5p/mir-589-3p,"",direct
let-7f-5p,let-7f-5p/mir-127-5p,"",direct
mir-203a-3p,mir-203a-3p/mir-224-5p,"",direct
mir-29b-2-5p,mir-29b-2-5p/mir-301a-3p,"",direct
mir-301a-3p,mir-301a-3p/mir-616-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-301a-3p,"",direct
mir-502-5p,mir-502-5p/mir-9-5p,"",direct
mir-26b-3p,mir-26b-3p/mir-548j-5p,"",direct
mir-7-5p,mir-7-5p/mir-9-5p,"",direct
mir-301a-3p,mir-301a-3p/mir-505-5p,"",direct
let-7c-5p,let-7c-5p/mir-3065-3p,"",direct
mir-29a-5p,mir-29a-5p/mir-93-3p,"",direct
mir-18a-5p,mir-18a-5p/mir-877-5p,"",direct
mir-150-5p,mir-150-5p/mir-7-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-30b-5p,"",direct
mir-204-5p,mir-204-5p/mir-30a-3p,"",direct
mir-301a-3p,mir-301a-3p/mir-769-3p,"",direct
mir-338-3p,mir-338-3p/mir-500a-5p,"",direct
mir-29a-5p,mir-29a-5p/mir-532-3p,"",direct
mir-324-5p,mir-324-5p/mir-455-3p,"",direct
mir-193b-3p,mir-193b-3p/mir-30b-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-671-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-629-3p,"",direct
mir-30b-5p,mir-30b-5p/mir-324-5p,"",direct
let-7f-5p,let-7f-5p/let-7g-3p,"",direct
mir-29a-5p,mir-29a-5p/mir-616-5p,"",direct
mir-29a-5p,mir-29a-5p/mir-93-3p,"",direct
mir-29a-5p,mir-29a-5p/mir-589-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-363-3p,"",direct
mir-130a-3p,mir-130a-3p/mir-20a-5p,"",direct
mir-324-5p,mir-324-5p/mir-532-3p,"",direct
mir-26b-3p,mir-26b-3p/mir-93-3p,"",direct
mir-589-3p,mir-589-3p/mir-93-3p,"",direct
mir-29a-5p,mir-29a-5p/mir-616-5p,"",direct
mir-145-5p,mir-145-5p/mir-324-5p,"",direct
mir-421,mir-421/mir-940,"",direct
mir-3065-5p,mir-3065-5p/mir-378c,"",direct
mir-135b-5p,mir-135b-5p/mir-200a-3p,"",direct
mir-500a-5p,mir-500a-5p/mir-642a-5p,"",direct
