shared_name,name,info
mir-199a-5p,mir-199a-5p,mirna
let-7f-5p,let-7f-5p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-29b-2-5p,mir-29b-2-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-29b-3p,mir-29b-3p,mirna
mir-502-5p,mir-502-5p,mirna
mir-26b-3p,mir-26b-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
let-7c-5p,let-7c-5p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-150-5p,mir-150-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-338-3p,mir-338-3p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-30b-5p,mir-30b-5p,mirna
let-7f-5p,let-7f-5p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-324-5p,mir-324-5p,mirna
mir-26b-3p,mir-26b-3p,mirna
mir-589-3p,mir-589-3p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-145-5p,mir-145-5p,mirna
mir-421,mir-421,mirna
mir-3065-5p,mir-3065-5p,mirna
mir-135b-5p,mir-135b-5p,mirna
mir-500a-5p,mir-500a-5p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-326,mir-326,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-29b-3p,mir-29b-3p,mirna
mir-29b-3p,mir-29b-3p,mirna
let-7g-3p,let-7g-3p,mirna
mir-29a-5p,mir-29a-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
let-7f-5p,let-7f-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-145-5p,mir-145-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-192-5p,mir-192-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-26b-3p,mir-26b-3p,mirna
mir-193b-3p,mir-193b-3p,mirna
