source,target,ModeOfRegulation,edgeType
mir-135b-5p,mir-135b-5p/mir-205-5p,"",direct
mir-204-5p,mir-204-5p/mir-9-5p,"",direct
mir-204-5p,mir-204-5p/mir-9-5p,"",direct
mir-139-3p,mir-139-3p/mir-192-3p,"",direct
mir-1179,mir-1179/mir-96-5p,"",direct
mir-135a-5p,mir-135a-5p/mir-3065-3p,"",direct
mir-129-5p,mir-129-5p/mir-7-5p,"",direct
mir-7-5p,mir-7-5p/mir-877-5p,"",direct
mir-1179,mir-1179/mir-1224-5p,"",direct
mir-1179,mir-1179/mir-592,"",direct
mir-642a-5p,mir-642a-5p/mir-7-5p,"",direct
mir-153-3p,mir-153-3p/mir-33a-5p,"",direct
mir-33b-5p,mir-33b-5p/mir-376a-3p,"",direct
mir-153-3p,mir-153-3p/mir-376a-3p,"",direct
mir-193b-3p,mir-193b-3p/mir-584-5p,"",direct
mir-129-5p,mir-129-5p/mir-7-5p,"",direct
mir-129-5p,mir-129-5p/mir-204-5p,"",direct
mir-31-5p,mir-31-5p/mir-675-3p,"",direct
mir-1179,mir-1179/mir-3065-5p,"",direct
mir-153-3p,mir-153-3p/mir-33b-5p,"",direct
mir-192-3p,mir-192-3p/mir-203a-3p,"",direct
mir-146a-5p,mir-146a-5p/mir-577,"",direct
mir-204-5p,mir-204-5p/mir-9-5p,"",direct
mir-223-3p,mir-223-3p/mir-33a-5p,"",direct
mir-153-3p,mir-153-3p/mir-376a-3p,"",direct
mir-429,mir-429/mir-656-3p,"",direct
mir-193b-5p,mir-193b-5p/mir-224-5p,"",direct
mir-141-3p,mir-141-3p/mir-194-3p,"",direct
mir-153-3p,mir-153-3p/mir-7-5p,"",direct
mir-205-5p,mir-135b-5p/mir-205-5p,"",direct
mir-9-5p,mir-204-5p/mir-9-5p,"",direct
mir-9-5p,mir-204-5p/mir-9-5p,"",direct
mir-192-3p,mir-139-3p/mir-192-3p,"",direct
mir-96-5p,mir-1179/mir-96-5p,"",direct
mir-3065-3p,mir-135a-5p/mir-3065-3p,"",direct
mir-7-5p,mir-129-5p/mir-7-5p,"",direct
mir-877-5p,mir-7-5p/mir-877-5p,"",direct
mir-1224-5p,mir-1179/mir-1224-5p,"",direct
mir-592,mir-1179/mir-592,"",direct
mir-7-5p,mir-642a-5p/mir-7-5p,"",direct
mir-33a-5p,mir-153-3p/mir-33a-5p,"",direct
mir-376a-3p,mir-33b-5p/mir-376a-3p,"",direct
mir-376a-3p,mir-153-3p/mir-376a-3p,"",direct
mir-584-5p,mir-193b-3p/mir-584-5p,"",direct
mir-7-5p,mir-129-5p/mir-7-5p,"",direct
mir-204-5p,mir-129-5p/mir-204-5p,"",direct
mir-675-3p,mir-31-5p/mir-675-3p,"",direct
mir-3065-5p,mir-1179/mir-3065-5p,"",direct
mir-33b-5p,mir-153-3p/mir-33b-5p,"",direct
mir-203a-3p,mir-192-3p/mir-203a-3p,"",direct
