source,target,ModeOfRegulation,edgeType
mir-20b-5p,mir-20b-5p/mir-33a-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-338-5p,"",direct
mir-135a-5p,mir-135a-5p/mir-362-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-33b-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-33b-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-33b-5p,"",direct
let-7g-3p,let-7g-3p/mir-33b-5p,"",direct
let-7g-3p,let-7g-3p/mir-33b-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-33b-5p,"",direct
mir-33a-5p,mir-33a-5p/mir-33b-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-33b-5p,"",direct
mir-338-3p,mir-338-3p/mir-362-3p,"",direct
mir-338-3p,mir-338-3p/mir-362-3p,"",direct
mir-182-5p,mir-182-5p/mir-7-5p,"",direct
mir-141-3p,mir-141-3p/mir-338-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-221-5p,"",direct
mir-205-5p,mir-205-5p/mir-944,"",direct
mir-31-5p,mir-31-5p/mir-455-3p,"",direct
mir-182-5p,mir-182-5p/mir-20b-5p,"",direct
mir-149-5p,mir-149-5p/mir-3065-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-221-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-20b-5p,"",direct
mir-182-5p,mir-182-5p/mir-200a-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-33a-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-33a-3p,"",direct
let-7g-3p,let-7g-3p/mir-20b-5p,"",direct
mir-362-3p,mir-362-3p/mir-7-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-3065-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-3065-5p,"",direct
mir-200a-3p,mir-200a-3p/mir-9-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-33b-5p,"",direct
mir-142-3p,mir-142-3p/mir-33b-5p,"",direct
mir-142-3p,mir-142-3p/mir-33b-5p,"",direct
mir-106a-3p,mir-106a-3p/mir-383-5p,"",direct
mir-133b,mir-133b/mir-149-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-450b-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-9-3p,"",direct
mir-204-5p,mir-204-5p/mir-33b-5p,"",direct
mir-4326,mir-4326/mir-486-5p,"",direct
mir-362-3p,mir-362-3p/mir-615-3p,"",direct
mir-106a-5p,mir-106a-5p/mir-18b-5p,"",direct
mir-221-5p,mir-221-5p/mir-503-5p,"",direct
mir-338-5p,mir-338-5p/mir-653-5p,"",direct
mir-29b-1-5p,mir-29b-1-5p/mir-9-5p,"",direct
mir-200a-3p,mir-200a-3p/mir-33a-5p,"",direct
mir-141-3p,mir-141-3p/mir-33b-5p,"",direct
mir-149-5p,mir-149-5p/mir-362-3p,"",direct
mir-362-3p,mir-362-3p/mir-629-3p,"",direct
mir-29b-1-5p,mir-29b-1-5p/mir-503-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-486-5p,"",direct
mir-200a-3p,mir-200a-3p/mir-653-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-497-3p,"",direct
