source,target,ModeOfRegulation,edgeType
mir-18a-3p,mir-18a-3p/mir-33a-5p,"",direct
mir-377-5p,mir-377-5p/mir-424-5p,"",direct
mir-29a-3p,mir-29a-3p/mir-511-5p,"",direct
mir-214-3p,mir-214-3p/mir-627-5p,"",direct
mir-33a-5p,mir-18a-3p/mir-33a-5p,"",direct
mir-424-5p,mir-377-5p/mir-424-5p,"",direct
mir-511-5p,mir-29a-3p/mir-511-5p,"",direct
mir-627-5p,mir-214-3p/mir-627-5p,"",direct
mir-18a-3p,MYC_tf,"",direct
mir-377-5p,MYC_tf,"",direct
mir-29a-3p,NCOA3_tf,"",direct
mir-214-3p,ZNF384_tf,"",direct
MYC_tf,ADCY9_target,1,direct
MYC_tf,BCL2_target,1,direct
NCOA3_tf,BCL2_target,1,direct
ZNF384_tf,CNOT1_target,1,direct
mir-18a-3p/mir-33a-5p,ADCY9_target,"",indirect
mir-377-5p/mir-424-5p,BCL2_target,"",indirect
mir-29a-3p/mir-511-5p,BCL2_target,"",indirect
mir-214-3p/mir-627-5p,CNOT1_target,"",indirect
