shared_name,name,info
mir-18a-3p,mir-18a-3p,mirna
mir-377-5p,mir-377-5p,mirna
mir-29a-3p,mir-29a-3p,mirna
mir-214-3p,mir-214-3p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-424-5p,mir-424-5p,mirna
mir-511-5p,mir-511-5p,mirna
mir-627-5p,mir-627-5p,mirna
MYC_tf,MYC,tf
MYC_tf,MYC,tf
NCOA3_tf,NCOA3,tf
ZNF384_tf,ZNF384,tf
ADCY9_target,ADCY9,target
BCL2_target,BCL2,target
BCL2_target,BCL2,target
CNOT1_target,CNOT1,target
mir-18a-3p/mir-33a-5p,"",dummy
mir-377-5p/mir-424-5p,"",dummy
mir-29a-3p/mir-511-5p,"",dummy
mir-214-3p/mir-627-5p,"",dummy
