source,target,ModeOfRegulation,edgeType
mir-127-5p,mir-127-5p/mir-34c-3p,"",direct
mir-204-5p,mir-204-5p/mir-301b-3p,"",direct
mir-204-5p,mir-204-5p/mir-450b-5p,"",direct
mir-338-3p,mir-338-3p/mir-338-5p,"",direct
mir-205-5p,mir-205-5p/mir-96-5p,"",direct
mir-204-5p,mir-204-5p/mir-548v,"",direct
mir-204-5p,mir-204-5p/mir-548v,"",direct
mir-204-5p,mir-204-5p/mir-548v,"",direct
let-7f-5p,let-7f-5p/mir-19a-3p,"",direct
mir-200a-3p,mir-200a-3p/mir-33a-5p,"",direct
mir-301b-3p,mir-301b-3p/mir-7-5p,"",direct
mir-301b-3p,mir-301b-3p/mir-616-5p,"",direct
mir-221-3p,mir-221-3p/mir-301b-3p,"",direct
mir-135a-5p,mir-135a-5p/mir-221-3p,"",direct
mir-221-3p,mir-221-3p/mir-96-5p,"",direct
mir-135a-5p,mir-135a-5p/mir-221-3p,"",direct
mir-148a-3p,mir-148a-3p/mir-338-5p,"",direct
mir-182-5p,mir-182-5p/mir-204-5p,"",direct
mir-139-5p,mir-139-5p/mir-20b-5p,"",direct
mir-127-5p,mir-127-5p/mir-675-3p,"",direct
mir-182-5p,mir-182-5p/mir-503-5p,"",direct
mir-210-3p,mir-210-3p/mir-9-5p,"",direct
mir-148a-3p,mir-148a-3p/mir-577,"",direct
mir-150-5p,mir-150-5p/mir-223-5p,"",direct
mir-148a-3p,mir-148a-3p/mir-9-5p,"",direct
mir-148a-3p,mir-148a-3p/mir-9-5p,"",direct
mir-21-5p,mir-21-5p/mir-338-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-616-5p,"",direct
mir-127-5p,mir-127-5p/mir-381-3p,"",direct
let-7f-5p,let-7f-5p/mir-19a-3p,"",direct
let-7f-5p,let-7f-5p/mir-19a-3p,"",direct
let-7f-5p,let-7f-5p/mir-19a-3p,"",direct
mir-338-3p,mir-338-3p/mir-944,"",direct
mir-200a-3p,mir-200a-3p/mir-221-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-210-3p,"",direct
mir-193b-3p,mir-193b-3p/mir-21-3p,"",direct
mir-3065-3p,mir-3065-3p/mir-424-5p,"",direct
mir-195-3p,mir-195-3p/mir-199b-5p,"",direct
mir-130a-5p,mir-130a-5p/mir-20b-5p,"",direct
mir-138-5p,mir-138-5p/mir-148a-3p,"",direct
mir-148a-3p,mir-148a-3p/mir-345-5p,"",direct
mir-127-5p,mir-127-5p/mir-155-5p,"",direct
mir-155-5p,mir-155-5p/mir-199a-3p,"",direct
mir-34c-3p,mir-34c-3p/mir-944,"",direct
mir-200a-3p,mir-200a-3p/mir-34c-5p,"",direct
mir-138-5p,mir-138-5p/mir-204-5p,"",direct
mir-708-5p,mir-708-5p/mir-96-5p,"",direct
mir-103a-2-5p,mir-103a-2-5p/mir-182-5p,"",direct
mir-182-5p,mir-182-5p/mir-9-5p,"",direct
mir-146a-5p,mir-146a-5p/mir-148a-3p,"",direct
mir-19a-3p,mir-19a-3p/mir-221-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-3130-5p,"",direct
mir-589-3p,mir-589-3p/mir-7-5p,"",direct
mir-301b-3p,mir-301b-3p/mir-338-5p,"",direct
mir-200b-5p,mir-200b-5p/mir-96-5p,"",direct
mir-200a-3p,mir-200a-3p/mir-3065-3p,"",direct
mir-214-3p,mir-214-3p/mir-409-3p,"",direct
mir-136-5p,mir-136-5p/mir-214-3p,"",direct
mir-409-3p,mir-409-3p/mir-96-5p,"",direct
mir-130a-5p,mir-130a-5p/mir-616-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-503-5p,"",direct
mir-146b-5p,mir-146b-5p/mir-19a-3p,"",direct
mir-138-5p,mir-138-5p/mir-21-5p,"",direct
mir-31-3p,mir-31-3p/mir-424-5p,"",direct
mir-33a-5p,mir-33a-5p/mir-874-3p,"",direct
mir-193b-3p,mir-193b-3p/mir-320d,"",direct
mir-214-3p,mir-214-3p/mir-221-3p,"",direct
let-7f-5p,let-7f-5p/mir-199a-5p,"",direct
mir-199a-5p,mir-199a-5p/mir-432-5p,"",direct
mir-214-3p,mir-214-3p/mir-432-5p,"",direct
mir-146a-5p,mir-146a-5p/mir-148a-3p,"",direct
mir-193b-5p,mir-193b-5p/mir-33a-5p,"",direct
mir-139-5p,mir-139-5p/mir-338-3p,"",direct
mir-212-3p,mir-212-3p/mir-940,"",direct
mir-142-5p,mir-142-5p/mir-204-5p,"",direct
mir-138-5p,mir-138-5p/mir-542-3p,"",direct
mir-138-5p,mir-138-5p/mir-542-3p,"",direct
mir-138-5p,mir-138-5p/mir-542-3p,"",direct
mir-199b-3p,mir-199b-3p/mir-370-3p,"",direct
mir-221-3p,mir-221-3p/mir-382-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-223-3p,"",direct
mir-1-3p,mir-1-3p/mir-411-5p,"",direct
let-7f-5p,let-7f-5p/mir-21-5p,"",direct
mir-153-3p,mir-153-3p/mir-221-5p,"",direct
mir-148a-3p,mir-148a-3p/mir-182-5p,"",direct
mir-182-5p,mir-182-5p/mir-503-5p,"",direct
mir-183-5p,mir-183-5p/mir-503-5p,"",direct
mir-130a-5p,mir-130a-5p/mir-363-3p,"",direct
mir-21-3p,mir-21-3p/mir-493-3p,"",direct
mir-204-5p,mir-204-5p/mir-940,"",direct
mir-204-5p,mir-204-5p/mir-338-5p,"",direct
mir-214-3p,mir-214-3p/mir-889-3p,"",direct
mir-199a-3p,mir-199a-3p/mir-889-3p,"",direct
mir-142-3p,mir-142-3p/mir-150-5p,"",direct
mir-424-5p,mir-424-5p/mir-503-5p,"",direct
mir-21-5p,mir-21-5p/mir-3065-5p,"",direct
mir-301b-3p,mir-301b-3p/mir-7-5p,"",direct
mir-542-3p,mir-542-3p/mir-9-5p,"",direct
mir-548b-3p,mir-548b-3p/mir-944,"",direct
mir-21-5p,mir-21-5p/mir-675-3p,"",direct
mir-654-3p,mir-654-3p/mir-708-5p,"",direct
mir-301b-3p,mir-301b-3p/mir-33b-5p,"",direct
mir-221-3p,mir-221-3p/mir-424-5p,"",direct
mir-148a-3p,mir-148a-3p/mir-301b-3p,"",direct
mir-146b-5p,mir-146b-5p/mir-221-5p,"",direct
mir-195-3p,mir-195-3p/mir-548o-3p,"",direct
mir-450b-5p,mir-450b-5p/mir-7-5p,"",direct
mir-204-5p,mir-204-5p/mir-7-5p,"",direct
mir-127-5p,mir-127-5p/mir-199a-5p,"",direct
mir-142-3p,mir-142-3p/mir-874-3p,"",direct
mir-21-5p,mir-21-5p/mir-508-5p,"",direct
mir-203a-3p,mir-203a-3p/mir-508-5p,"",direct
mir-214-3p,mir-214-3p/mir-23c,"",direct
mir-199a-5p,mir-199a-5p/mir-432-5p,"",direct
mir-199b-5p,mir-199b-5p/mir-432-5p,"",direct
mir-148a-3p,mir-148a-3p/mir-9-5p,"",direct
mir-199a-3p,mir-199a-3p/mir-20b-5p,"",direct
mir-138-5p,mir-138-5p/mir-338-5p,"",direct
let-7f-5p,let-7f-5p/mir-2110,"",direct
mir-19a-3p,mir-19a-3p/mir-221-3p,"",direct
mir-676-3p,mir-676-3p/mir-9-5p,"",direct
mir-155-5p,mir-155-5p/mir-96-5p,"",direct
mir-142-3p,mir-142-3p/mir-301b-3p,"",direct
mir-138-5p,mir-138-5p/mir-940,"",direct
mir-33a-5p,mir-33a-5p/mir-940,"",direct
mir-33a-5p,mir-33a-5p/mir-940,"",direct
mir-589-3p,mir-589-3p/mir-940,"",direct
mir-155-5p,mir-155-5p/mir-205-5p,"",direct
mir-155-5p,mir-155-5p/mir-205-5p,"",direct
mir-188-3p,mir-188-3p/mir-193b-3p,"",direct
mir-34c-3p,mir-127-5p/mir-34c-3p,"",direct
mir-301b-3p,mir-204-5p/mir-301b-3p,"",direct
mir-450b-5p,mir-204-5p/mir-450b-5p,"",direct
mir-338-5p,mir-338-3p/mir-338-5p,"",direct
mir-96-5p,mir-205-5p/mir-96-5p,"",direct
mir-548v,mir-204-5p/mir-548v,"",direct
mir-548v,mir-204-5p/mir-548v,"",direct
mir-548v,mir-204-5p/mir-548v,"",direct
mir-19a-3p,let-7f-5p/mir-19a-3p,"",direct
mir-33a-5p,mir-200a-3p/mir-33a-5p,"",direct
mir-7-5p,mir-301b-3p/mir-7-5p,"",direct
mir-616-5p,mir-301b-3p/mir-616-5p,"",direct
mir-301b-3p,mir-221-3p/mir-301b-3p,"",direct
mir-221-3p,mir-135a-5p/mir-221-3p,"",direct
mir-96-5p,mir-221-3p/mir-96-5p,"",direct
mir-221-3p,mir-135a-5p/mir-221-3p,"",direct
mir-338-5p,mir-148a-3p/mir-338-5p,"",direct
mir-204-5p,mir-182-5p/mir-204-5p,"",direct
mir-20b-5p,mir-139-5p/mir-20b-5p,"",direct
mir-675-3p,mir-127-5p/mir-675-3p,"",direct
mir-503-5p,mir-182-5p/mir-503-5p,"",direct
mir-9-5p,mir-210-3p/mir-9-5p,"",direct
mir-577,mir-148a-3p/mir-577,"",direct
mir-223-5p,mir-150-5p/mir-223-5p,"",direct
mir-9-5p,mir-148a-3p/mir-9-5p,"",direct
mir-9-5p,mir-148a-3p/mir-9-5p,"",direct
mir-338-3p,mir-21-5p/mir-338-3p,"",direct
mir-616-5p,mir-20b-5p/mir-616-5p,"",direct
mir-381-3p,mir-127-5p/mir-381-3p,"",direct
mir-19a-3p,let-7f-5p/mir-19a-3p,"",direct
mir-19a-3p,let-7f-5p/mir-19a-3p,"",direct
mir-19a-3p,let-7f-5p/mir-19a-3p,"",direct
mir-944,mir-338-3p/mir-944,"",direct
mir-221-3p,mir-200a-3p/mir-221-3p,"",direct
mir-210-3p,mir-20b-5p/mir-210-3p,"",direct
mir-21-3p,mir-193b-3p/mir-21-3p,"",direct
mir-424-5p,mir-3065-3p/mir-424-5p,"",direct
mir-199b-5p,mir-195-3p/mir-199b-5p,"",direct
mir-20b-5p,mir-130a-5p/mir-20b-5p,"",direct
mir-148a-3p,mir-138-5p/mir-148a-3p,"",direct
mir-345-5p,mir-148a-3p/mir-345-5p,"",direct
mir-155-5p,mir-127-5p/mir-155-5p,"",direct
mir-199a-3p,mir-155-5p/mir-199a-3p,"",direct
mir-944,mir-34c-3p/mir-944,"",direct
mir-34c-5p,mir-200a-3p/mir-34c-5p,"",direct
mir-204-5p,mir-138-5p/mir-204-5p,"",direct
mir-96-5p,mir-708-5p/mir-96-5p,"",direct
mir-182-5p,mir-103a-2-5p/mir-182-5p,"",direct
mir-9-5p,mir-182-5p/mir-9-5p,"",direct
mir-148a-3p,mir-146a-5p/mir-148a-3p,"",direct
mir-221-3p,mir-19a-3p/mir-221-3p,"",direct
mir-3130-5p,mir-20b-5p/mir-3130-5p,"",direct
mir-7-5p,mir-589-3p/mir-7-5p,"",direct
mir-338-5p,mir-301b-3p/mir-338-5p,"",direct
mir-96-5p,mir-200b-5p/mir-96-5p,"",direct
mir-3065-3p,mir-200a-3p/mir-3065-3p,"",direct
mir-409-3p,mir-214-3p/mir-409-3p,"",direct
mir-214-3p,mir-136-5p/mir-214-3p,"",direct
mir-96-5p,mir-409-3p/mir-96-5p,"",direct
mir-616-5p,mir-130a-5p/mir-616-5p,"",direct
mir-503-5p,mir-20b-5p/mir-503-5p,"",direct
mir-19a-3p,mir-146b-5p/mir-19a-3p,"",direct
mir-21-5p,mir-138-5p/mir-21-5p,"",direct
mir-424-5p,mir-31-3p/mir-424-5p,"",direct
mir-874-3p,mir-33a-5p/mir-874-3p,"",direct
mir-320d,mir-193b-3p/mir-320d,"",direct
mir-221-3p,mir-214-3p/mir-221-3p,"",direct
mir-199a-5p,let-7f-5p/mir-199a-5p,"",direct
mir-432-5p,mir-199a-5p/mir-432-5p,"",direct
mir-432-5p,mir-214-3p/mir-432-5p,"",direct
mir-148a-3p,mir-146a-5p/mir-148a-3p,"",direct
mir-33a-5p,mir-193b-5p/mir-33a-5p,"",direct
mir-338-3p,mir-139-5p/mir-338-3p,"",direct
mir-940,mir-212-3p/mir-940,"",direct
mir-204-5p,mir-142-5p/mir-204-5p,"",direct
mir-542-3p,mir-138-5p/mir-542-3p,"",direct
mir-542-3p,mir-138-5p/mir-542-3p,"",direct
mir-542-3p,mir-138-5p/mir-542-3p,"",direct
mir-370-3p,mir-199b-3p/mir-370-3p,"",direct
mir-382-5p,mir-221-3p/mir-382-5p,"",direct
mir-223-3p,mir-20b-5p/mir-223-3p,"",direct
mir-411-5p,mir-1-3p/mir-411-5p,"",direct
mir-21-5p,let-7f-5p/mir-21-5p,"",direct
mir-221-5p,mir-153-3p/mir-221-5p,"",direct
mir-182-5p,mir-148a-3p/mir-182-5p,"",direct
mir-503-5p,mir-182-5p/mir-503-5p,"",direct
mir-503-5p,mir-183-5p/mir-503-5p,"",direct
mir-363-3p,mir-130a-5p/mir-363-3p,"",direct
mir-493-3p,mir-21-3p/mir-493-3p,"",direct
mir-940,mir-204-5p/mir-940,"",direct
mir-338-5p,mir-204-5p/mir-338-5p,"",direct
mir-889-3p,mir-214-3p/mir-889-3p,"",direct
