shared_name,name,info
mir-127-5p,mir-127-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-338-3p,mir-338-3p,mirna
mir-205-5p,mir-205-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-204-5p,mir-204-5p,mirna
let-7f-5p,let-7f-5p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-221-3p,mir-221-3p,mirna
mir-135a-5p,mir-135a-5p,mirna
mir-221-3p,mir-221-3p,mirna
mir-135a-5p,mir-135a-5p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-182-5p,mir-182-5p,mirna
mir-139-5p,mir-139-5p,mirna
mir-127-5p,mir-127-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-210-3p,mir-210-3p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-150-5p,mir-150-5p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-21-5p,mir-21-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-127-5p,mir-127-5p,mirna
let-7f-5p,let-7f-5p,mirna
let-7f-5p,let-7f-5p,mirna
let-7f-5p,let-7f-5p,mirna
mir-338-3p,mir-338-3p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-3065-3p,mir-3065-3p,mirna
mir-195-3p,mir-195-3p,mirna
mir-130a-5p,mir-130a-5p,mirna
mir-138-5p,mir-138-5p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-127-5p,mir-127-5p,mirna
mir-155-5p,mir-155-5p,mirna
mir-34c-3p,mir-34c-3p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-138-5p,mir-138-5p,mirna
mir-708-5p,mir-708-5p,mirna
mir-103a-2-5p,mir-103a-2-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-146a-5p,mir-146a-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-589-3p,mir-589-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-200b-5p,mir-200b-5p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-214-3p,mir-214-3p,mirna
mir-136-5p,mir-136-5p,mirna
mir-409-3p,mir-409-3p,mirna
mir-130a-5p,mir-130a-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-146b-5p,mir-146b-5p,mirna
mir-138-5p,mir-138-5p,mirna
mir-31-3p,mir-31-3p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-214-3p,mir-214-3p,mirna
let-7f-5p,let-7f-5p,mirna
mir-199a-5p,mir-199a-5p,mirna
mir-214-3p,mir-214-3p,mirna
mir-146a-5p,mir-146a-5p,mirna
mir-193b-5p,mir-193b-5p,mirna
mir-139-5p,mir-139-5p,mirna
mir-212-3p,mir-212-3p,mirna
mir-142-5p,mir-142-5p,mirna
mir-138-5p,mir-138-5p,mirna
mir-138-5p,mir-138-5p,mirna
mir-138-5p,mir-138-5p,mirna
mir-199b-3p,mir-199b-3p,mirna
mir-221-3p,mir-221-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-1-3p,mir-1-3p,mirna
let-7f-5p,let-7f-5p,mirna
mir-153-3p,mir-153-3p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-182-5p,mir-182-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-130a-5p,mir-130a-5p,mirna
mir-21-3p,mir-21-3p,mirna
mir-204-5p,mir-204-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-214-3p,mir-214-3p,mirna
mir-199a-3p,mir-199a-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-424-5p,mir-424-5p,mirna
mir-21-5p,mir-21-5p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-542-3p,mir-542-3p,mirna
mir-548b-3p,mir-548b-3p,mirna
mir-21-5p,mir-21-5p,mirna
mir-654-3p,mir-654-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-221-3p,mir-221-3p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-146b-5p,mir-146b-5p,mirna
mir-195-3p,mir-195-3p,mirna
mir-450b-5p,mir-450b-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-127-5p,mir-127-5p,mirna
mir-142-3p,mir-142-3p,mirna
