shared_name,name,info
mir-197-3p,mir-197-3p,mirna
mir-199b-3p,mir-199b-3p,mirna
mir-146b-5p,mir-146b-5p,mirna
mir-146b-5p,mir-146b-5p,mirna
mir-221-3p,mir-221-3p,mirna
mir-34c-5p,mir-34c-5p,mirna
mir-330-5p,mir-330-5p,mirna
mir-34a-5p,mir-34a-5p,mirna
mir-629-3p,mir-629-3p,mirna
mir-509-3-5p,mir-509-3-5p,mirna
BACH1_tf,BACH1,tf
MAFK_tf,MAFK,tf
KDM5B_tf,KDM5B,tf
CTCF_tf,CTCF,tf
TCF12_tf,TCF12,tf
GCLC_target,GCLC,target
GNA12_target,GNA12,target
MYH9_target,MYH9,target
PPRC1_target,PPRC1,target
TNRC6B_target,TNRC6B,target
mir-197-3p/mir-34c-5p,"",dummy
mir-199b-3p/mir-330-5p,"",dummy
mir-146b-5p/mir-34a-5p,"",dummy
mir-146b-5p/mir-629-3p,"",dummy
mir-221-3p/mir-509-3-5p,"",dummy
