shared_name,name,info
mir-101-5p,mir-101-5p,mirna
mir-378a-5p,mir-378a-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-135b-5p,mir-135b-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-766-3p,mir-766-3p,mirna
mir-326,mir-326,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-183-5p,mir-183-5p,mirna
mir-410-3p,mir-410-3p,mirna
mir-20a-3p,mir-20a-3p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-223-5p,mir-223-5p,mirna
mir-410-3p,mir-410-3p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-191-5p,mir-191-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-2355-3p,mir-2355-3p,mirna
mir-338-3p,mir-338-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-342-5p,mir-342-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-150-3p,mir-150-3p,mirna
mir-155-5p,mir-155-5p,mirna
mir-196a-5p,mir-196a-5p,mirna
mir-221-5p,mir-221-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-148b-5p,mir-148b-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-184,mir-184,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-550a-5p,mir-550a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-184,mir-184,mirna
mir-191-5p,mir-191-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-191-5p,mir-191-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-204-5p,mir-204-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-331-3p,mir-331-3p,mirna
mir-532-3p,mir-532-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-155-5p,mir-155-5p,mirna
mir-135b-5p,mir-135b-5p,mirna
mir-135b-5p,mir-135b-5p,mirna
mir-326,mir-326,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-145-5p,mir-145-5p,mirna
mir-130b-5p,mir-130b-5p,mirna
mir-205-5p,mir-205-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-651-5p,mir-651-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-338-3p,mir-338-3p,mirna
mir-10a-3p,mir-10a-3p,mirna
mir-136-5p,mir-136-5p,mirna
mir-136-5p,mir-136-5p,mirna
mir-331-3p,mir-331-3p,mirna
mir-153-3p,mir-153-3p,mirna
mir-1180-3p,mir-1180-3p,mirna
mir-149-5p,mir-149-5p,mirna
mir-331-3p,mir-331-3p,mirna
mir-1271-5p,mir-1271-5p,mirna
mir-505-5p,mir-505-5p,mirna
mir-1226-3p,mir-1226-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-1271-5p,mir-1271-5p,mirna
mir-153-3p,mir-153-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-1271-5p,mir-1271-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-150-5p,mir-150-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-155-5p,mir-155-5p,mirna
mir-328-3p,mir-328-3p,mirna
mir-328-3p,mir-328-3p,mirna
mir-331-3p,mir-331-3p,mirna
mir-331-3p,mir-331-3p,mirna
mir-484,mir-484,mirna
mir-331-3p,mir-331-3p,mirna
mir-135b-5p,mir-135b-5p,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-184,mir-184,mirna
mir-505-3p,mir-505-3p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-29b-2-5p,mir-29b-2-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-1306-3p,mir-1306-3p,mirna
mir-505-5p,mir-505-5p,mirna
mir-205-5p,mir-205-5p,mirna
mir-221-5p,mir-221-5p,mirna
let-7g-3p,let-7g-3p,mirna
mir-1301-3p,mir-1301-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-224-5p,mir-224-5p,mirna
mir-155-5p,mir-155-5p,mirna
mir-505-5p,mir-505-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-191-5p,mir-191-5p,mirna
mir-224-3p,mir-224-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-363-3p,mir-363-3p,mirna
mir-185-3p,mir-185-3p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-590-3p,mir-590-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-223-5p,mir-223-5p,mirna
mir-221-5p,mir-221-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-205-5p,mir-205-5p,mirna
mir-505-5p,mir-505-5p,mirna
mir-188-3p,mir-188-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-142-3p,mir-142-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-142-3p,mir-142-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-142-3p,mir-142-3p,mirna
mir-425-5p,mir-425-5p,mirna
mir-142-3p,mir-142-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-548b-3p,mir-548b-3p,mirna
mir-484,mir-484,mirna
mir-501-5p,mir-501-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-342-5p,mir-342-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-96-5p,mir-96-5p,mirna
mir-503-5p,mir-503-5p,mirna
mir-92a-1-5p,mir-92a-1-5p,mirna
mir-511-5p,mir-511-5p,mirna
mir-501-3p,mir-501-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-429,mir-429,mirna
mir-342-3p,mir-342-3p,mirna
mir-590-3p,mir-590-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-93-3p,mir-93-3p,mirna
mir-454-3p,mir-454-3p,mirna
mir-27a-5p,mir-27a-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-429,mir-429,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-192-5p,mir-192-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-590-3p,mir-590-3p,mirna
mir-96-5p,mir-96-5p,mirna
mir-93-3p,mir-93-3p,mirna
mir-30b-3p,mir-30b-3p,mirna
mir-766-3p,mir-766-3p,mirna
mir-494-3p,mir-494-3p,mirna
mir-155-5p,mir-155-5p,mirna
mir-215-5p,mir-215-5p,mirna
mir-550a-3p,mir-550a-3p,mirna
mir-223-5p,mir-223-5p,mirna
mir-935,mir-935,mirna
mir-193b-5p,mir-193b-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-192-5p,mir-192-5p,mirna
mir-185-3p,mir-185-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-96-5p,mir-96-5p,mirna
mir-505-5p,mir-505-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-590-3p,mir-590-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-199a-5p,mir-199a-5p,mirna
mir-484,mir-484,mirna
mir-760,mir-760,mirna
mir-484,mir-484,mirna
mir-214-3p,mir-214-3p,mirna
mir-23a-5p,mir-23a-5p,mirna
mir-411-5p,mir-411-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-532-3p,mir-532-3p,mirna
mir-766-3p,mir-766-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-505-5p,mir-505-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-766-3p,mir-766-3p,mirna
mir-9-3p,mir-9-3p,mirna
mir-192-5p,mir-192-5p,mirna
mir-184,mir-184,mirna
mir-184,mir-184,mirna
mir-184,mir-184,mirna
mir-184,mir-184,mirna
mir-184,mir-184,mirna
mir-184,mir-184,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-582-3p,mir-582-3p,mirna
mir-342-3p,mir-342-3p,mirna
mir-491-5p,mir-491-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-92b-3p,mir-92b-3p,mirna
mir-362-5p,mir-362-5p,mirna
mir-26b-3p,mir-26b-3p,mirna
mir-939-5p,mir-939-5p,mirna
mir-766-3p,mir-766-3p,mirna
mir-425-5p,mir-425-5p,mirna
mir-148b-5p,mir-148b-5p,mirna
mir-629-3p,mir-629-3p,mirna
mir-642a-5p,mir-642a-5p,mirna
mir-210-3p,mir-210-3p,mirna
mir-766-3p,mir-766-3p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-324-5p,mir-324-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-410-3p,mir-410-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-590-3p,mir-590-3p,mirna
mir-181d-5p,mir-181d-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-429,mir-429,mirna
mir-769-3p,mir-769-3p,mirna
mir-769-3p,mir-769-3p,mirna
mir-769-3p,mir-769-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-331-3p,mir-331-3p,mirna
mir-484,mir-484,mirna
mir-484,mir-484,mirna
mir-532-3p,mir-532-3p,mirna
mir-532-3p,mir-532-3p,mirna
mir-3928-3p,mir-3928-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-590-3p,mir-590-3p,mirna
mir-1306-3p,mir-1306-3p,mirna
mir-199a-5p,mir-199a-5p,mirna
mir-93-3p,mir-93-3p,mirna
mir-181d-5p,mir-181d-5p,mirna
mir-181d-5p,mir-181d-5p,mirna
mir-484,mir-484,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-421,mir-421,mirna
mir-532-3p,mir-532-3p,mirna
mir-27a-5p,mir-27a-5p,mirna
mir-328-3p,mir-328-3p,mirna
mir-335-3p,mir-335-3p,mirna
mir-454-3p,mir-454-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-222-3p,mir-222-3p,mirna
mir-769-3p,mir-769-3p,mirna
mir-96-5p,mir-96-5p,mirna
mir-548b-3p,mir-548b-3p,mirna
mir-378a-5p,mir-378a-5p,mirna
mir-181d-5p,mir-181d-5p,mirna
mir-625-5p,mir-625-5p,mirna
mir-532-3p,mir-532-3p,mirna
mir-452-5p,mir-452-5p,mirna
mir-454-3p,mir-454-3p,mirna
mir-421,mir-421,mirna
mir-7-5p,mir-7-5p,mirna
mir-181d-5p,mir-181d-5p,mirna
mir-942-5p,mir-942-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-221-5p,mir-221-5p,mirna
mir-511-5p,mir-511-5p,mirna
mir-223-5p,mir-223-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-769-3p,mir-769-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-27a-5p,mir-27a-5p,mirna
mir-532-3p,mir-532-3p,mirna
mir-532-3p,mir-532-3p,mirna
mir-29b-1-5p,mir-29b-1-5p,mirna
