source,target,ModeOfRegulation,edgeType
mir-144-5p,mir-144-5p/mir-486-5p,"",direct
mir-182-5p,mir-182-5p/mir-542-3p,"",direct
mir-31-5p,mir-31-5p/mir-9-5p,"",direct
mir-139-3p,mir-139-3p/mir-330-3p,"",direct
mir-514a-3p,mir-514a-3p/mir-942-5p,"",direct
mir-143-3p,mir-143-3p/mir-195-5p,"",direct
mir-144-3p,mir-144-3p/mir-144-5p,"",direct
mir-378a-3p,mir-378a-3p/mir-378a-5p,"",direct
let-7c-5p,let-7c-5p/mir-497-5p,"",direct
mir-223-3p,mir-223-3p/mir-424-5p,"",direct
mir-142-3p,mir-142-3p/mir-942-5p,"",direct
mir-582-5p,mir-582-5p/mir-942-5p,"",direct
mir-192-5p,mir-192-5p/mir-193b-3p,"",direct
mir-1-3p,mir-1-3p/mir-378a-3p,"",direct
mir-1-3p,mir-1-3p/mir-378a-5p,"",direct
mir-145-5p,mir-145-5p/mir-378a-5p,"",direct
mir-1270,mir-1270/mir-188-5p,"",direct
mir-138-5p,mir-138-5p/mir-378a-5p,"",direct
mir-486-5p,mir-144-5p/mir-486-5p,"",direct
mir-542-3p,mir-182-5p/mir-542-3p,"",direct
mir-9-5p,mir-31-5p/mir-9-5p,"",direct
mir-330-3p,mir-139-3p/mir-330-3p,"",direct
mir-942-5p,mir-514a-3p/mir-942-5p,"",direct
mir-195-5p,mir-143-3p/mir-195-5p,"",direct
mir-144-5p,mir-144-3p/mir-144-5p,"",direct
mir-378a-5p,mir-378a-3p/mir-378a-5p,"",direct
mir-497-5p,let-7c-5p/mir-497-5p,"",direct
mir-424-5p,mir-223-3p/mir-424-5p,"",direct
mir-942-5p,mir-142-3p/mir-942-5p,"",direct
mir-942-5p,mir-582-5p/mir-942-5p,"",direct
mir-193b-3p,mir-192-5p/mir-193b-3p,"",direct
mir-378a-3p,mir-1-3p/mir-378a-3p,"",direct
mir-378a-5p,mir-1-3p/mir-378a-5p,"",direct
mir-378a-5p,mir-145-5p/mir-378a-5p,"",direct
mir-188-5p,mir-1270/mir-188-5p,"",direct
mir-378a-5p,mir-138-5p/mir-378a-5p,"",direct
mir-144-5p/mir-486-5p,SMAD4_tf,"",direct
mir-182-5p/mir-542-3p,NR3C1_tf,"",direct
mir-31-5p/mir-9-5p,HIF1A_tf,"",direct
mir-139-3p/mir-330-3p,SP1_tf,"",direct
mir-514a-3p/mir-942-5p,POU2F1_tf,"",direct
mir-143-3p/mir-195-5p,KLF5_tf,"",direct
mir-144-3p/mir-144-5p,SMAD4_tf,"",direct
mir-378a-3p/mir-378a-5p,SP1_tf,"",direct
let-7c-5p/mir-497-5p,MYC_tf,"",direct
mir-223-3p/mir-424-5p,SP1_tf,"",direct
mir-142-3p/mir-942-5p,ZKSCAN1_tf,"",direct
mir-582-5p/mir-942-5p,POU2F1_tf,"",direct
mir-192-5p/mir-193b-3p,NCOA3_tf,"",direct
mir-1-3p/mir-378a-3p,SP1_tf,"",direct
mir-1-3p/mir-378a-5p,SP1_tf,"",direct
mir-145-5p/mir-378a-5p,SP1_tf,"",direct
mir-1270/mir-188-5p,NCOA3_tf,"",direct
mir-138-5p/mir-378a-5p,ZNF217_tf,"",direct
SMAD4_tf,AHR_target,1,direct
NR3C1_tf,CALD1_target,1,direct
HIF1A_tf,FECH_target,1,direct
SP1_tf,B4GALT1_target,1,direct
POU2F1_tf,GNRH1_target,1,direct
KLF5_tf,JUP_target,1,direct
SMAD4_tf,SMAD7_target,1,direct
SP1_tf,OXTR_target,1,direct
MYC_tf,PKM_target,1,direct
SP1_tf,TGFBR2_target,1,direct
ZKSCAN1_tf,UBE2V1_target,1,direct
POU2F1_tf,GCM1_target,1,direct
NCOA3_tf,ZMYND8_target,1,direct
SP1_tf,PDGFC_target,1,direct
SP1_tf,PDGFC_target,1,direct
SP1_tf,PDGFC_target,1,direct
NCOA3_tf,HIPK1_target,1,direct
ZNF217_tf,FMN1_target,1,direct
mir-144-5p/mir-486-5p,AHR_target,"",indirect
mir-182-5p/mir-542-3p,CALD1_target,"",indirect
mir-31-5p/mir-9-5p,FECH_target,"",indirect
mir-139-3p/mir-330-3p,B4GALT1_target,"",indirect
mir-514a-3p/mir-942-5p,GNRH1_target,"",indirect
mir-143-3p/mir-195-5p,JUP_target,"",indirect
mir-144-3p/mir-144-5p,SMAD7_target,"",indirect
mir-378a-3p/mir-378a-5p,OXTR_target,"",indirect
let-7c-5p/mir-497-5p,PKM_target,"",indirect
mir-223-3p/mir-424-5p,TGFBR2_target,"",indirect
mir-142-3p/mir-942-5p,UBE2V1_target,"",indirect
mir-582-5p/mir-942-5p,GCM1_target,"",indirect
mir-192-5p/mir-193b-3p,ZMYND8_target,"",indirect
mir-1-3p/mir-378a-3p,PDGFC_target,"",indirect
mir-1-3p/mir-378a-5p,PDGFC_target,"",indirect
mir-145-5p/mir-378a-5p,PDGFC_target,"",indirect
mir-1270/mir-188-5p,HIPK1_target,"",indirect
mir-138-5p/mir-378a-5p,FMN1_target,"",indirect
