shared_name,name,info
mir-144-5p,mir-144-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-31-5p,mir-31-5p,mirna
mir-139-3p,mir-139-3p,mirna
mir-514a-3p,mir-514a-3p,mirna
mir-143-3p,mir-143-3p,mirna
mir-144-3p,mir-144-3p,mirna
mir-378a-3p,mir-378a-3p,mirna
let-7c-5p,let-7c-5p,mirna
mir-223-3p,mir-223-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-582-5p,mir-582-5p,mirna
mir-192-5p,mir-192-5p,mirna
mir-1-3p,mir-1-3p,mirna
mir-1-3p,mir-1-3p,mirna
mir-145-5p,mir-145-5p,mirna
mir-1270,mir-1270,mirna
mir-138-5p,mir-138-5p,mirna
mir-486-5p,mir-486-5p,mirna
mir-542-3p,mir-542-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-330-3p,mir-330-3p,mirna
mir-942-5p,mir-942-5p,mirna
mir-195-5p,mir-195-5p,mirna
mir-144-5p,mir-144-5p,mirna
mir-378a-5p,mir-378a-5p,mirna
mir-497-5p,mir-497-5p,mirna
mir-424-5p,mir-424-5p,mirna
mir-942-5p,mir-942-5p,mirna
mir-942-5p,mir-942-5p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-378a-3p,mir-378a-3p,mirna
mir-378a-5p,mir-378a-5p,mirna
mir-378a-5p,mir-378a-5p,mirna
mir-188-5p,mir-188-5p,mirna
mir-378a-5p,mir-378a-5p,mirna
SMAD4_tf,SMAD4,tf
NR3C1_tf,NR3C1,tf
HIF1A_tf,HIF1A,tf
SP1_tf,SP1,tf
POU2F1_tf,POU2F1,tf
KLF5_tf,KLF5,tf
SMAD4_tf,SMAD4,tf
SP1_tf,SP1,tf
MYC_tf,MYC,tf
SP1_tf,SP1,tf
ZKSCAN1_tf,ZKSCAN1,tf
POU2F1_tf,POU2F1,tf
NCOA3_tf,NCOA3,tf
SP1_tf,SP1,tf
SP1_tf,SP1,tf
SP1_tf,SP1,tf
NCOA3_tf,NCOA3,tf
ZNF217_tf,ZNF217,tf
AHR_target,AHR,target
CALD1_target,CALD1,target
FECH_target,FECH,target
B4GALT1_target,B4GALT1,target
GNRH1_target,GNRH1,target
JUP_target,JUP,target
SMAD7_target,SMAD7,target
OXTR_target,OXTR,target
PKM_target,PKM,target
TGFBR2_target,TGFBR2,target
UBE2V1_target,UBE2V1,target
GCM1_target,GCM1,target
ZMYND8_target,ZMYND8,target
PDGFC_target,PDGFC,target
PDGFC_target,PDGFC,target
PDGFC_target,PDGFC,target
HIPK1_target,HIPK1,target
FMN1_target,FMN1,target
mir-144-5p/mir-486-5p,"",dummy
mir-182-5p/mir-542-3p,"",dummy
mir-31-5p/mir-9-5p,"",dummy
mir-139-3p/mir-330-3p,"",dummy
mir-514a-3p/mir-942-5p,"",dummy
mir-143-3p/mir-195-5p,"",dummy
mir-144-3p/mir-144-5p,"",dummy
mir-378a-3p/mir-378a-5p,"",dummy
let-7c-5p/mir-497-5p,"",dummy
mir-223-3p/mir-424-5p,"",dummy
mir-142-3p/mir-942-5p,"",dummy
mir-582-5p/mir-942-5p,"",dummy
mir-192-5p/mir-193b-3p,"",dummy
mir-1-3p/mir-378a-3p,"",dummy
mir-1-3p/mir-378a-5p,"",dummy
mir-145-5p/mir-378a-5p,"",dummy
mir-1270/mir-188-5p,"",dummy
mir-138-5p/mir-378a-5p,"",dummy
