source,target,ModeOfRegulation,edgeType
mir-10b-5p,mir-10b-5p/mir-21-5p,"",direct
mir-124-3p,mir-124-3p/mir-330-5p,"",direct
mir-124-3p,mir-124-3p/mir-491-5p,"",direct
mir-2110,mir-2110/mir-485-5p,"",direct
mir-24-3p,mir-24-3p/mir-330-3p,"",direct
mir-1-3p,mir-1-3p/mir-133a-3p,"",direct
mir-133a-3p,mir-133a-3p/mir-329-3p,"",direct
mir-1-3p,mir-1-3p/mir-7-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-377-3p,"",direct
mir-329-3p,mir-329-3p/mir-7-5p,"",direct
mir-299-5p,mir-299-5p/mir-329-3p,"",direct
mir-299-5p,mir-299-5p/mir-410-3p,"",direct
mir-299-5p,mir-299-5p/mir-7-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-7-5p,"",direct
mir-1-3p,mir-1-3p/mir-139-3p,"",direct
mir-31-5p,mir-31-5p/mir-410-3p,"",direct
mir-133a-3p,mir-133a-3p/mir-299-5p,"",direct
mir-139-3p,mir-139-3p/mir-7-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-218-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-31-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-299-5p,"",direct
mir-31-5p,mir-31-5p/mir-329-3p,"",direct
mir-124-3p,mir-124-3p/mir-29b-3p,"",direct
mir-139-3p,mir-139-3p/mir-410-3p,"",direct
mir-124-3p,mir-124-3p/mir-139-3p,"",direct
mir-299-5p,mir-299-5p/mir-31-5p,"",direct
mir-218-5p,mir-218-5p/mir-299-5p,"",direct
mir-124-3p,mir-124-3p/mir-133a-3p,"",direct
mir-1-3p,mir-1-3p/mir-124-3p,"",direct
mir-1-3p,mir-1-3p/mir-29c-3p,"",direct
mir-105-5p,mir-105-5p/mir-7-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-139-3p,"",direct
mir-410-3p,mir-410-3p/mir-7-5p,"",direct
mir-124-3p,mir-124-3p/mir-329-3p,"",direct
mir-128-3p,mir-128-3p/mir-299-5p,"",direct
mir-1-3p,mir-1-3p/mir-410-3p,"",direct
mir-105-5p,mir-105-5p/mir-329-3p,"",direct
mir-127-5p,mir-127-5p/mir-7-5p,"",direct
mir-139-3p,mir-139-3p/mir-299-5p,"",direct
mir-139-3p,mir-139-3p/mir-329-3p,"",direct
mir-128-3p,mir-128-3p/mir-218-5p,"",direct
mir-105-5p,mir-105-5p/mir-128-3p,"",direct
mir-1-3p,mir-1-3p/mir-329-3p,"",direct
mir-127-5p,mir-127-5p/mir-139-3p,"",direct
mir-124-3p,mir-124-3p/mir-410-3p,"",direct
mir-127-5p,mir-127-5p/mir-128-3p,"",direct
mir-124-3p,mir-124-3p/mir-7-5p,"",direct
mir-139-3p,mir-139-3p/mir-29b-3p,"",direct
mir-127-5p,mir-127-5p/mir-29c-3p,"",direct
mir-218-5p,mir-218-5p/mir-24-3p,"",direct
let-7e-5p,let-7e-5p/mir-124-3p,"",direct
mir-145-5p,mir-145-5p/mir-149-5p,"",direct
mir-1296-5p,mir-1296-5p/mir-7-5p,"",direct
mir-105-5p,mir-105-5p/mir-29b-3p,"",direct
mir-149-5p,mir-149-5p/mir-29b-3p,"",direct
mir-218-5p,mir-218-5p/mir-369-3p,"",direct
mir-105-5p,mir-105-5p/mir-369-3p,"",direct
let-7e-5p,let-7e-5p/mir-149-5p,"",direct
mir-107,mir-107/mir-149-5p,"",direct
mir-1296-5p,mir-1296-5p/mir-383-5p,"",direct
let-7e-5p,let-7e-5p/mir-145-5p,"",direct
mir-105-5p,mir-105-5p/mir-218-5p,"",direct
mir-149-5p,mir-149-5p/mir-24-3p,"",direct
let-7e-5p,let-7e-5p/mir-218-5p,"",direct
mir-149-5p,mir-149-5p/mir-369-3p,"",direct
mir-149-5p,mir-149-5p/mir-383-5p,"",direct
