source,target,ModeOfRegulation,edgeType
mir-146a-5p,mir-146a-5p/mir-431-5p,"",direct
mir-378a-3p,mir-378a-3p/mir-378c,"",direct
mir-125a-5p,mir-125a-5p/mir-30a-5p,"",direct
mir-181d-5p,mir-181d-5p/mir-30a-5p,"",direct
mir-301a-3p,mir-301a-3p/mir-301b-3p,"",direct
mir-141-3p,mir-141-3p/mir-200a-3p,"",direct
mir-146a-5p,mir-146a-5p/mir-382-5p,"",direct
mir-183-5p,mir-183-5p/mir-96-5p,"",direct
mir-125a-5p,mir-125a-5p/mir-30a-5p,"",direct
mir-20a-3p,mir-20a-3p/mir-20a-5p,"",direct
mir-127-3p,mir-127-3p/mir-382-5p,"",direct
mir-342-3p,mir-342-3p/mir-381-3p,"",direct
mir-381-3p,mir-381-3p/mir-382-5p,"",direct
let-7a-2-3p,let-7a-2-3p/mir-139-5p,"",direct
mir-17-5p,mir-17-5p/mir-20a-5p,"",direct
mir-18a-5p,mir-18a-5p/mir-766-3p,"",direct
mir-18a-5p,mir-18a-5p/mir-20a-3p,"",direct
mir-130a-3p,mir-130a-3p/mir-20a-5p,"",direct
mir-20a-5p,mir-20a-5p/mir-501-5p,"",direct
mir-17-5p,mir-17-5p/mir-501-5p,"",direct
mir-17-5p,mir-17-5p/mir-877-5p,"",direct
mir-19b-3p,mir-19b-3p/mir-877-5p,"",direct
mir-20a-5p,mir-20a-5p/mir-877-5p,"",direct
mir-17-5p,mir-17-5p/mir-301b-3p,"",direct
mir-19b-3p,mir-19b-3p/mir-301b-3p,"",direct
mir-125a-5p,mir-125a-5p/mir-181c-5p,"",direct
mir-181c-5p,mir-181c-5p/mir-30a-5p,"",direct
mir-183-5p,mir-183-5p/mir-30a-5p,"",direct
mir-183-5p,mir-183-5p/mir-381-3p,"",direct
mir-589-3p,mir-589-3p/mir-675-3p,"",direct
mir-431-5p,mir-146a-5p/mir-431-5p,"",direct
mir-378c,mir-378a-3p/mir-378c,"",direct
mir-30a-5p,mir-125a-5p/mir-30a-5p,"",direct
mir-30a-5p,mir-181d-5p/mir-30a-5p,"",direct
mir-301b-3p,mir-301a-3p/mir-301b-3p,"",direct
mir-200a-3p,mir-141-3p/mir-200a-3p,"",direct
mir-382-5p,mir-146a-5p/mir-382-5p,"",direct
mir-96-5p,mir-183-5p/mir-96-5p,"",direct
mir-30a-5p,mir-125a-5p/mir-30a-5p,"",direct
mir-20a-5p,mir-20a-3p/mir-20a-5p,"",direct
mir-382-5p,mir-127-3p/mir-382-5p,"",direct
mir-381-3p,mir-342-3p/mir-381-3p,"",direct
mir-382-5p,mir-381-3p/mir-382-5p,"",direct
mir-139-5p,let-7a-2-3p/mir-139-5p,"",direct
mir-20a-5p,mir-17-5p/mir-20a-5p,"",direct
mir-766-3p,mir-18a-5p/mir-766-3p,"",direct
mir-20a-3p,mir-18a-5p/mir-20a-3p,"",direct
mir-20a-5p,mir-130a-3p/mir-20a-5p,"",direct
mir-501-5p,mir-20a-5p/mir-501-5p,"",direct
mir-501-5p,mir-17-5p/mir-501-5p,"",direct
mir-877-5p,mir-17-5p/mir-877-5p,"",direct
mir-877-5p,mir-19b-3p/mir-877-5p,"",direct
mir-877-5p,mir-20a-5p/mir-877-5p,"",direct
mir-301b-3p,mir-17-5p/mir-301b-3p,"",direct
mir-301b-3p,mir-19b-3p/mir-301b-3p,"",direct
mir-181c-5p,mir-125a-5p/mir-181c-5p,"",direct
mir-30a-5p,mir-181c-5p/mir-30a-5p,"",direct
mir-30a-5p,mir-183-5p/mir-30a-5p,"",direct
mir-381-3p,mir-183-5p/mir-381-3p,"",direct
mir-675-3p,mir-589-3p/mir-675-3p,"",direct
mir-146a-5p/mir-431-5p,KLF9_tf,"",direct
mir-378a-3p/mir-378c,KLF5_tf,"",direct
mir-125a-5p/mir-30a-5p,PPARA_tf,"",direct
mir-181d-5p/mir-30a-5p,PPARA_tf,"",direct
mir-301a-3p/mir-301b-3p,ESR1_tf,"",direct
mir-141-3p/mir-200a-3p,NR3C1_tf,"",direct
mir-146a-5p/mir-382-5p,KLF9_tf,"",direct
mir-183-5p/mir-96-5p,AR_tf,"",direct
mir-125a-5p/mir-30a-5p,PPARA_tf,"",direct
mir-20a-3p/mir-20a-5p,STAT3_tf,"",direct
mir-127-3p/mir-382-5p,KLF9_tf,"",direct
mir-342-3p/mir-381-3p,KLF9_tf,"",direct
mir-381-3p/mir-382-5p,KLF9_tf,"",direct
let-7a-2-3p/mir-139-5p,POU2F1_tf,"",direct
mir-17-5p/mir-20a-5p,STAT3_tf,"",direct
mir-18a-5p/mir-766-3p,ELK4_tf,"",direct
mir-18a-5p/mir-20a-3p,STAT3_tf,"",direct
mir-130a-3p/mir-20a-5p,HIF1A_tf,"",direct
mir-20a-5p/mir-501-5p,CLOCK_tf,"",direct
mir-17-5p/mir-501-5p,CLOCK_tf,"",direct
mir-17-5p/mir-877-5p,CLOCK_tf,"",direct
mir-19b-3p/mir-877-5p,CLOCK_tf,"",direct
mir-20a-5p/mir-877-5p,CLOCK_tf,"",direct
mir-17-5p/mir-301b-3p,ESR1_tf,"",direct
mir-19b-3p/mir-301b-3p,ESR1_tf,"",direct
mir-125a-5p/mir-181c-5p,PPARA_tf,"",direct
mir-181c-5p/mir-30a-5p,PPARA_tf,"",direct
mir-183-5p/mir-30a-5p,AR_tf,"",direct
mir-183-5p/mir-381-3p,AR_tf,"",direct
mir-589-3p/mir-675-3p,AR_tf,"",direct
KLF9_tf,APBB2_target,1,direct
KLF5_tf,BIRC5_target,1,direct
PPARA_tf,APOA1_target,1,direct
PPARA_tf,APOA1_target,1,direct
ESR1_tf,BCL2_target,1,direct
NR3C1_tf,BGLAP_target,-1,direct
KLF9_tf,TSC22D3_target,1,direct
AR_tf,HLA-E_target,1,direct
PPARA_tf,HMGCS1_target,1,direct
STAT3_tf,IL10_target,1,direct
KLF9_tf,PER1_target,1,direct
KLF9_tf,PER1_target,1,direct
KLF9_tf,PER1_target,1,direct
POU2F1_tf,POU2AF1_target,1,direct
STAT3_tf,PTGS2_target,1,direct
ELK4_tf,KDM5A_target,1,direct
STAT3_tf,ZFP36_target,1,direct
HIF1A_tf,BHLHE40_target,1,direct
CLOCK_tf,BHLHE40_target,1,direct
CLOCK_tf,BHLHE40_target,1,direct
CLOCK_tf,BHLHE40_target,1,direct
CLOCK_tf,BHLHE40_target,1,direct
