shared_name,name,info
mir-146a-5p,mir-146a-5p,mirna
mir-378a-3p,mir-378a-3p,mirna
mir-125a-5p,mir-125a-5p,mirna
mir-181d-5p,mir-181d-5p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-141-3p,mir-141-3p,mirna
mir-146a-5p,mir-146a-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-125a-5p,mir-125a-5p,mirna
mir-20a-3p,mir-20a-3p,mirna
mir-127-3p,mir-127-3p,mirna
mir-342-3p,mir-342-3p,mirna
mir-381-3p,mir-381-3p,mirna
let-7a-2-3p,let-7a-2-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-125a-5p,mir-125a-5p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-589-3p,mir-589-3p,mirna
mir-431-5p,mir-431-5p,mirna
mir-378c,mir-378c,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-382-5p,mir-382-5p,mirna
mir-96-5p,mir-96-5p,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-382-5p,mir-382-5p,mirna
mir-381-3p,mir-381-3p,mirna
mir-382-5p,mir-382-5p,mirna
mir-139-5p,mir-139-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-766-3p,mir-766-3p,mirna
mir-20a-3p,mir-20a-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-501-5p,mir-501-5p,mirna
mir-501-5p,mir-501-5p,mirna
mir-877-5p,mir-877-5p,mirna
mir-877-5p,mir-877-5p,mirna
mir-877-5p,mir-877-5p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-181c-5p,mir-181c-5p,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-30a-5p,mir-30a-5p,mirna
mir-381-3p,mir-381-3p,mirna
mir-675-3p,mir-675-3p,mirna
KLF9_tf,KLF9,tf
KLF5_tf,KLF5,tf
PPARA_tf,PPARA,tf
PPARA_tf,PPARA,tf
ESR1_tf,ESR1,tf
NR3C1_tf,NR3C1,tf
KLF9_tf,KLF9,tf
AR_tf,AR,tf
PPARA_tf,PPARA,tf
STAT3_tf,STAT3,tf
KLF9_tf,KLF9,tf
KLF9_tf,KLF9,tf
KLF9_tf,KLF9,tf
POU2F1_tf,POU2F1,tf
STAT3_tf,STAT3,tf
ELK4_tf,ELK4,tf
STAT3_tf,STAT3,tf
HIF1A_tf,HIF1A,tf
CLOCK_tf,CLOCK,tf
CLOCK_tf,CLOCK,tf
CLOCK_tf,CLOCK,tf
CLOCK_tf,CLOCK,tf
CLOCK_tf,CLOCK,tf
ESR1_tf,ESR1,tf
ESR1_tf,ESR1,tf
PPARA_tf,PPARA,tf
PPARA_tf,PPARA,tf
AR_tf,AR,tf
AR_tf,AR,tf
AR_tf,AR,tf
APBB2_target,APBB2,target
BIRC5_target,BIRC5,target
APOA1_target,APOA1,target
APOA1_target,APOA1,target
BCL2_target,BCL2,target
BGLAP_target,BGLAP,target
TSC22D3_target,TSC22D3,target
HLA-E_target,HLA-E,target
HMGCS1_target,HMGCS1,target
IL10_target,IL10,target
PER1_target,PER1,target
PER1_target,PER1,target
PER1_target,PER1,target
POU2AF1_target,POU2AF1,target
PTGS2_target,PTGS2,target
KDM5A_target,KDM5A,target
ZFP36_target,ZFP36,target
BHLHE40_target,BHLHE40,target
BHLHE40_target,BHLHE40,target
BHLHE40_target,BHLHE40,target
BHLHE40_target,BHLHE40,target
BHLHE40_target,BHLHE40,target
BHLHE40_target,BHLHE40,target
NCOA1_target,NCOA1,target
NCOA1_target,NCOA1,target
FADS2_target,FADS2,target
FADS2_target,FADS2,target
PNRC1_target,PNRC1,target
ATF6_target,ATF6,target
C1orf21_target,C1orf21,target
mir-146a-5p/mir-431-5p,"",dummy
mir-378a-3p/mir-378c,"",dummy
mir-125a-5p/mir-30a-5p,"",dummy
mir-181d-5p/mir-30a-5p,"",dummy
mir-301a-3p/mir-301b-3p,"",dummy
mir-141-3p/mir-200a-3p,"",dummy
mir-146a-5p/mir-382-5p,"",dummy
mir-183-5p/mir-96-5p,"",dummy
mir-125a-5p/mir-30a-5p,"",dummy
mir-20a-3p/mir-20a-5p,"",dummy
mir-127-3p/mir-382-5p,"",dummy
mir-342-3p/mir-381-3p,"",dummy
mir-381-3p/mir-382-5p,"",dummy
let-7a-2-3p/mir-139-5p,"",dummy
mir-17-5p/mir-20a-5p,"",dummy
mir-18a-5p/mir-766-3p,"",dummy
mir-18a-5p/mir-20a-3p,"",dummy
mir-130a-3p/mir-20a-5p,"",dummy
mir-20a-5p/mir-501-5p,"",dummy
mir-17-5p/mir-501-5p,"",dummy
mir-17-5p/mir-877-5p,"",dummy
mir-19b-3p/mir-877-5p,"",dummy
mir-20a-5p/mir-877-5p,"",dummy
mir-17-5p/mir-301b-3p,"",dummy
mir-19b-3p/mir-301b-3p,"",dummy
mir-125a-5p/mir-181c-5p,"",dummy
mir-181c-5p/mir-30a-5p,"",dummy
mir-183-5p/mir-30a-5p,"",dummy
mir-183-5p/mir-381-3p,"",dummy
mir-589-3p/mir-675-3p,"",dummy
