shared_name,name,info
mir-200b-3p,mir-200b-3p,mirna
mir-9-3p,mir-9-3p,mirna
mir-129-5p,mir-129-5p,mirna
mir-9-3p,mir-9-3p,mirna
mir-9-3p,mir-9-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-651-5p,mir-651-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-9-3p,mir-9-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-9-3p,mir-9-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-20a-3p,mir-20a-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-589-3p,mir-589-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-200a-3p,mir-200a-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-570-3p,mir-570-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-9-5p,mir-9-5p,mirna
mir-429,mir-429,mirna
mir-429,mir-429,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-429,mir-429,mirna
mir-9-5p,mir-9-5p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-301a-3p,mir-301a-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-301b-3p,mir-301b-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-9-5p,mir-9-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-616-3p,mir-616-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-1910-5p,mir-1910-5p,mirna
mir-18b-5p,mir-18b-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-429,mir-429,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-96-5p,mir-96-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
