shared_name,name,info
mir-129-5p,mir-129-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-33b-5p,mir-33b-5p,mirna
mir-642a-5p,mir-642a-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-133b,mir-133b,mirna
mir-129-5p,mir-129-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-153-3p,mir-153-3p,mirna
mir-129-5p,mir-129-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-135a-5p,mir-135a-5p,mirna
mir-1224-5p,mir-1224-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-139-5p,mir-139-5p,mirna
mir-135a-5p,mir-135a-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-3065-3p,mir-3065-3p,mirna
mir-204-5p,mir-204-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-642a-5p,mir-642a-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-153-3p,mir-153-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-139-5p,mir-139-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-7-5p,mir-7-5p,mirna
mir-204-5p,mir-204-5p,mirna
mir-7-5p,mir-7-5p,mirna
SOX11_tf,SOX11,tf
SOX11_tf,SOX11,tf
SOX11_tf,SOX11,tf
SP1_tf,SP1,tf
SP1_tf,SP1,tf
KDM5B_tf,KDM5B,tf
KDM5B_tf,KDM5B,tf
KDM5B_tf,KDM5B,tf
SP1_tf,SP1,tf
SP1_tf,SP1,tf
SP1_tf,SP1,tf
SOX11_tf,SOX11,tf
SOX11_tf,SOX11,tf
SP1_tf,SP1,tf
SP1_tf,SP1,tf
RUNX2_tf,RUNX2,tf
ELF3_tf,ELF3,tf
SP1_tf,SP1,tf
ZNF217_tf,ZNF217,tf
RUNX2_tf,RUNX2,tf
FOXP1_tf,FOXP1,tf
RUNX1_target,RUNX1,target
RUNX1_target,RUNX1,target
CDH11_target,CDH11,target
IGFBP3_target,IGFBP3,target
IL1A_target,IL1A,target
JUP_target,JUP,target
JUP_target,JUP,target
SMAD3_target,SMAD3,target
MUC2_target,MUC2,target
MUC2_target,MUC2,target
NFKB1_target,NFKB1,target
RP1_target,RP1,target
RP1_target,RP1,target
SLC9A2_target,SLC9A2,target
EZR_target,EZR,target
WIPF1_target,WIPF1,target
BARX2_target,BARX2,target
ABCC3_target,ABCC3,target
CEMIP2_target,CEMIP2,target
NABP1_target,NABP1,target
TRAPPC9_target,TRAPPC9,target
mir-129-5p/mir-204-5p,"",dummy
mir-129-5p/mir-3065-3p,"",dummy
mir-129-5p/mir-204-5p,"",dummy
mir-129-5p/mir-204-5p,"",dummy
mir-129-5p/mir-7-5p,"",dummy
mir-33b-5p/mir-7-5p,"",dummy
mir-642a-5p/mir-7-5p,"",dummy
mir-204-5p/mir-642a-5p,"",dummy
mir-129-5p/mir-7-5p,"",dummy
mir-133b/mir-7-5p,"",dummy
mir-129-5p/mir-7-5p,"",dummy
mir-129-5p/mir-153-3p,"",dummy
mir-153-3p/mir-7-5p,"",dummy
mir-129-5p/mir-7-5p,"",dummy
mir-129-5p/mir-7-5p,"",dummy
mir-135a-5p/mir-204-5p,"",dummy
mir-1224-5p/mir-139-5p,"",dummy
mir-129-5p/mir-7-5p,"",dummy
mir-139-5p/mir-7-5p,"",dummy
mir-135a-5p/mir-204-5p,"",dummy
mir-129-5p/mir-7-5p,"",dummy
