source,target,ModeOfRegulation,edgeType
mir-139-3p,mir-139-3p/mir-193b-3p,"",direct
mir-410-3p,mir-410-3p/mir-541-3p,"",direct
mir-100-5p,mir-100-5p/mir-193b-3p,"",direct
mir-199a-3p,mir-199a-3p/mir-199b-3p,"",direct
mir-410-3p,mir-410-3p/mir-541-3p,"",direct
mir-541-3p,mir-541-3p/mir-654-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-143-3p,"",direct
mir-193b-3p,mir-139-3p/mir-193b-3p,"",direct
mir-541-3p,mir-410-3p/mir-541-3p,"",direct
mir-193b-3p,mir-100-5p/mir-193b-3p,"",direct
mir-199b-3p,mir-199a-3p/mir-199b-3p,"",direct
mir-541-3p,mir-410-3p/mir-541-3p,"",direct
mir-654-5p,mir-541-3p/mir-654-5p,"",direct
mir-143-3p,mir-133a-3p/mir-143-3p,"",direct
mir-139-3p/mir-193b-3p,ZBTB7A_tf,"",direct
mir-410-3p/mir-541-3p,ZBTB7A_tf,"",direct
mir-100-5p/mir-193b-3p,ZBTB7A_tf,"",direct
mir-199a-3p/mir-199b-3p,ZKSCAN1_tf,"",direct
mir-410-3p/mir-541-3p,ZBTB7A_tf,"",direct
mir-541-3p/mir-654-5p,ZBTB7A_tf,"",direct
mir-133a-3p/mir-143-3p,NR2C2_tf,"",direct
ZBTB7A_tf,SLC19A1_target,-1,direct
ZBTB7A_tf,BHLHE40_target,-1,direct
ZBTB7A_tf,HS6ST1_target,-1,direct
ZKSCAN1_tf,BAZ2A_target,1,direct
ZBTB7A_tf,ARHGAP45_target,-1,direct
ZBTB7A_tf,ARHGAP45_target,-1,direct
NR2C2_tf,PARPBP_target,1,direct
mir-139-3p/mir-193b-3p,SLC19A1_target,"",indirect
mir-410-3p/mir-541-3p,BHLHE40_target,"",indirect
mir-100-5p/mir-193b-3p,HS6ST1_target,"",indirect
mir-199a-3p/mir-199b-3p,BAZ2A_target,"",indirect
mir-410-3p/mir-541-3p,ARHGAP45_target,"",indirect
mir-541-3p/mir-654-5p,ARHGAP45_target,"",indirect
mir-133a-3p/mir-143-3p,PARPBP_target,"",indirect
