shared_name,name,info
mir-139-3p,mir-139-3p,mirna
mir-410-3p,mir-410-3p,mirna
mir-100-5p,mir-100-5p,mirna
mir-199a-3p,mir-199a-3p,mirna
mir-410-3p,mir-410-3p,mirna
mir-541-3p,mir-541-3p,mirna
mir-133a-3p,mir-133a-3p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-541-3p,mir-541-3p,mirna
mir-193b-3p,mir-193b-3p,mirna
mir-199b-3p,mir-199b-3p,mirna
mir-541-3p,mir-541-3p,mirna
mir-654-5p,mir-654-5p,mirna
mir-143-3p,mir-143-3p,mirna
ZBTB7A_tf,ZBTB7A,tf
ZBTB7A_tf,ZBTB7A,tf
ZBTB7A_tf,ZBTB7A,tf
ZKSCAN1_tf,ZKSCAN1,tf
ZBTB7A_tf,ZBTB7A,tf
ZBTB7A_tf,ZBTB7A,tf
NR2C2_tf,NR2C2,tf
SLC19A1_target,SLC19A1,target
BHLHE40_target,BHLHE40,target
HS6ST1_target,HS6ST1,target
BAZ2A_target,BAZ2A,target
ARHGAP45_target,ARHGAP45,target
ARHGAP45_target,ARHGAP45,target
PARPBP_target,PARPBP,target
mir-139-3p/mir-193b-3p,"",dummy
mir-410-3p/mir-541-3p,"",dummy
mir-100-5p/mir-193b-3p,"",dummy
mir-199a-3p/mir-199b-3p,"",dummy
mir-410-3p/mir-541-3p,"",dummy
mir-541-3p/mir-654-5p,"",dummy
mir-133a-3p/mir-143-3p,"",dummy
