shared_name,name,info
mir-149-5p,mir-149-5p,mirna
mir-135a-5p,mir-135a-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-338-3p,mir-338-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-129-5p,mir-129-5p,mirna
let-7g-3p,let-7g-3p,mirna
mir-135a-5p,mir-135a-5p,mirna
mir-33a-3p,mir-33a-3p,mirna
mir-205-5p,mir-205-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-20b-3p,mir-20b-3p,mirna
mir-149-5p,mir-149-5p,mirna
mir-33a-3p,mir-33a-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-20b-3p,mir-20b-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-33a-3p,mir-33a-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-3065-5p,mir-3065-5p,mirna
mir-141-3p,mir-141-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-338-3p,mir-338-3p,mirna
mir-9-5p,mir-9-5p,mirna
mir-503-5p,mir-503-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-362-3p,mir-362-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-141-3p,mir-141-3p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-31-5p,mir-31-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-3065-5p,mir-3065-5p,mirna
mir-33a-3p,mir-33a-3p,mirna
mir-3065-5p,mir-3065-5p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-33a-3p,mir-33a-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-96-5p,mir-96-5p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-135a-5p,mir-135a-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
SP1_tf,SP1,tf
MEF2A_tf,MEF2A,tf
SP1_tf,SP1,tf
HIF1A_tf,HIF1A,tf
HIF1A_tf,HIF1A,tf
SP1_tf,SP1,tf
STAT3_tf,STAT3,tf
KLF6_tf,KLF6,tf
HIF1A_tf,HIF1A,tf
TEAD1_tf,TEAD1,tf
CREB1_tf,CREB1,tf
MEF2A_tf,MEF2A,tf
NCOA1_tf,NCOA1,tf
AR_tf,AR,tf
RUNX3_tf,RUNX3,tf
SP1_tf,SP1,tf
IRF4_tf,IRF4,tf
SP1_tf,SP1,tf
NCOA1_tf,NCOA1,tf
TCF4_tf,TCF4,tf
KLF6_tf,KLF6,tf
NCOA3_tf,NCOA3,tf
ZBTB33_tf,ZBTB33,tf
SNAI2_tf,SNAI2,tf
NCOA1_tf,NCOA1,tf
TCF4_tf,TCF4,tf
FOXJ2_tf,FOXJ2,tf
MEF2A_tf,MEF2A,tf
TCF4_tf,TCF4,tf
ADRA1A_target,ADRA1A,target
BLK_target,BLK,target
CDKN1B_target,CDKN1B,target
CEACAM5_target,CEACAM5,target
FOXM1_target,FOXM1,target
IFNGR1_target,IFNGR1,target
IL6_target,IL6,target
NOS2_target,NOS2,target
NOS2_target,NOS2,target
PCYT1A_target,PCYT1A,target
PSEN1_target,PSEN1,target
ST6GAL1_target,ST6GAL1,target
STK3_target,STK3,target
CDKL5_target,CDKL5,target
TCF7_target,TCF7,target
ABCC3_target,ABCC3,target
CFLAR_target,CFLAR,target
SPRY2_target,SPRY2,target
MAN1A2_target,MAN1A2,target
PLCB1_target,PLCB1,target
DAPK2_target,DAPK2,target
ZMYND8_target,ZMYND8,target
ZZZ3_target,ZZZ3,target
AGPAT3_target,AGPAT3,target
ESYT2_target,ESYT2,target
ZNF608_target,ZNF608,target
CC2D2A_target,CC2D2A,target
GTDC1_target,GTDC1,target
LNX1_target,LNX1,target
mir-149-5p/mir-3065-5p,"",dummy
mir-135a-5p/mir-141-3p,"",dummy
mir-149-5p/mir-20b-5p,"",dummy
mir-20b-5p/mir-338-3p,"",dummy
mir-338-3p/mir-9-5p,"",dummy
mir-20b-5p/mir-503-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-129-5p/mir-362-3p,"",dummy
let-7g-3p/mir-106a-5p,"",dummy
mir-135a-5p/mir-141-3p,"",dummy
mir-33a-3p/mir-33a-5p,"",dummy
mir-205-5p/mir-31-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-149-5p/mir-3065-5p,"",dummy
mir-20b-3p/mir-33a-3p,"",dummy
mir-149-5p/mir-3065-5p,"",dummy
mir-33a-3p/mir-33a-5p,"",dummy
mir-20b-5p/mir-33a-3p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-20b-3p/mir-20b-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-182-5p/mir-96-5p,"",dummy
mir-33a-3p/mir-33a-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
mir-106a-5p/mir-135a-5p,"",dummy
mir-106a-5p/mir-20b-5p,"",dummy
