shared_name,name,info
mir-193b-5p,mir-193b-5p,mirna
mir-409-3p,mir-409-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-23b-3p,mir-23b-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-185-5p,mir-185-5p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-155-5p,mir-155-5p,mirna
mir-126-5p,mir-126-5p,mirna
mir-126-5p,mir-126-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-21-3p,mir-21-3p,mirna
mir-15b-5p,mir-15b-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-34a-5p,mir-34a-5p,mirna
mir-106b-5p,mir-106b-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-15b-5p,mir-15b-5p,mirna
mir-106b-5p,mir-106b-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-1-3p,mir-1-3p,mirna
mir-2110,mir-2110,mirna
mir-2110,mir-2110,mirna
mir-182-5p,mir-182-5p,mirna
mir-106b-5p,mir-106b-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-491-5p,mir-491-5p,mirna
mir-214-3p,mir-214-3p,mirna
let-7a-3p,let-7a-3p,mirna
mir-214-3p,mir-214-3p,mirna
mir-214-3p,mir-214-3p,mirna
mir-301a-3p,mir-301a-3p,mirna
let-7e-5p,let-7e-5p,mirna
let-7e-5p,let-7e-5p,mirna
let-7c-5p,let-7c-5p,mirna
let-7c-5p,let-7c-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-148a-3p,mir-148a-3p,mirna
let-7e-5p,let-7e-5p,mirna
mir-34a-5p,mir-34a-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-362-3p,mir-362-3p,mirna
mir-17-3p,mir-17-3p,mirna
let-7c-5p,let-7c-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-106b-5p,mir-106b-5p,mirna
mir-106b-5p,mir-106b-5p,mirna
mir-106b-5p,mir-106b-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-17-3p,mir-17-3p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
let-7c-5p,let-7c-5p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-34a-5p,mir-34a-5p,mirna
mir-20a-3p,mir-20a-3p,mirna
mir-21-5p,mir-21-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-22-3p,mir-22-3p,mirna
mir-324-5p,mir-324-5p,mirna
mir-22-3p,mir-22-3p,mirna
mir-199a-5p,mir-199a-5p,mirna
mir-340-5p,mir-340-5p,mirna
mir-21-3p,mir-21-3p,mirna
mir-3613-5p,mir-3613-5p,mirna
