source,target,ModeOfRegulation,edgeType
mir-342-3p,mir-342-3p/mir-93-5p,"",direct
mir-26b-5p,mir-26b-5p/mir-93-5p,"",direct
mir-20a-5p,mir-20a-5p/mir-93-5p,"",direct
mir-935,mir-935/mir-937-3p,"",direct
mir-421,mir-421/mir-935,"",direct
mir-188-5p,mir-188-5p/mir-940,"",direct
mir-149-5p,mir-149-5p/mir-299-5p,"",direct
mir-26b-5p,mir-26b-5p/mir-744-3p,"",direct
mir-26b-3p,mir-26b-3p/mir-501-5p,"",direct
mir-16-2-3p,mir-16-2-3p/mir-2110,"",direct
mir-532-3p,mir-532-3p/mir-7-5p,"",direct
mir-362-3p,mir-362-3p/mir-93-3p,"",direct
mir-19b-1-5p,mir-19b-1-5p/mir-429,"",direct
mir-335-5p,mir-335-5p/mir-429,"",direct
mir-130a-3p,mir-130a-3p/mir-362-5p,"",direct
mir-503-5p,mir-503-5p/mir-505-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-429,"",direct
mir-129-5p,mir-129-5p/mir-192-5p,"",direct
mir-335-3p,mir-335-3p/mir-494-3p,"",direct
mir-335-3p,mir-335-3p/mir-335-5p,"",direct
mir-183-5p,mir-183-5p/mir-576-5p,"",direct
mir-183-5p,mir-183-5p/mir-222-5p,"",direct
mir-183-5p,mir-183-5p/mir-93-5p,"",direct
mir-19b-1-5p,mir-19b-1-5p/mir-222-5p,"",direct
mir-17-5p,mir-17-5p/mir-183-5p,"",direct
mir-222-5p,mir-222-5p/mir-576-5p,"",direct
mir-148a-5p,mir-148a-5p/mir-93-5p,"",direct
mir-182-5p,mir-182-5p/mir-33a-3p,"",direct
mir-182-5p,mir-182-5p/mir-222-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-133b,"",direct
mir-1292-5p,mir-1292-5p/mir-1304-5p,"",direct
mir-539-5p,mir-539-5p/mir-940,"",direct
mir-18a-5p,mir-18a-5p/mir-93-3p,"",direct
mir-1301-3p,mir-1301-3p/mir-33a-3p,"",direct
mir-1301-3p,mir-1301-3p/mir-940,"",direct
mir-33a-3p,mir-33a-3p/mir-424-5p,"",direct
mir-1301-3p,mir-1301-3p/mir-155-5p,"",direct
mir-550a-5p,mir-550a-5p/mir-940,"",direct
mir-33a-3p,mir-33a-3p/mir-550a-5p,"",direct
mir-130b-3p,mir-130b-3p/mir-18a-5p,"",direct
mir-26b-5p,mir-26b-5p/mir-3065-3p,"",direct
mir-153-3p,mir-153-3p/mir-3065-3p,"",direct
mir-7-1-3p,mir-7-1-3p/mir-93-5p,"",direct
mir-18a-5p,mir-18a-5p/mir-20a-3p,"",direct
