shared_name,name,info
mir-342-3p,mir-342-3p,mirna
mir-26b-5p,mir-26b-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-935,mir-935,mirna
mir-421,mir-421,mirna
mir-188-5p,mir-188-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-26b-5p,mir-26b-5p,mirna
mir-26b-3p,mir-26b-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-532-3p,mir-532-3p,mirna
mir-362-3p,mir-362-3p,mirna
mir-19b-1-5p,mir-19b-1-5p,mirna
mir-335-5p,mir-335-5p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-503-5p,mir-503-5p,mirna
mir-200b-3p,mir-200b-3p,mirna
mir-129-5p,mir-129-5p,mirna
mir-335-3p,mir-335-3p,mirna
mir-335-3p,mir-335-3p,mirna
mir-183-5p,mir-183-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-19b-1-5p,mir-19b-1-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-222-5p,mir-222-5p,mirna
mir-148a-5p,mir-148a-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-133a-3p,mir-133a-3p,mirna
mir-1292-5p,mir-1292-5p,mirna
mir-539-5p,mir-539-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-1301-3p,mir-1301-3p,mirna
mir-1301-3p,mir-1301-3p,mirna
mir-33a-3p,mir-33a-3p,mirna
mir-1301-3p,mir-1301-3p,mirna
mir-550a-5p,mir-550a-5p,mirna
mir-33a-3p,mir-33a-3p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-26b-5p,mir-26b-5p,mirna
mir-153-3p,mir-153-3p,mirna
mir-7-1-3p,mir-7-1-3p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-26b-5p,mir-26b-5p,mirna
mir-20a-3p,mir-20a-3p,mirna
mir-130b-5p,mir-130b-5p,mirna
mir-19b-1-5p,mir-19b-1-5p,mirna
mir-19b-1-5p,mir-19b-1-5p,mirna
mir-19b-1-5p,mir-19b-1-5p,mirna
mir-148b-5p,mir-148b-5p,mirna
mir-19b-1-5p,mir-19b-1-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-153-3p,mir-153-3p,mirna
mir-424-5p,mir-424-5p,mirna
mir-335-5p,mir-335-5p,mirna
mir-142-3p,mir-142-3p,mirna
mir-142-3p,mir-142-3p,mirna
mir-335-5p,mir-335-5p,mirna
mir-142-3p,mir-142-3p,mirna
mir-1180-3p,mir-1180-3p,mirna
mir-148b-5p,mir-148b-5p,mirna
mir-145-5p,mir-145-5p,mirna
mir-320b,mir-320b,mirna
mir-320b,mir-320b,mirna
mir-192-5p,mir-192-5p,mirna
mir-130b-5p,mir-130b-5p,mirna
mir-1180-3p,mir-1180-3p,mirna
mir-130b-5p,mir-130b-5p,mirna
mir-192-5p,mir-192-5p,mirna
mir-484,mir-484,mirna
mir-320b,mir-320b,mirna
mir-148b-5p,mir-148b-5p,mirna
mir-484,mir-484,mirna
mir-215-5p,mir-215-5p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-215-5p,mir-215-5p,mirna
let-7g-3p,let-7g-3p,mirna
mir-2277-5p,mir-2277-5p,mirna
mir-23b-5p,mir-23b-5p,mirna
mir-148b-5p,mir-148b-5p,mirna
mir-19b-1-5p,mir-19b-1-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-155-5p,mir-155-5p,mirna
mir-324-5p,mir-324-5p,mirna
mir-183-5p,mir-183-5p,mirna
mir-31-5p,mir-31-5p,mirna
mir-31-5p,mir-31-5p,mirna
mir-182-5p,mir-182-5p,mirna
mir-26b-3p,mir-26b-3p,mirna
mir-26b-5p,mir-26b-5p,mirna
mir-1301-3p,mir-1301-3p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-136-5p,mir-136-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-23b-5p,mir-23b-5p,mirna
mir-320b,mir-320b,mirna
mir-320b,mir-320b,mirna
mir-335-3p,mir-335-3p,mirna
mir-335-5p,mir-335-5p,mirna
mir-3928-3p,mir-3928-3p,mirna
mir-3928-3p,mir-3928-3p,mirna
mir-421,mir-421,mirna
mir-19b-3p,mir-19b-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-148a-3p,mir-148a-3p,mirna
mir-7-1-3p,mir-7-1-3p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-196a-5p,mir-196a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-143-3p,mir-143-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-33a-5p,mir-33a-5p,mirna
mir-144-3p,mir-144-3p,mirna
mir-200c-3p,mir-200c-3p,mirna
mir-200b-3p,mir-200b-3p,mirna
