source,target,ModeOfRegulation,edgeType
mir-124-3p,mir-124-3p/mir-9-5p,"",direct
mir-124-3p,mir-124-3p/mir-9-3p,"",direct
mir-29a-3p,mir-29a-3p/mir-497-5p,"",direct
mir-373-3p,mir-373-3p/mir-629-3p,"",direct
mir-182-5p,mir-182-5p/mir-9-5p,"",direct
mir-182-5p,mir-182-5p/mir-9-3p,"",direct
mir-9-5p,mir-9-5p/mir-96-5p,"",direct
mir-155-5p,mir-155-5p/mir-515-5p,"",direct
mir-515-5p,mir-515-5p/mir-524-5p,"",direct
mir-9-3p,mir-9-3p/mir-9-5p,"",direct
mir-1323,mir-1323/mir-515-5p,"",direct
mir-1323,mir-1323/mir-524-5p,"",direct
mir-616-5p,mir-616-5p/mir-642a-5p,"",direct
mir-192-5p,mir-192-5p/mir-302a-5p,"",direct
mir-424-5p,mir-424-5p/mir-520d-5p,"",direct
mir-29c-3p,mir-29c-3p/mir-497-5p,"",direct
mir-302a-3p,mir-302a-3p/mir-512-3p,"",direct
mir-519c-3p,mir-519c-3p/mir-520c-3p,"",direct
mir-519c-3p,mir-519c-3p/mir-520a-3p,"",direct
mir-520c-3p,mir-520c-3p/mir-520d-3p,"",direct
mir-520a-3p,mir-520a-3p/mir-520d-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-519b-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-519c-3p,"",direct
mir-520a-3p,mir-520a-3p/mir-520c-3p,"",direct
mir-519b-3p,mir-519b-3p/mir-520d-3p,"",direct
mir-373-3p,mir-373-3p/mir-520d-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-520c-3p,"",direct
mir-373-3p,mir-373-3p/mir-520c-3p,"",direct
mir-519c-3p,mir-519c-3p/mir-520d-3p,"",direct
mir-130b-3p,mir-130b-3p/mir-135b-5p,"",direct
mir-3199,mir-3199/mir-873-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-519a-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-519a-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-519a-3p,"",direct
mir-302b-3p,mir-302b-3p/mir-302d-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-302d-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302b-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302d-3p,"",direct
mir-302d-3p,mir-302d-3p/mir-519a-3p,"",direct
mir-193b-5p,mir-193b-5p/mir-302a-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302c-3p,"",direct
mir-33b-3p,mir-33b-3p/mir-424-5p,"",direct
mir-519a-3p,mir-519a-3p/mir-520d-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-519b-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-519c-3p,"",direct
mir-367-3p,mir-367-3p/mir-548j-5p,"",direct
mir-377-5p,mir-377-5p/mir-485-5p,"",direct
mir-135b-5p,mir-135b-5p/mir-192-5p,"",direct
mir-125b-5p,mir-125b-5p/mir-424-5p,"",direct
mir-378a-5p,mir-378a-5p/mir-7-5p,"",direct
mir-200c-3p,mir-200c-3p/mir-518c-5p,"",direct
mir-192-3p,mir-192-3p/mir-192-5p,"",direct
mir-92b-5p,mir-92b-5p/mir-96-5p,"",direct
mir-18a-3p,mir-18a-3p/mir-629-3p,"",direct
mir-182-5p,mir-182-5p/mir-18a-3p,"",direct
mir-184,mir-184/mir-96-5p,"",direct
mir-184,mir-184/mir-92b-3p,"",direct
mir-18a-3p,mir-18a-3p/mir-96-5p,"",direct
mir-184,mir-184/mir-25-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-96-5p,"",direct
mir-92b-3p,mir-92b-3p/mir-96-5p,"",direct
mir-124-3p,mir-124-3p/mir-432-5p,"",direct
mir-629-5p,mir-629-5p/mir-96-5p,"",direct
mir-182-5p,mir-182-5p/mir-629-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-629-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-629-3p,"",direct
mir-629-3p,mir-629-3p/mir-92b-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-25-5p,"",direct
mir-432-5p,mir-432-5p/mir-629-5p,"",direct
mir-302a-3p,mir-302a-3p/mir-302c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302d-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-302d-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-520c-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-520d-3p,"",direct
mir-302d-3p,mir-302d-3p/mir-519a-3p,"",direct
mir-302d-3p,mir-302d-3p/mir-519b-3p,"",direct
mir-378a-3p,mir-378a-3p/mir-519b-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-519b-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-520c-3p,"",direct
mir-519a-3p,mir-519a-3p/mir-520d-3p,"",direct
mir-519b-3p,mir-519b-3p/mir-520c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-520c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-520d-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-302d-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-302a-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-519a-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-519b-3p,"",direct
mir-18b-5p,mir-18b-5p/mir-520d-3p,"",direct
mir-20b-5p,mir-20b-5p/mir-335-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302c-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302d-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-335-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-519a-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-519b-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-519a-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-519b-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-335-3p,"",direct
mir-135b-5p,mir-135b-5p/mir-301a-3p,"",direct
mir-192-3p,mir-192-3p/mir-192-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-200c-3p,"",direct
mir-200c-3p,mir-200c-3p/mir-526b-3p,"",direct
mir-516b-5p,mir-516b-5p/mir-520d-3p,"",direct
mir-518a-5p,mir-518a-5p/mir-520d-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-526b-3p,"",direct
mir-518a-5p,mir-518a-5p/mir-526b-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-516b-5p,"",direct
mir-520d-3p,mir-520d-3p/mir-520h,"",direct
mir-516b-5p,mir-516b-5p/mir-526b-3p,"",direct
mir-516b-5p,mir-516b-5p/mir-520h,"",direct
mir-520d-3p,mir-520d-3p/mir-526b-3p,"",direct
mir-520h,mir-520h/mir-526b-3p,"",direct
mir-195-5p,mir-195-5p/mir-3691-5p,"",direct
mir-3691-5p,mir-3691-5p/mir-497-5p,"",direct
mir-195-3p,mir-195-3p/mir-3691-5p,"",direct
mir-296-3p,mir-296-3p/mir-96-5p,"",direct
mir-629-3p,mir-629-3p/mir-96-5p,"",direct
mir-18a-3p,mir-18a-3p/mir-96-5p,"",direct
mir-18a-3p,mir-18a-3p/mir-629-3p,"",direct
mir-302c-3p,mir-302c-3p/mir-302d-3p,"",direct
mir-373-5p,mir-373-5p/mir-642a-5p,"",direct
mir-3651,mir-3651/mir-497-5p,"",direct
mir-195-5p,mir-195-5p/mir-3651,"",direct
mir-195-5p,mir-195-5p/mir-2113,"",direct
mir-1305,mir-1305/mir-181a-2-3p,"",direct
mir-125b-5p,mir-125b-5p/mir-152-3p,"",direct
mir-200a-3p,mir-200a-3p/mir-582-3p,"",direct
mir-200b-3p,mir-200b-3p/mir-582-3p,"",direct
mir-302a-3p,mir-302a-3p/mir-302c-3p,"",direct
mir-20b-3p,mir-20b-3p/mir-519b-3p,"",direct
