source,target,ModeOfRegulation,edgeType
mir-16-1-3p,mir-16-1-3p/mir-299-5p,"",direct
mir-106a-3p,mir-106a-3p/mir-299-5p,"",direct
mir-299-5p,mir-299-5p/mir-616-5p,"",direct
mir-181a-5p,mir-181a-5p/mir-7-5p,"",direct
mir-181a-5p,mir-181a-5p/mir-942-5p,"",direct
mir-181b-5p,mir-181b-5p/mir-7-5p,"",direct
mir-181b-5p,mir-181b-5p/mir-942-5p,"",direct
mir-7-1-3p,mir-7-1-3p/mir-942-5p,"",direct
mir-7-5p,mir-7-5p/mir-942-5p,"",direct
mir-33a-3p,mir-33a-3p/mir-942-5p,"",direct
let-7b-5p,let-7b-5p/mir-125b-5p,"",direct
mir-125a-5p,mir-125a-5p/mir-125b-5p,"",direct
mir-19a-3p,mir-19a-3p/mir-497-3p,"",direct
mir-497-3p,mir-497-3p/mir-548d-3p,"",direct
mir-497-3p,mir-497-3p/mir-93-5p,"",direct
mir-196b-5p,mir-196b-5p/mir-301b-3p,"",direct
let-7b-5p,let-7b-5p/mir-195-3p,"",direct
let-7b-5p,let-7b-5p/mir-31-5p,"",direct
mir-195-3p,mir-195-3p/mir-31-5p,"",direct
mir-31-3p,mir-31-3p/mir-519d-3p,"",direct
mir-15b-5p,mir-15b-5p/mir-200c-3p,"",direct
mir-125a-5p,mir-125a-5p/mir-195-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-17-5p,"",direct
mir-106a-5p,mir-106a-5p/mir-93-5p,"",direct
mir-17-5p,mir-17-5p/mir-766-3p,"",direct
mir-17-5p,mir-17-5p/mir-93-5p,"",direct
mir-20b-5p,mir-20b-5p/mir-93-5p,"",direct
mir-17-5p,mir-17-5p/mir-20b-5p,"",direct
mir-766-3p,mir-766-3p/mir-93-5p,"",direct
mir-18a-3p,mir-18a-3p/mir-2355-5p,"",direct
mir-15a-5p,mir-15a-5p/mir-18a-3p,"",direct
mir-25-3p,mir-25-3p/mir-301b-3p,"",direct
mir-25-3p,mir-25-3p/mir-625-5p,"",direct
mir-128-3p,mir-128-3p/mir-93-5p,"",direct
