shared_name,name,info
mir-16-1-3p,mir-16-1-3p,mirna
mir-106a-3p,mir-106a-3p,mirna
mir-299-5p,mir-299-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-7-1-3p,mir-7-1-3p,mirna
mir-7-5p,mir-7-5p,mirna
mir-33a-3p,mir-33a-3p,mirna
let-7b-5p,let-7b-5p,mirna
mir-125a-5p,mir-125a-5p,mirna
mir-19a-3p,mir-19a-3p,mirna
mir-497-3p,mir-497-3p,mirna
mir-497-3p,mir-497-3p,mirna
mir-196b-5p,mir-196b-5p,mirna
let-7b-5p,let-7b-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-195-3p,mir-195-3p,mirna
mir-31-3p,mir-31-3p,mirna
mir-15b-5p,mir-15b-5p,mirna
mir-125a-5p,mir-125a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-766-3p,mir-766-3p,mirna
mir-18a-3p,mir-18a-3p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-25-3p,mir-25-3p,mirna
mir-25-3p,mir-25-3p,mirna
mir-128-3p,mir-128-3p,mirna
mir-2355-5p,mir-2355-5p,mirna
mir-25-3p,mir-25-3p,mirna
mir-125b-5p,mir-125b-5p,mirna
mir-125b-5p,mir-125b-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-2355-5p,mir-2355-5p,mirna
mir-2355-5p,mir-2355-5p,mirna
mir-25-3p,mir-25-3p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-18b-5p,mir-18b-5p,mirna
mir-625-5p,mir-625-5p,mirna
mir-125b-5p,mir-125b-5p,mirna
mir-299-3p,mir-299-3p,mirna
mir-450b-5p,mir-450b-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-215-5p,mir-215-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-125b-5p,mir-125b-5p,mirna
mir-129-5p,mir-129-5p,mirna
mir-16-1-3p,mir-16-1-3p,mirna
mir-195-3p,mir-195-3p,mirna
mir-128-3p,mir-128-3p,mirna
mir-16-1-3p,mir-16-1-3p,mirna
mir-15a-3p,mir-15a-3p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-766-3p,mir-766-3p,mirna
mir-181b-5p,mir-181b-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-766-3p,mir-766-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-200c-3p,mir-200c-3p,mirna
mir-125a-5p,mir-125a-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-205-5p,mir-205-5p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-18b-5p,mir-18b-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-93-5p,mir-93-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-512-3p,mir-512-3p,mirna
mir-520d-3p,mir-520d-3p,mirna
mir-125b-5p,mir-125b-5p,mirna
mir-101-5p,mir-101-5p,mirna
mir-101-5p,mir-101-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-766-3p,mir-766-3p,mirna
let-7b-5p,let-7b-5p,mirna
mir-3065-5p,mir-3065-5p,mirna
mir-299-3p,mir-299-3p,mirna
let-7b-5p,let-7b-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-31-3p,mir-31-3p,mirna
let-7b-5p,let-7b-5p,mirna
mir-2355-5p,mir-2355-5p,mirna
mir-196b-5p,mir-196b-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-196a-5p,mir-196a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
let-7b-5p,let-7b-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-142-5p,mir-142-5p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-18a-3p,mir-18a-3p,mirna
mir-25-3p,mir-25-3p,mirna
mir-25-3p,mir-25-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-17-5p,mir-17-5p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-125b-5p,mir-125b-5p,mirna
mir-106a-3p,mir-106a-3p,mirna
let-7b-5p,let-7b-5p,mirna
mir-142-5p,mir-142-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-520a-5p,mir-520a-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-130b-3p,mir-130b-3p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-149-5p,mir-149-5p,mirna
mir-31-3p,mir-31-3p,mirna
mir-299-3p,mir-299-3p,mirna
mir-195-3p,mir-195-3p,mirna
mir-30a-5p,mir-30a-5p,mirna
let-7b-5p,let-7b-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-512-3p,mir-512-3p,mirna
mir-512-3p,mir-512-3p,mirna
mir-512-3p,mir-512-3p,mirna
mir-512-3p,mir-512-3p,mirna
mir-512-3p,mir-512-3p,mirna
mir-512-3p,mir-512-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-520a-3p,mir-520a-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-520a-3p,mir-520a-3p,mirna
mir-520c-3p,mir-520c-3p,mirna
mir-520c-3p,mir-520c-3p,mirna
mir-520c-3p,mir-520c-3p,mirna
mir-520d-3p,mir-520d-3p,mirna
mir-520d-3p,mir-520d-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-520a-3p,mir-520a-3p,mirna
mir-520g-3p,mir-520g-3p,mirna
mir-3065-5p,mir-3065-5p,mirna
mir-363-3p,mir-363-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
let-7b-5p,let-7b-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-181a-5p,mir-181a-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-15a-5p,mir-15a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-30a-5p,mir-30a-5p,mirna
let-7b-5p,let-7b-5p,mirna
let-7b-5p,let-7b-5p,mirna
mir-195-3p,mir-195-3p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-195-3p,mir-195-3p,mirna
mir-548e-3p,mir-548e-3p,mirna
mir-203a-3p,mir-203a-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-106a-5p,mir-106a-5p,mirna
mir-299-3p,mir-299-3p,mirna
mir-20b-5p,mir-20b-5p,mirna
mir-18b-5p,mir-18b-5p,mirna
mir-20a-5p,mir-20a-5p,mirna
mir-18b-5p,mir-18b-5p,mirna
mir-18a-5p,mir-18a-5p,mirna
mir-17-5p,mir-17-5p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-16-2-3p,mir-16-2-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-130a-3p,mir-130a-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-512-3p,mir-512-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-520a-3p,mir-520a-3p,mirna
mir-519d-3p,mir-519d-3p,mirna
mir-520a-3p,mir-520a-3p,mirna
mir-520a-3p,mir-520a-3p,mirna
