source,target,CancerTypes,count
miR-183-5p,miR-96-5p,HNSC - UCEC - LUAD - THYM - TGCT - LGG - LIHC - STAD - BLCA,9
miR-182-5p,miR-96-5p,HNSC - TGCT - PRAD - LGG - STAD - BLCA,6
miR-106a-5p,miR-20b-5p,BRCA - THYM - TGCT - PRAD - BLCA,5
miR-17-5p,miR-19a-3p,BRCA - THYM - SARC - STAD - BLCA,5
miR-17-5p,miR-20a-5p,BRCA - THYM - LIHC - BLCA - STAD,5
miR-18a-5p,miR-20a-3p,HNSC - SARC - LIHC - BLCA - STAD,5
miR-18a-5p,miR-20a-5p,HNSC - LUAD - THYM - LUSC - BLCA,5
miR-19a-3p,miR-19b-3p,BRCA - HNSC - LUSC - SARC - STAD,5
miR-9-3p,miR-9-5p,HNSC - LUSC - SARC - TGCT - BLCA,5
miR-106a-5p,miR-17-5p,THYM - LUSC - STAD - BLCA,4
miR-130b-3p,miR-17-5p,BRCA - THYM - STAD - BLCA,4
miR-130b-3p,miR-18a-5p,UCEC - THYM - STAD - BLCA,4
miR-17-5p,miR-18a-5p,BRCA - SARC - STAD - BLCA,4
miR-18a-5p,miR-19a-3p,COAD - SARC - STAD - BLCA,4
miR-18a-5p,miR-301a-3p,COAD - HNSC - UCEC - BLCA,4
miR-19b-3p,miR-20a-5p,BRCA - HNSC - SARC - STAD,4
miR-301a-3p,miR-301b-3p,HNSC - LUAD - LIHC - BLCA,4
miR-106a-5p,miR-20a-5p,THYM - STAD - BLCA,3
miR-106a-5p,miR-429,HNSC - TGCT - BLCA,3
miR-106a-5p,miR-93-5p,THYM - STAD - BLCA,3
miR-127-5p,miR-145-5p,LGG - STAD - BLCA,3
miR-127-5p,miR-299-5p,LGG - STAD - BLCA,3
miR-130a-3p,miR-19a-3p,BRCA - HNSC - SARC,3
miR-130a-3p,miR-301a-3p,LUAD - SARC - BLCA,3
miR-130b-3p,miR-301a-3p,BRCA - LUSC - BLCA,3
miR-133a-3p,miR-410-3p,HNSC - TGCT - LGG,3
miR-135b-5p,miR-19a-3p,COAD - BRCA - HNSC,3
miR-141-3p,miR-182-5p,HNSC - STAD - BLCA,3
miR-141-3p,miR-19a-3p,HNSC - STAD - BLCA,3
miR-141-3p,miR-200c-3p,TGCT - STAD - BLCA,3
miR-17-5p,miR-181b-5p,THYM - SARC - BLCA,3
miR-17-5p,miR-19b-3p,BRCA - SARC - STAD,3
miR-17-5p,miR-20a-3p,SARC - STAD - BLCA,3
miR-17-5p,miR-93-5p,THYM - STAD - BLCA,3
miR-181b-5p,miR-20a-5p,THYM - SARC - BLCA,3
miR-182-5p,miR-183-5p,HNSC - UCEC - BLCA,3
miR-182-5p,miR-9-5p,HNSC - SARC - TGCT,3
miR-183-5p,miR-7-5p,BRCA - LUSC - TGCT,3
miR-18a-5p,miR-18b-5p,COAD - LUSC - BLCA,3
miR-18a-5p,miR-19b-3p,BRCA - SARC - STAD,3
miR-192-5p,miR-193b-3p,KIRP - STAD - BLCA,3
miR-19a-3p,miR-20a-5p,BRCA - HNSC - BLCA,3
miR-19a-3p,miR-301a-3p,COAD - HNSC - BLCA,3
miR-19a-3p,miR-335-3p,COAD - STAD - BLCA,3
miR-19b-1-5p,miR-92a-1-5p,SARC - STAD - BLCA,3
miR-200b-3p,miR-200c-3p,LGG - STAD - BLCA,3
miR-200b-3p,miR-429,HNSC - LUSC - STAD,3
miR-20a-3p,miR-20a-5p,SARC - LIHC - BLCA,3
miR-20a-3p,miR-501-3p,SARC - STAD - BLCA,3
miR-20a-5p,miR-93-5p,THYM - STAD - BLCA,3
miR-20b-5p,miR-338-3p,SARC - TGCT - PRAD,3
miR-20b-5p,miR-363-3p,HNSC - LUAD - BLCA,3
miR-221-3p,miR-222-3p,SARC - LGG - BLCA,3
miR-29a-3p,miR-29b-3p,SARC - TGCT - BLCA,3
miR-301a-3p,miR-454-3p,BRCA - HNSC - SARC,3
miR-33a-5p,miR-33b-5p,COAD - LGG - STAD,3
miR-369-3p,miR-377-3p,HNSC - LGG - BLCA,3
let-7c-5p,miR-125b-2-3p,SARC - TGCT,2
let-7c-5p,miR-214-3p,BRCA - SARC,2
let-7c-5p,miR-30a-5p,HNSC - LUAD,2
let-7g-3p,miR-335-3p,BRCA - STAD,2
miR-1-3p,miR-31-5p,HNSC - LGG,2
miR-106a-5p,miR-135a-5p,TGCT - PRAD,2
miR-106a-5p,miR-141-3p,TGCT - BLCA,2
miR-106a-5p,miR-200a-3p,TGCT - STAD,2
miR-106a-5p,miR-200c-3p,TGCT - BLCA,2
miR-106a-5p,miR-301a-3p,TGCT - BLCA,2
miR-106a-5p,miR-338-3p,SARC - TGCT,2
miR-1180-3p,miR-148b-5p,BRCA - STAD,2
miR-124-3p,miR-124-5p,TGCT - LGG,2
miR-124-3p,miR-432-5p,TGCT - LGG,2
miR-124-3p,miR-494-3p,TGCT - LGG,2
miR-124-3p,miR-7-5p,TGCT - LGG,2
miR-125a-5p,miR-30a-5p,THYM - LIHC,2
miR-125b-5p,miR-195-5p,THYM - STAD,2
miR-125b-5p,miR-299-5p,STAD - BLCA,2
miR-125b-5p,miR-424-5p,SARC - TGCT,2
miR-127-3p,miR-382-5p,TGCT - LIHC,2
miR-127-5p,miR-133a-3p,LGG - BLCA,2
miR-127-5p,miR-149-5p,LGG - STAD,2
miR-127-5p,miR-369-3p,LGG - BLCA,2
miR-127-5p,miR-377-3p,LGG - BLCA,2
miR-1270,miR-188-5p,KIRP - BLCA,2
miR-1271-5p,miR-142-3p,THYM - STAD,2
miR-129-5p,miR-192-5p,SARC - STAD,2
miR-129-5p,miR-7-5p,PAAD - LGG,2
miR-130a-3p,miR-130b-3p,UCEC - STAD,2
miR-130a-3p,miR-133b,HNSC - STAD,2
miR-130a-3p,miR-17-5p,SARC - STAD,2
