shared_name,name,info
miR-130b-5p,miR-130b-5p,mirna
miR-17-5p,miR-17-5p,mirna
miR-17-5p,miR-17-5p,mirna
miR-182-5p,miR-182-5p,mirna
miR-18a-5p,miR-18a-5p,mirna
miR-19a-3p,miR-19a-3p,mirna
miR-324-5p,miR-324-5p,mirna
miR-20a-5p,miR-20a-5p,mirna
miR-20a-5p,miR-20a-5p,mirna
miR-183-5p,miR-183-5p,mirna
miR-20a-5p,miR-20a-5p,mirna
miR-19b-3p,miR-19b-3p,mirna
FOXO1_tf,FOXO1,tf
MEF2A_tf,MEF2A,tf
STAT3_tf,STAT3,tf
FOXO1_tf,FOXO1,tf
STAT3_tf,STAT3,tf
IKZF1_tf,IKZF1,tf
NOS3_target,NOS3,target
PICALM_target,PICALM,target
PTGS2_target,PTGS2,target
TMEM47_target,TMEM47,target
LBP_target,LBP,target
GRAP2_target,GRAP2,target
miR-130b-5p/miR-324-5p,"",dummy
miR-17-5p/miR-20a-5p,"",dummy
miR-17-5p/miR-20a-5p,"",dummy
miR-182-5p/miR-183-5p,"",dummy
miR-18a-5p/miR-20a-5p,"",dummy
miR-19a-3p/miR-19b-3p,"",dummy
