Triplet;Count;CancerTypes
miR-1-3p/miR-411-5p/CDH2;1;UCS
miR-196a-5p/miR-582-5p/CDH2;1;HNSC
miR-124-3p/miR-497-5p/AKT3;1;TGCT
miR-124-3p/miR-548d-3p/AKT3;1;TGCT
miR-224-3p/miR-424-5p/AKT3;1;COAD
miR-33a-3p/miR-34c-3p/AKT3;1;SARC
miR-193b-5p/miR-484/ERVMER34-1;1;SARC
miR-425-5p/miR-550a-3p/TOM1L1;1;SARC
miR-92a-3p/miR-425-5p/TOM1L1;1;SARC
miR-18a-5p/miR-335-5p/MAMLD1;1;SARC
miR-200b-3p/miR-200c-3p/MAMLD1;1;SKCM
miR-218-5p/miR-196a-5p/MTRNR2L8;1;HNSC
miR-494-3p/miR-196a-5p/TMEM178B;1;STAD
miR-664a-5p/miR-19a-3p/TMEM178B;1;SARC
miR-106a-5p/miR-520d-3p/MICA;1;TGCT
miR-520h/miR-106a-5p/MICA;1;TGCT
miR-130a-3p/miR-141-3p/SMC4;1;SARC
miR-130a-3p/miR-338-3p/SMC4;1;SARC
miR-182-5p/miR-130a-3p/SMC4;1;SARC
miR-589-3p/let-7c-5p/GJC1;1;HNSC
miR-150-5p/miR-3615/ATP9A;1;KICH
miR-19a-3p/let-7c-5p/ARPC2;1;BLCA
miR-106a-5p/miR-200a-3p/FEM1B;1;UCS
miR-301a-3p/miR-34b-3p/FEM1B;1;SARC
miR-302c-3p/miR-486-3p/ARL4C;1;TGCT
miR-1307-3p/miR-148a-3p/OPTN;1;SARC
miR-106a-5p/miR-497-5p/TOB1;1;PCPG
miR-138-5p/miR-9-3p/TOB1;1;BLCA
miR-193b-3p/miR-3127-5p/ABI2;1;ESCA
miR-193b-3p/miR-532-3p/ABI2;1;ESCA
let-7b-5p/miR-383-5p/CDK6;1;THYM
miR-105-5p/miR-651-5p/CDK6;1;BLCA
miR-10b-5p/miR-651-5p/CDK6;1;BLCA
miR-195-3p/miR-383-5p/CDK6;1;THYM
miR-195-5p/miR-383-5p/CDK6;1;THYM
miR-203a-3p/miR-378c/CDK6;1;UCEC
miR-214-5p/miR-195-3p/CDK6;1;THYM
miR-214-5p/miR-383-5p/CDK6;1;THYM
miR-214-5p/miR-497-5p/CDK6;1;THYM
miR-224-3p/miR-548v/CDK6;1;LIHC
miR-30a-3p/miR-92b-3p/CDK6;1;CESC
miR-362-3p/miR-188-5p/CDK6;1;BLCA
miR-506-3p/miR-211-5p/CDK6;1;TGCT
