Abbreviation;FullName
<strong>ACC</strong>;Adrenocortical carcinoma
<strong>BLCA</strong>;Bladder Urothelial
<strong>BRCA</strong>;Breast Invasive Carcinoma
<strong>CESC</strong>;Cervical squamous cell carcinoma and endocervical adenocarcinoma
<strong>CHOL</strong>;Cholangiocarcinoma
<strong>COAD</strong>;Colon adenocarcinoma
<strong>DLBC</strong>;Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
<strong>ESCA</strong>;Esophageal carcinoma
<strong>HNSC</strong>;Head and Neck squamous cell carcinoma
<strong>KICH</strong>;Kidney Chromophobe
<strong>KIRC</strong>;Kidney renal clear cell carcinoma
<strong>KIRP</strong>;Kidney renal papillary cell carcinoma
<strong>LGG</strong>;Low-grade gliomas
<strong>LIHC</strong>;Liver hepatocellular carcinoma
<strong>LUAD</strong>;Lung adenocarcinoma
<strong>LUSC</strong>;Lung squamous cell carcinoma
<strong>MESO</strong>;Mesothelioma
<strong>OV</strong>;Ovarian serous cystadenocarcinoma
<strong>PAAD</strong>;Pancreatic adenocarcinoma
<strong>PCPG</strong>;Pheochromocytoma and Paraganglioma
<strong>PRAD</strong>;Prostate adenocarcinoma
<strong>READ</strong>;Rectum adenocarcinoma
<strong>SARC</strong>;Sarcoma
<strong>SKCM</strong>;Skin Cutaneous Melanoma
<strong>STAD</strong>;Stomach adenocarcinoma
<strong>TGCT</strong>;Testicular Germ Cell Tumors
<strong>THCA</strong>;Thyroid carcinoma
<strong>THYM</strong>;Thymoma
<strong>UCEC</strong>;Uterine Corpus Endometrial Carcinoma
<strong>UCS</strong>;Uterine Carcinosarcoma
<strong>UVM</strong>;Uveal Melanoma
