miRNAPair;CancerTypes;Count
miR-20b-5p/miR-106a-5p;THYM - PRAD - HNSC - BLCA - SARC;5
miR-103a-2-5p/miR-19a-3p;PAAD - SARC - HNSC - BLCA;4
miR-17-5p/miR-20a-5p;LIHC - SARC - BLCA - THYM;4
miR-200b-3p/miR-200c-3p;SARC - STAD - THYM - SKCM;4
miR-20a-5p/miR-19a-3p;BLCA - HNSC - SARC - LIHC;4
miR-20b-5p/miR-20a-5p;BRCA - THYM - STAD - LUSC;4
miR-301b-3p/miR-301a-3p;SARC - UCEC - LUSC - COAD;4
miR-424-5p/miR-940;BLCA - TGCT - STAD - COAD;4
miR-192-5p/miR-215-5p;UCEC - ESCA - LUAD;3
miR-19a-3p/miR-19b-3p;HNSC - SARC - LIHC;3
miR-200a-3p/miR-141-3p;UCS - THYM - BLCA;3
miR-29a-3p/miR-29b-3p;SARC - BLCA - TGCT;3
miR-3065-3p/miR-424-5p;BLCA - LUAD - TGCT;3
miR-33a-5p/miR-324-5p;BLCA - SKCM - LUAD;3
miR-424-5p/miR-106a-5p;SARC - UVM - UCEC;3
let-7c-5p/let-7e-5p;SARC - TGCT;2
miR-106a-5p/miR-181d-5p;KICH - TGCT;2
miR-106a-5p/miR-9-5p;THYM - HNSC;2
miR-106a-5p/miR-92b-3p;TGCT - THYM;2
miR-125b-5p/miR-192-3p;STAD - SARC;2
miR-125b-5p/miR-497-5p;SARC - THYM;2
miR-125b-5p/miR-539-5p;BLCA - THYM;2
miR-126-3p/miR-33a-5p;STAD - BLCA;2
miR-129-5p/miR-96-5p;ESCA - PAAD;2
miR-130b-3p/miR-130a-3p;BLCA - UCS;2
miR-130b-3p/miR-2355-5p;THYM - ACC;2
miR-130b-3p/miR-301b-3p;ACC - SARC;2
miR-145-5p/miR-942-5p;STAD - SARC;2
miR-17-5p/miR-106a-5p;LUSC - UCS;2
miR-181a-2-3p/miR-651-5p;TGCT - SARC;2
miR-181c-5p/miR-181d-5p;ACC - SARC;2
miR-182-5p/miR-20a-5p;LIHC - BLCA;2
miR-182-5p/miR-96-5p;DLBC - THYM;2
miR-188-3p/miR-500a-3p;SARC - UCS;2
miR-18a-3p/miR-135b-5p;THYM - COAD;2
miR-18a-5p/miR-196b-5p;BLCA - SARC;2
miR-18a-5p/miR-455-5p;STAD - KICH;2
miR-192-5p/miR-214-3p;SARC - KIRC;2
miR-195-3p/miR-199b-3p;SARC - THYM;2
miR-195-5p/miR-424-5p;STAD - TGCT;2
miR-196b-5p/miR-301a-3p;SARC - COAD;2
miR-19a-3p/let-7c-5p;SARC - BLCA;2
miR-19a-3p/miR-142-3p;CESC - SARC;2
miR-19a-3p/miR-215-5p;KIRP - BLCA;2
miR-19b-1-5p/miR-19a-3p;STAD - BLCA;2
miR-200c-3p/miR-429;CHOL - THYM;2
miR-203a-3p/miR-218-5p;BLCA - KICH;2
miR-204-5p/miR-424-5p;LIHC - BLCA;2
miR-20a-5p/miR-625-5p;THYM - BLCA;2
miR-20b-5p/miR-150-5p;SARC - PRAD;2
miR-20b-5p/miR-17-5p;STAD - THYM;2
miR-212-3p/miR-3065-3p;THYM - SARC;2
miR-222-5p/miR-7-5p;LIHC - HNSC;2
miR-224-5p/miR-452-3p;STAD - BLCA;2
miR-27a-5p/miR-19a-3p;UCEC - BLCA;2
miR-29b-3p/miR-195-5p;TGCT - SARC;2
miR-29b-3p/miR-215-5p;SARC - TGCT;2
miR-29c-3p/miR-29a-3p;TGCT - SARC;2
miR-29c-3p/miR-29b-3p;TGCT - BLCA;2
miR-301a-3p/miR-130a-3p;SARC - BLCA;2
miR-301a-3p/miR-130b-3p;SARC - UCEC;2
miR-301a-3p/miR-19a-3p;BLCA - COAD;2
miR-3065-3p/miR-30a-5p;BRCA - THYM;2
miR-3065-3p/miR-582-5p;TGCT - THYM;2
miR-330-3p/miR-3065-3p;BLCA - SARC;2
miR-335-5p/miR-424-5p;STAD - BLCA;2
miR-338-3p/miR-766-3p;SARC - LGG;2
miR-33a-3p/miR-200c-3p;THYM - TGCT;2
miR-34a-5p/miR-335-5p;KICH - SARC;2
miR-362-3p/miR-133a-3p;SARC - UCS;2
miR-377-3p/miR-362-3p;UCS - BLCA;2
miR-421/miR-629-3p;SARC - UCEC;2
miR-424-5p/let-7g-3p;STAD - COAD;2
miR-424-5p/miR-188-3p;SARC - UCS;2
miR-424-5p/miR-362-3p;STAD - SARC;2
miR-424-5p/miR-627-5p;BLCA - STAD;2
miR-497-5p/miR-195-5p;THYM - SARC;2
miR-497-5p/miR-199b-5p;SARC - THYM;2
miR-497-5p/miR-29b-3p;CESC - SARC;2
miR-502-5p/miR-103a-2-5p;ESCA - SARC;2
miR-543/miR-497-5p;ACC - THYM;2
miR-625-5p/miR-424-5p;SARC - COAD;2
miR-642a-5p/miR-511-5p;PAAD - TGCT;2
miR-9-3p/miR-20b-5p;HNSC - SARC;2
miR-9-5p/miR-20b-5p;TGCT - THYM;2
miR-93-5p/miR-17-5p;SKCM - THYM;2
miR-93-5p/miR-20a-5p;STAD - THYM;2
miR-93-5p/miR-942-5p;THYM - BLCA;2
miR-940/miR-221-5p;SARC - HNSC;2
miR-96-5p/miR-17-5p;OV - BLCA;2
let-7a-2-3p/miR-30a-5p;THYM;1
let-7a-2-3p/miR-3614-5p;BLCA;1
let-7a-2-3p/miR-497-5p;SARC;1
let-7a-3p/miR-29b-3p;SARC;1
let-7a-3p/miR-625-3p;SARC;1
let-7a-3p/miR-92a-3p;SARC;1
let-7b-5p/let-7b-3p;THYM;1
let-7b-5p/miR-10b-5p;UVM;1
let-7b-5p/miR-130a-3p;THYM;1
let-7b-5p/miR-221-3p;THYM;1
let-7b-5p/miR-30a-3p;THYM;1
let-7b-5p/miR-30a-5p;THYM;1
let-7b-5p/miR-31-3p;THYM;1
let-7b-5p/miR-34c-5p;THYM;1
let-7b-5p/miR-3652;THYM;1
let-7b-5p/miR-377-5p;THYM;1
let-7b-5p/miR-383-5p;THYM;1
let-7b-5p/miR-516a-5p;THYM;1
let-7b-5p/miR-519d-3p;THYM;1
let-7b-5p/miR-520a-3p;THYM;1
let-7b-5p/miR-520g-3p;THYM;1
let-7b-5p/miR-520h;THYM;1
let-7b-5p/miR-525-5p;THYM;1
let-7b-5p/miR-889-3p;THYM;1
let-7b-5p/miR-96-5p;THYM;1
let-7c-5p/miR-1-3p;SARC;1
let-7c-5p/miR-10a-5p;SARC;1
let-7c-5p/miR-1301-3p;SARC;1
let-7c-5p/miR-143-3p;SARC;1
let-7c-5p/miR-143-5p;SARC;1
let-7c-5p/miR-185-5p;SARC;1
let-7c-5p/miR-186-5p;SARC;1
let-7c-5p/miR-190a-5p;SARC;1
let-7c-5p/miR-191-3p;SARC;1
let-7c-5p/miR-195-5p;SARC;1
let-7c-5p/miR-19b-3p;SARC;1
let-7c-5p/miR-204-5p;SARC;1
let-7c-5p/miR-219a-1-3p;TGCT;1
let-7c-5p/miR-223-3p;SARC;1
let-7c-5p/miR-27b-3p;SARC;1
let-7c-5p/miR-29c-3p;SARC;1
let-7c-5p/miR-30b-3p;SARC;1
let-7c-5p/miR-342-5p;SARC;1
let-7c-5p/miR-3615;SARC;1
let-7c-5p/miR-362-3p;SARC;1
let-7c-5p/miR-483-3p;BRCA;1
let-7c-5p/miR-642a-5p;SARC;1
let-7e-5p/miR-106b-5p;SARC;1
let-7e-5p/miR-1301-3p;SARC;1
let-7e-5p/miR-142-3p;SARC;1
let-7e-5p/miR-146a-5p;SARC;1
let-7e-5p/miR-152-3p;TGCT;1
let-7e-5p/miR-19b-3p;SARC;1
let-7e-5p/miR-20a-5p;SARC;1
let-7e-5p/miR-365a-3p;SARC;1
let-7e-5p/miR-455-3p;SARC;1
let-7e-5p/miR-582-5p;TGCT;1
let-7e-5p/miR-616-5p;SARC;1
let-7e-5p/miR-671-5p;SARC;1
let-7e-5p/miR-708-5p;SARC;1
let-7e-5p/miR-92a-3p;SARC;1
let-7f-1-3p/miR-421;SARC;1
let-7f-2-3p/miR-942-5p;TGCT;1
let-7f-5p/let-7c-5p;SARC;1
let-7f-5p/let-7e-5p;SARC;1
let-7f-5p/miR-142-3p;LUAD;1
let-7f-5p/miR-143-3p;THCA;1
