"miRNAPair","CancerTypes","Count"
"miR-20b-5p/miR-106a-5p","THYM - MESO - HNSC - PRAD - DLBC - ESCA - BLCA - SARC",8
"miR-20a-5p/miR-17-5p","BLCA - UCS - SKCM - SARC - THYM - LIHC - LUSC",7
"miR-182-5p/miR-96-5p","ACC - THYM - MESO - PCPG - ESCA - DLBC - UCS",7
"miR-301a-3p/miR-301b-3p","COAD - LUSC - ACC - SARC - LUAD - UCEC - READ",7
"miR-20b-5p/miR-20a-5p","UCS - BRCA - SKCM - LUSC - THYM - STAD",6
"miR-215-5p/miR-192-5p","ESCA - LUAD - UCEC - ACC - CHOL - KIRP",6
"miR-130b-3p/miR-301b-3p","UCS - SARC - LUSC - UCEC - ACC",5
"miR-200b-3p/miR-200c-3p","SARC - THYM - MESO - STAD - SKCM",5
"miR-106a-5p/miR-17-5p","SKCM - LUSC - LIHC - UCS - DLBC",5
"miR-497-5p/miR-195-5p","THYM - SARC - UCEC - UCS - ACC",5
"miR-20a-5p/miR-19a-3p","LIHC - BLCA - SARC - SKCM - HNSC",5
"miR-19a-3p/miR-103a-2-5p","BLCA - PAAD - ESCA - SARC - HNSC",5
"miR-424-5p/miR-195-5p","SKCM - PCPG - STAD - TGCT - ACC",5
"miR-301a-3p/miR-130a-3p","BLCA - SARC - SKCM - LUAD",4
"miR-20a-5p/miR-106a-5p","UCS - SKCM - LIHC - UVM",4
"miR-30a-5p/miR-30a-3p","SKCM - UVM - THYM - MESO",4
"miR-183-5p/miR-182-5p","DLBC - UCS - UCEC - ACC",4
"miR-3065-3p/miR-424-5p","UVM - LUAD - TGCT - BLCA",4
"miR-424-5p/miR-940","TGCT - STAD - COAD - BLCA",4
"miR-93-5p/miR-20a-5p","STAD - THYM - SKCM",3
"miR-30a-5p/miR-17-5p","UCS - ESCA - THYM",3
"let-7c-5p/miR-96-5p","ESCA - UVM - UCEC",3
"miR-29a-3p/miR-29b-3p","BLCA - SARC - TGCT",3
"miR-940/miR-221-5p","SKCM - SARC - HNSC",3
"miR-125b-2-3p/let-7c-5p","UVM - ACC - DLBC",3
"miR-130b-3p/miR-301a-3p","ACC - UCEC - SARC",3
"miR-33a-5p/miR-106a-5p","UCS - PCPG - ACC",3
"miR-181d-5p/miR-181c-5p","SARC - ACC - SKCM",3
"miR-18a-3p/miR-106a-5p","THYM - DLBC - UCEC",3
"miR-18a-3p/miR-17-5p","THYM - DLBC - SKCM",3
"miR-130b-5p/miR-17-5p","LIHC - LUSC - DLBC",3
"miR-17-5p/miR-18a-5p","SKCM - ESCA - DLBC",3
"miR-96-5p/miR-17-5p","OV - ESCA - BLCA",3
"miR-19a-3p/miR-106a-5p","DLBC - BLCA - SKCM",3
"miR-19a-3p/miR-19b-3p","SARC - HNSC - LIHC",3
"miR-17-5p/miR-130b-3p","UCS - STAD - LUSC",3
"miR-410-3p/miR-369-3p","MESO - SKCM - UCS",3
"miR-106a-5p/miR-424-5p","SARC - UCEC - UVM",3
"miR-143-3p/let-7c-5p","SKCM - ESCA - SARC",3
"miR-29a-3p/miR-29c-3p","SARC - SKCM - TGCT",3
"miR-29b-3p/miR-29c-3p","BLCA - CESC - TGCT",3
"miR-195-5p/miR-9-5p","UVM - KIRP - SKCM",3
"miR-20b-5p/miR-17-5p","THYM - STAD - LIHC",3
"miR-199b-5p/miR-497-5p","SARC - SKCM - THYM",3
"miR-17-5p/miR-19a-3p","SARC - LIHC - SKCM",3
"miR-7-5p/miR-642a-5p","UCS - MESO - PAAD",3
"miR-200a-3p/miR-141-3p","BLCA - UCS - THYM",3
"miR-766-3p/miR-130b-3p","UCS - ACC - TGCT",3
"let-7c-5p/miR-19a-3p","LIHC - BLCA - SARC",3
"miR-324-5p/miR-33a-5p","BLCA - SKCM - LUAD",3
