miRNA1,miRNA2,hgnc_symbol_tf,hgnc_symbol_target,CommonSynergyModules,CancerTypes,Count
miR-130b-5p,miR-324-5p,FOXO1,NOS3,miR-130b-5p/miR-324-5p/FOXO1/NOS3,STAD - BLCA,2
miR-17-5p,miR-20a-5p,MEF2A,PICALM,miR-17-5p/miR-20a-5p/MEF2A/PICALM,STAD - BLCA,2
miR-17-5p,miR-20a-5p,STAT3,PTGS2,miR-17-5p/miR-20a-5p/STAT3/PTGS2,LIHC - STAD,2
miR-182-5p,miR-183-5p,FOXO1,TMEM47,miR-182-5p/miR-183-5p/FOXO1/TMEM47,HNSC - UCEC,2
miR-18a-5p,miR-20a-5p,STAT3,LBP,miR-18a-5p/miR-20a-5p/STAT3/LBP,HNSC - BLCA,2
miR-19a-3p,miR-19b-3p,IKZF1,GRAP2,miR-19a-3p/miR-19b-3p/IKZF1/GRAP2,HNSC - STAD,2
let-7a-2-3p,miR-139-5p,POU2F1,POU2AF1,let-7a-2-3p/miR-139-5p/POU2F1/POU2AF1,LIHC,1
let-7a-3p,miR-132-3p,MEF2A,LRCH1,let-7a-3p/miR-132-3p/MEF2A/LRCH1,SARC,1
let-7a-3p,miR-148a-3p,TEAD1,AHNAK,let-7a-3p/miR-148a-3p/TEAD1/AHNAK,SARC,1
let-7a-3p,miR-148a-3p,TEAD1,ANO6,let-7a-3p/miR-148a-3p/TEAD1/ANO6,SARC,1
let-7a-3p,miR-152-3p,TEAD1,PRICKLE2,let-7a-3p/miR-152-3p/TEAD1/PRICKLE2,SARC,1
let-7a-3p,miR-152-3p,TEAD1,WWTR1,let-7a-3p/miR-152-3p/TEAD1/WWTR1,SARC,1
let-7a-3p,miR-17-3p,MEF2A,ERC1,let-7a-3p/miR-17-3p/MEF2A/ERC1,SARC,1
let-7a-3p,miR-182-5p,MEF2A,SAMD4A,let-7a-3p/miR-182-5p/MEF2A/SAMD4A,SARC,1
let-7a-3p,miR-197-3p,HBP1,GABARAPL2,let-7a-3p/miR-197-3p/HBP1/GABARAPL2,SARC,1
let-7a-3p,miR-22-5p,CREB1,HMOX1,let-7a-3p/miR-22-5p/CREB1/HMOX1,UCEC,1
let-7a-3p,miR-299-5p,TEAD1,PRICKLE2,let-7a-3p/miR-299-5p/TEAD1/PRICKLE2,SARC,1
let-7a-3p,miR-339-3p,TEAD1,AHNAK,let-7a-3p/miR-339-3p/TEAD1/AHNAK,SARC,1
let-7a-3p,miR-34a-5p,TEAD1,EML1,let-7a-3p/miR-34a-5p/TEAD1/EML1,SARC,1
let-7a-3p,miR-362-3p,MEF2A,RIPOR2,let-7a-3p/miR-362-3p/MEF2A/RIPOR2,SARC,1
let-7a-3p,miR-362-5p,TEAD1,RERE,let-7a-3p/miR-362-5p/TEAD1/RERE,SARC,1
let-7a-3p,miR-532-3p,TEAD1,AHNAK,let-7a-3p/miR-532-3p/TEAD1/AHNAK,SARC,1
let-7a-3p,miR-532-3p,TEAD1,JCAD,let-7a-3p/miR-532-3p/TEAD1/JCAD,SARC,1
let-7b-5p,miR-125a-5p,TP53,MSH2,let-7b-5p/miR-125a-5p/TP53/MSH2,THYM,1
let-7b-5p,miR-125a-5p,TP53,RPS27L,let-7b-5p/miR-125a-5p/TP53/RPS27L,THYM,1
let-7b-5p,miR-125b-5p,TP53,BAX,let-7b-5p/miR-125b-5p/TP53/BAX,THYM,1
let-7b-5p,miR-125b-5p,TP53,FBLN2,let-7b-5p/miR-125b-5p/TP53/FBLN2,THYM,1
let-7b-5p,miR-125b-5p,TP53,MSH2,let-7b-5p/miR-125b-5p/TP53/MSH2,THYM,1
let-7b-5p,miR-125b-5p,TP53,P2RX6,let-7b-5p/miR-125b-5p/TP53/P2RX6,THYM,1
let-7b-5p,miR-125b-5p,TP53,PIDD1,let-7b-5p/miR-125b-5p/TP53/PIDD1,THYM,1
let-7b-5p,miR-125b-5p,TP53,RPS27L,let-7b-5p/miR-125b-5p/TP53/RPS27L,THYM,1
let-7b-5p,miR-125b-5p,TP53,SH2D1A,let-7b-5p/miR-125b-5p/TP53/SH2D1A,THYM,1
let-7b-5p,miR-125b-5p,TP53,SMPD3,let-7b-5p/miR-125b-5p/TP53/SMPD3,THYM,1
let-7b-5p,miR-195-3p,AR,CD4,let-7b-5p/miR-195-3p/AR/CD4,THYM,1
let-7b-5p,miR-195-3p,AR,HSD17B11,let-7b-5p/miR-195-3p/AR/HSD17B11,THYM,1
let-7b-5p,miR-195-3p,AR,PIN1,let-7b-5p/miR-195-3p/AR/PIN1,THYM,1
let-7b-5p,miR-195-3p,AR,SOX4,let-7b-5p/miR-195-3p/AR/SOX4,THYM,1
