"Triplet","CancerTypes","Count"
"miR-20a-5p/miR-17-5p/CD38","BLCA - UCS",2
"miR-342-3p/miR-7-5p/FSTL1","SKCM - LUAD",2
"miR-642a-5p/miR-615-3p/GTF3C4","MESO - SKCM",2
"miR-940/miR-221-5p/GPSM1","SKCM - HNSC",2
"miR-500a-5p/miR-95-3p/CCND1","UCS - LUSC",2
"miR-196b-5p/miR-301a-3p/PRUNE2","SARC - COAD",2
"miR-204-5p/miR-485-5p/CD4","TGCT - ACC",2
"miR-570-3p/miR-135a-5p/APP","KIRP - KICH",2
"miR-93-5p/miR-17-5p/RBP1","SKCM - THYM",2
"miR-103a-2-5p/miR-19a-3p/PCDH10","ESCA - HNSC",2
"miR-125b-2-3p/miR-378a-3p/ZFP36L2","ESCA - ACC",2
"miR-224-5p/miR-452-3p/TNC","BLCA - STAD",2
"miR-19a-3p/miR-103a-2-5p/IRF4","PAAD - BLCA",2
"miR-381-3p/miR-379-5p/IFNLR1","UCS - DLBC",2
"miR-432-5p/miR-410-3p/SOD2","DLBC - MESO",2
"miR-155-5p/miR-362-3p/ALDH1A2","STAD - KIRC",2
"miR-335-5p/miR-3150b-3p/CACNA1B","ESCA - UVM",2
"miR-20a-3p/miR-196a-5p/AQP3","CESC - HNSC",2
"miR-149-5p/miR-1180-3p/DOCK4","MESO - ACC",2
"miR-500b-5p/miR-582-5p/GPRC5A","TGCT - SKCM",2
"miR-424-5p/miR-940/ADAMTS1","COAD - BLCA",2
"miR-19b-1-5p/miR-19a-3p/IRF4","BLCA - STAD",2
"miR-19b-1-5p/miR-20a-5p/CD38","BLCA - UCS",2
"miR-455-3p/miR-651-5p/NRXN3","ESCA - COAD",2
"miR-19a-3p/miR-20a-5p/BMP2","SKCM - BLCA",2
"let-7a-2-3p/miR-125b-5p/DLC1","ACC",1
"let-7a-2-3p/miR-497-5p/EFEMP1","SARC",1
"let-7b-5p/miR-145-5p/CDK6","UVM",1
"let-7b-5p/miR-383-5p/E2F7","THYM",1
"let-7b-5p/miR-520h/LBR","THYM",1
"let-7b-5p/miR-550a-5p/GJC1","UCS",1
"let-7c-5p/miR-337-3p/PKN2","MESO",1
"let-7c-5p/miR-362-3p/STOX2","SARC",1
"let-7c-5p/miR-483-3p/SREBF1","BRCA",1
"let-7c-5p/miR-758-3p/MYH9","DLBC",1
"let-7f-1-3p/miR-421/ID4","SARC",1
"let-7f-2-3p/miR-215-5p/MYO6","MESO",1
"let-7f-5p/miR-33a-5p/PRTG","LUAD",1
"let-7g-3p/miR-326/HMGA2","PRAD",1
"let-7g-3p/miR-33b-5p/HMGA2","PRAD",1
"miR-103a-2-5p/miR-106a-5p/PPP1R12B","ESCA",1
"miR-103a-2-5p/miR-196b-5p/EPHA7","BLCA",1
"miR-103a-2-5p/miR-19b-1-5p/IRF4","STAD",1
"miR-103a-2-5p/miR-331-3p/EPHA7","BLCA",1
"miR-155-5p/miR-203a-3p/FGF2","UCEC",1
"miR-155-5p/miR-211-5p/FNDC3B","TGCT",1
"miR-103a-2-5p/miR-33a-5p/EPHA7","BLCA",1
"miR-103a-2-5p/miR-503-5p/KIF5C","STAD",1
"miR-20a-5p/miR-17-3p/CLU","UCEC",1
"miR-335-5p/miR-7-5p/GOLGB1","SKCM",1
"miR-338-3p/miR-19a-3p/MICAL3","LIHC",1
"miR-508-5p/miR-520g-3p/GLB1L3","THYM",1
"miR-509-3p/miR-218-5p/ASPM","LGG",1
"miR-155-5p/miR-22-5p/PRKDC","SKCM",1
"miR-155-5p/miR-424-5p/CDC42SE2","KICH",1
"miR-338-3p/miR-19a-3p/PALM2AKAP2","LIHC",1
"miR-338-3p/miR-223-5p/GLI2","HNSC",1
"miR-20a-5p/miR-17-5p/TENT5C","SARC",1
"miR-20a-5p/miR-18a-5p/F3","SKCM",1
"miR-20a-5p/miR-199a-3p/VLDLR","UCS",1
"miR-20a-5p/miR-19a-3p/LDLR","SARC",1
"miR-20a-5p/miR-20b-5p/IRF1","STAD",1
