miRNA1,miRNA2,hgnc_symbol_target,CommonTriplets,CancerTypes,count
hsa-mir-130b-5p,hsa-mir-324-5p,NOS3,hsa-mir-130b-5p/hsa-mir-324-5p/NOS3,STAD - BLCA,2
hsa-mir-17-5p,hsa-mir-20a-5p,PICALM,hsa-mir-17-5p/hsa-mir-20a-5p/PICALM,STAD - BLCA,2
hsa-mir-17-5p,hsa-mir-20a-5p,PTGS2,hsa-mir-17-5p/hsa-mir-20a-5p/PTGS2,LIHC - STAD,2
hsa-mir-182-5p,hsa-mir-183-5p,TMEM47,hsa-mir-182-5p/hsa-mir-183-5p/TMEM47,HNSC - UCEC,2
hsa-mir-18a-5p,hsa-mir-20a-5p,LBP,hsa-mir-18a-5p/hsa-mir-20a-5p/LBP,HNSC - BLCA,2
hsa-mir-19a-3p,hsa-mir-19b-3p,GRAP2,hsa-mir-19a-3p/hsa-mir-19b-3p/GRAP2,HNSC - STAD,2
hsa-let-7a-2-3p,hsa-mir-139-5p,POU2AF1,hsa-let-7a-2-3p/hsa-mir-139-5p/POU2AF1,LIHC,1
hsa-let-7a-3p,hsa-mir-132-3p,LRCH1,hsa-let-7a-3p/hsa-mir-132-3p/LRCH1,SARC,1
hsa-let-7a-3p,hsa-mir-148a-3p,AHNAK,hsa-let-7a-3p/hsa-mir-148a-3p/AHNAK,SARC,1
hsa-let-7a-3p,hsa-mir-148a-3p,ANO6,hsa-let-7a-3p/hsa-mir-148a-3p/ANO6,SARC,1
hsa-let-7a-3p,hsa-mir-152-3p,PRICKLE2,hsa-let-7a-3p/hsa-mir-152-3p/PRICKLE2,SARC,1
hsa-let-7a-3p,hsa-mir-152-3p,WWTR1,hsa-let-7a-3p/hsa-mir-152-3p/WWTR1,SARC,1
hsa-let-7a-3p,hsa-mir-17-3p,ERC1,hsa-let-7a-3p/hsa-mir-17-3p/ERC1,SARC,1
hsa-let-7a-3p,hsa-mir-182-5p,SAMD4A,hsa-let-7a-3p/hsa-mir-182-5p/SAMD4A,SARC,1
hsa-let-7a-3p,hsa-mir-197-3p,GABARAPL2,hsa-let-7a-3p/hsa-mir-197-3p/GABARAPL2,SARC,1
hsa-let-7a-3p,hsa-mir-22-5p,HMOX1,hsa-let-7a-3p/hsa-mir-22-5p/HMOX1,UCEC,1
hsa-let-7a-3p,hsa-mir-299-5p,PRICKLE2,hsa-let-7a-3p/hsa-mir-299-5p/PRICKLE2,SARC,1
hsa-let-7a-3p,hsa-mir-339-3p,AHNAK,hsa-let-7a-3p/hsa-mir-339-3p/AHNAK,SARC,1
hsa-let-7a-3p,hsa-mir-34a-5p,EML1,hsa-let-7a-3p/hsa-mir-34a-5p/EML1,SARC,1
hsa-let-7a-3p,hsa-mir-362-3p,RIPOR2,hsa-let-7a-3p/hsa-mir-362-3p/RIPOR2,SARC,1
hsa-let-7a-3p,hsa-mir-362-5p,RERE,hsa-let-7a-3p/hsa-mir-362-5p/RERE,SARC,1
hsa-let-7a-3p,hsa-mir-532-3p,AHNAK,hsa-let-7a-3p/hsa-mir-532-3p/AHNAK,SARC,1
hsa-let-7a-3p,hsa-mir-532-3p,JCAD,hsa-let-7a-3p/hsa-mir-532-3p/JCAD,SARC,1
hsa-let-7b-5p,hsa-mir-125a-5p,MSH2,hsa-let-7b-5p/hsa-mir-125a-5p/MSH2,THYM,1
hsa-let-7b-5p,hsa-mir-125a-5p,RPS27L,hsa-let-7b-5p/hsa-mir-125a-5p/RPS27L,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,BAX,hsa-let-7b-5p/hsa-mir-125b-5p/BAX,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,FBLN2,hsa-let-7b-5p/hsa-mir-125b-5p/FBLN2,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,MSH2,hsa-let-7b-5p/hsa-mir-125b-5p/MSH2,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,P2RX6,hsa-let-7b-5p/hsa-mir-125b-5p/P2RX6,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,PIDD1,hsa-let-7b-5p/hsa-mir-125b-5p/PIDD1,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,RPS27L,hsa-let-7b-5p/hsa-mir-125b-5p/RPS27L,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,SH2D1A,hsa-let-7b-5p/hsa-mir-125b-5p/SH2D1A,THYM,1
hsa-let-7b-5p,hsa-mir-125b-5p,SMPD3,hsa-let-7b-5p/hsa-mir-125b-5p/SMPD3,THYM,1
hsa-let-7b-5p,hsa-mir-195-3p,CD4,hsa-let-7b-5p/hsa-mir-195-3p/CD4,THYM,1
hsa-let-7b-5p,hsa-mir-195-3p,HSD17B11,hsa-let-7b-5p/hsa-mir-195-3p/HSD17B11,THYM,1
hsa-let-7b-5p,hsa-mir-195-3p,PIN1,hsa-let-7b-5p/hsa-mir-195-3p/PIN1,THYM,1
hsa-let-7b-5p,hsa-mir-195-3p,SOX4,hsa-let-7b-5p/hsa-mir-195-3p/SOX4,THYM,1
hsa-let-7b-5p,hsa-mir-299-5p,PTMA,hsa-let-7b-5p/hsa-mir-299-5p/PTMA,THYM,1
hsa-let-7b-5p,hsa-mir-30a-3p,KBTBD8,hsa-let-7b-5p/hsa-mir-30a-3p/KBTBD8,THYM,1
hsa-let-7b-5p,hsa-mir-30a-3p,KLHL6,hsa-let-7b-5p/hsa-mir-30a-3p/KLHL6,THYM,1
hsa-let-7b-5p,hsa-mir-30a-3p,RAPGEF6,hsa-let-7b-5p/hsa-mir-30a-3p/RAPGEF6,THYM,1
hsa-let-7b-5p,hsa-mir-30a-5p,ABCB1,hsa-let-7b-5p/hsa-mir-30a-5p/ABCB1,THYM,1
