"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
93,"ACVR2B","hsa-mir-3127-5p","hsa-mir-203a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-203a-3p","hsa-mir-3127-5p",93,13.5860062262009,13.0321203629539,"12.6872998917811","15.7391451036533","14.8046502332456","14.9696204068671","14.0801802232903","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
93,"ACVR2B","hsa-mir-497-5p","hsa-mir-335-5p",0.005,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-335-5p","hsa-mir-497-5p",93,13.8802316147801,13.7197920790364,"14.8712265687717","13.5564530081303","15.2153422784926","14.5719960635424","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
214,"ALCAM","hsa-mir-98-5p","hsa-mir-508-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-508-5p","hsa-mir-98-5p",214,14.4104576776973,13.8565417388472,"13.4028447403394","14.6678698740584","13.5213939758058","15.4038398497978","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
317,"APAF1","hsa-mir-452-5p","hsa-mir-491-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-491-5p","hsa-mir-452-5p",317,14.6053209269961,14.6904391986627,"14.5786673224004","14.9731473778438","13.1078333216904","14.5535105126183","15.3229407159718","15.4862625775397","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
444,"ASPH","hsa-mir-33a-5p","hsa-mir-106a-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-106a-5p","hsa-mir-33a-5p",444,19.7873831433908,18.5490998482921,"18.2914781956349","18.6580483870098","18.105588252163","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
473,"RERE","hsa-mir-1224-5p","hsa-mir-182-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-182-5p","hsa-mir-1224-5p",473,17.6093691358586,17.2591100817572,"17.3935905399493","17.2101500741204","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
558,"AXL","hsa-mir-541-3p","hsa-mir-485-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-485-5p","hsa-mir-541-3p",558,16.3074421112715,15.9691758206443,"16.1342506997566","15.7313547725033","14.6518263066377","14.0182162852153","14.2564573101822","14.0803190830759","15.463945848384","15.5300685201885","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
567,"B2M","hsa-mir-195-3p","hsa-mir-411-3p",0.004,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-411-3p","hsa-mir-195-3p",567,23.1944216491118,22.7994164774697,"23.0217375648112","22.5792405880802","23.9233737239891","23.1465161897195","21.636778402114","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-380-5p","hsa-mir-95-3p",0.0055,FALSE,NA,NA,"NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16954163'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095038'>PubMedLink</a>","mirtarbase","mirtarbase tarbase","hsa-mir-95-3p","hsa-mir-380-5p",595,17.6312976799588,18.3005674088265,"18.1176629965205","18.5094006016147","21.8432957096155","17.4836737433781","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
599,"BCL2L2","hsa-mir-550a-5p","hsa-mir-21-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-21-3p","hsa-mir-550a-5p",599,18.1372208899923,18.8761101406145,"17.5573032583257","19.0254461551345","18.6388924612021","17.9117804645089","18.3161749020387","17.4054498740015","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
672,"BRCA1","hsa-mir-1-3p","hsa-mir-26a-1-3p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-26a-1-3p","hsa-mir-1-3p",672,13.5307332680823,13.4322783975281,"13.2291933505209","13.7368830568774","13.7127884927184","13.4270379325198","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-378a-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-378a-3p","hsa-mir-125b-2-3p",678,19.7747914354868,17.5650279923566,"18.0084811543471","18.8344394182425","17.9427436184904","19.1628470590576","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
767,"CA8","hsa-mir-9-5p","hsa-mir-329-3p",0.0015,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-329-3p","hsa-mir-9-5p",767,11.7903041626386,10.0101104975053,"17.0525614274628","8.83925020898624","11.3172588953852","16.2526575454303","9.75390957724207","8.91492012311524","9.67076112592203","12.3318483523816","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
