"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11"
1289,"COL5A1","hsa-mir-33b-5p","hsa-mir-338-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.0122337571210991,-0.768645183617741,0.350208419592734,0.300047218221764,0.272282332230678,0.140588968205049,"hsa-mir-338-5p","hsa-mir-33b-5p",1289,20.1505065814367,19.7950413406023,"19.7748388405121","18.8909205217719","""""","""""","""""","""""",""""""
1317,"SLC31A1","hsa-mir-10a-3p","hsa-mir-214-3p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.58401296119118,0.20784799765085,0.758667215415774,0.0979436255901189,0.0670418897873774,-0.223902961669103,"hsa-mir-214-3p","hsa-mir-10a-3p",1317,18.1358137892747,17.4095100983488,"19.9492609705859","18.971224352194","""""","""""","""""","""""",""""""
1871,"E2F3","hsa-mir-378c","hsa-mir-188-3p",0.0085,TRUE,NA,NA,NA,"tarbase","mirtarbase",5.94109649925874e-05,-1.12596129505487,0.0879764219684743,-0.759395928837808,0.386471142023885,0.115496589154565,"hsa-mir-188-3p","hsa-mir-378c",1871,17.6380403605212,17.509155620601,"17.3209516215592","17.576564643234","16.8380070602915","""""","""""","""""",""""""
3213,"HOXB3","hsa-mir-885-5p","hsa-mir-122-5p",0.0075,TRUE,NA,NA,NA,"mirtarbase","tarbase",5.95652587149934e-07,-1.33667361611249,1.13658827484822e-05,-0.835916122378796,0.423663525449468,0.11323341626123,"hsa-mir-122-5p","hsa-mir-885-5p",3213,16.7591656824259,16.4695550321318,"17.7515618318774","17.9626411250878","15.8473864884688","16.3297544076631","""""","""""",""""""
3423,"IDS","hsa-mir-193b-5p","hsa-mir-1271-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.00357857135750181,-0.805615911288242,0.972693632381842,0.013796529540906,0.657210037743868,0.0564841092116962,"hsa-mir-1271-5p","hsa-mir-193b-5p",3423,19.0015050103397,18.1624523586503,"18.6761570664866","19.3311468855292","19.2474866024899","""""","""""","""""",""""""
3480,"IGF1R","hsa-mir-148a-3p","hsa-mir-3065-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31205529'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31205529'>PubMedLink</a>","tarbase","tarbase",0.102174704612462,-0.21723235571998,0.0398653167009213,-0.467829271979431,0.13289055234135,0.211273992470311,"hsa-mir-3065-3p","hsa-mir-148a-3p",3480,15.1475917709921,14.4230837781179,"14.9998008650458","16.7692553648359","16.0795662179718","15.8685755797534","""""","""""",""""""
4602,"MYB","hsa-mir-192-5p","hsa-mir-122-5p",0.007,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.157967403548531,-0.19618679903471,1.13658827484822e-05,-0.835916122378796,0.0131727449004933,0.417306430974994,"hsa-mir-122-5p","hsa-mir-192-5p",4602,13.3435021272004,15.7534168195103,"11.8269235440202","12.4942146753159","""""","""""","""""","""""",""""""
4853,"NOTCH2","hsa-mir-326","hsa-mir-532-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29378174'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>","mirtarbase","tarbase",0.226618454967352,-0.425326946025293,0.90146660630748,-0.0291035532170092,0.764829044638542,0.0380574051368853,"hsa-mir-532-3p","hsa-mir-326",4853,18.3396675897696,17.4402833072441,"19.5062548773605","18.9879075152691","19.2010652935675","18.494681353501","""""","""""",""""""
4853,"NOTCH2","hsa-mir-33a-3p","hsa-mir-326",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29378174'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>","tarbase","mirtarbase",0.0155143175439039,-0.893079622450275,0.226618454967352,-0.425326946025293,0.764829044638542,0.0380574051368853,"hsa-mir-326","hsa-mir-33a-3p",4853,18.9879075152691,19.2010652935675,"18.494681353501","""""","""""","""""","""""","""""",""""""
4884,"NPTX1","hsa-mir-30d-3p","hsa-mir-224-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.87834096108452,0.0420344187526086,0.143432537068549,0.591547212258732,6.54168739686e-05,1.1224692249952,"hsa-mir-224-3p","hsa-mir-30d-3p",4884,16.6001707571136,15.8342644120284,"15.251379963737","15.2917867979984","14.7297012793628","""""","""""","""""",""""""
