"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10"
1289,"COL5A1","hsa-mir-33b-5p","hsa-mir-338-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.0122337571210991,-0.768645183617741,0.350208419592734,0.300047218221764,0.272282332230678,0.140588968205049,"hsa-mir-338-5p","hsa-mir-33b-5p",1289,18.2406971370526,18.3784513147199,"17.268058730317","19.1762470099301","""""","""""","""""",""""""
1317,"SLC31A1","hsa-mir-10a-3p","hsa-mir-214-3p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.58401296119118,0.20784799765085,0.758667215415774,0.0979436255901189,0.0670418897873774,-0.223902961669103,"hsa-mir-214-3p","hsa-mir-10a-3p",1317,16.8250281664692,17.6747881541932,"16.4818446688791","16.8790570520687","17.1621561855033","17.0531703376877","""""",""""""
1871,"E2F3","hsa-mir-378c","hsa-mir-188-3p",0.0085,TRUE,NA,NA,NA,"tarbase","mirtarbase",5.94109649925874e-05,-1.12596129505487,0.0879764219684743,-0.759395928837808,0.386471142023885,0.115496589154565,"hsa-mir-188-3p","hsa-mir-378c",1871,16.4222211399271,17.3061130960347,"16.3936345009711","16.4635236476785","14.7880499452697","""""","""""",""""""
3213,"HOXB3","hsa-mir-885-5p","hsa-mir-122-5p",0.0075,TRUE,NA,NA,NA,"mirtarbase","tarbase",5.95652587149934e-07,-1.33667361611249,1.13658827484822e-05,-0.835916122378796,0.423663525449468,0.11323341626123,"hsa-mir-122-5p","hsa-mir-885-5p",3213,13.606301930648,13.5193346603078,"14.3252916094801","15.8252098982941","12.6392710402374","14.8209001567906","""""",""""""
3423,"IDS","hsa-mir-193b-5p","hsa-mir-1271-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.00357857135750181,-0.805615911288242,0.972693632381842,0.013796529540906,0.657210037743868,0.0564841092116962,"hsa-mir-1271-5p","hsa-mir-193b-5p",3423,17.987411125747,17.9481786958753,"""""","""""","""""","""""","""""",""""""
3480,"IGF1R","hsa-mir-148a-3p","hsa-mir-3065-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31205529'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31205529'>PubMedLink</a>","tarbase","tarbase",0.102174704612462,-0.21723235571998,0.0398653167009213,-0.467829271979431,0.13289055234135,0.211273992470311,"hsa-mir-3065-3p","hsa-mir-148a-3p",3480,13.8621791896528,12.6932851696365,"""""","""""","""""","""""","""""",""""""
4602,"MYB","hsa-mir-192-5p","hsa-mir-122-5p",0.007,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.157967403548531,-0.19618679903471,1.13658827484822e-05,-0.835916122378796,0.0131727449004933,0.417306430974994,"hsa-mir-122-5p","hsa-mir-192-5p",4602,12.607853312705,11.5777598728242,"9.00239304726639","11.5947118662345","11.6622956674927","""""","""""",""""""
4853,"NOTCH2","hsa-mir-326","hsa-mir-532-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29378174'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>","mirtarbase","tarbase",0.226618454967352,-0.425326946025293,0.90146660630748,-0.0291035532170092,0.764829044638542,0.0380574051368853,"hsa-mir-532-3p","hsa-mir-326",4853,16.7310317518437,16.8830308814878,"17.8961995867508","17.8923783288255","17.3081880550538","""""","""""",""""""
4853,"NOTCH2","hsa-mir-33a-3p","hsa-mir-326",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29378174'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>","tarbase","mirtarbase",0.0155143175439039,-0.893079622450275,0.226618454967352,-0.425326946025293,0.764829044638542,0.0380574051368853,"hsa-mir-326","hsa-mir-33a-3p",4853,16.8830308814878,17.8961995867508,"16.0606369396602","17.3081880550538","""""","""""","""""",""""""
4884,"NPTX1","hsa-mir-30d-3p","hsa-mir-224-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.87834096108452,0.0420344187526086,0.143432537068549,0.591547212258732,6.54168739686e-05,1.1224692249952,"hsa-mir-224-3p","hsa-mir-30d-3p",4884,14.001982273937,14.0380476968329,"14.8493546772738","""""","""""","""""","""""",""""""
5660,"PSAP","hsa-mir-3127-5p","hsa-mir-454-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.0768817655755204,0.698692182349513,0.0089850736927602,1.93980484464463,0.792652598817891,-0.029050011734512,"hsa-mir-454-5p","hsa-mir-3127-5p",5660,22.5175390974176,22.8494431065134,"22.6431766055934","22.9804121712407","""""","""""","""""",""""""
