"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11"
602,"BCL3","hsa-mir-30b-3p","hsa-mir-32-3p",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11672772'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14556665'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16426923'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21752100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21752100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21891868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2243504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23562784'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27873317'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30021393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30792270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31109623'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8374527'>PubMedLink</a>","tarbase","tarbase","hsa-mir-32-3p","hsa-mir-30b-3p",602,20.4486547148106,20.0187226858587,"20.1607509182797","""""","""""","""""","""""","""""",""""""
790,"CAD","hsa-mir-939-5p","hsa-mir-505-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10657901'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-505-5p","hsa-mir-939-5p",790,19.0786059636926,19.0501644956258,"18.6662020172533","19.235740894357","18.5509478936679","18.9761040433368","""""","""""",""""""
821,"CANX","hsa-mir-181c-3p","hsa-mir-708-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-708-5p","hsa-mir-181c-3p",821,21.0927312181765,20.9019862373509,"21.2317104204853","20.8797588356902","21.2814322718514","""""","""""","""""",""""""
894,"CCND2","hsa-mir-96-5p","hsa-mir-452-3p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17593082'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17593082'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19706817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20016842'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21479697'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21504716'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25207815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26985765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27825111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30127911'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30755239'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7529333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8045261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8959341'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-452-3p","hsa-mir-96-5p",894,18.8047965137208,18.7316655421812,"20.1012705988298","18.6665846451819","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-654-3p","hsa-mir-15b-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18941111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19738071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21804610'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25671298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31812332'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9546285'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-15b-3p","hsa-mir-654-3p",1026,20.5715633359459,19.8027697454032,"20.252936827784","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-654-3p","hsa-mir-939-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18941111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19738071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21804610'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25671298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31812332'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9546285'>PubMedLink</a>","mirtarbase","mirtarbase tarbase","hsa-mir-939-5p","hsa-mir-654-3p",1026,19.7267536684295,19.5275569505935,"19.8027697454032","""""","""""","""""","""""","""""",""""""
1303,"COL12A1","hsa-mir-1-3p","hsa-mir-181c-5p",0.0055,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-181c-5p","hsa-mir-1-3p",1303,14.3376146446134,16.3768160053696,"15.080348973997","""""","""""","""""","""""","""""",""""""
1385,"CREB1","hsa-mir-204-5p","hsa-mir-9-5p",5e-04,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25648114'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29576796'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257496'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-9-5p","hsa-mir-204-5p",1385,17.5842417410209,17.440791785932,"""""","""""","""""","""""","""""","""""",""""""
1452,"CSNK1A1","hsa-mir-181a-2-3p","hsa-mir-181d-5p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-181d-5p","hsa-mir-181a-2-3p",1452,17.7190809516769,18.0911244522911,"17.8207314468606","17.8856778600362","16.5730505512101","""""","""""","""""",""""""
1847,"DUSP5","hsa-mir-624-5p","hsa-mir-16-1-3p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/14556661'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2497076'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2786910'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-16-1-3p","hsa-mir-624-5p",1847,19.0908076471382,20.1471520782936,"19.4249298260908","18.0483331272637","19.1188511433776","""""","""""","""""",""""""
1894,"ECT2","hsa-mir-155-5p","hsa-mir-664a-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-664a-3p","hsa-mir-155-5p",1894,17.2558204914904,17.0916271903584,"16.2764836164055","17.7250375902101","16.4465014578277","""""","""""","""""",""""""
2035,"EPB41","hsa-mir-181d-5p","hsa-mir-9-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-9-5p","hsa-mir-181d-5p",2035,18.1948034291222,18.7598312349592,"""""","""""","""""","""""","""""","""""",""""""
2055,"CLN8","hsa-mir-7-5p","hsa-mir-18a-5p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-18a-5p","hsa-mir-7-5p",2055,16.8378745223118,16.6183282278293,"16.4647014017492","16.088571712795","""""","""""","""""","""""",""""""
2194,"FASN","hsa-mir-342-5p","hsa-mir-940",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29483509'>PubMedLink</a>","tarbase","tarbase","hsa-mir-940","hsa-mir-342-5p",2194,18.6956086319239,19.3195069649314,"19.0904227636781","18.9145727323271","""""","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-190a-5p","hsa-mir-1-3p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-1-3p","hsa-mir-190a-5p",2200,15.0375115015652,15.8283381179419,"14.5514637835134","17.0179081418185","15.5937921013756","""""","""""","""""",""""""
