"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12"
602,"BCL3","hsa-mir-30b-3p","hsa-mir-32-3p",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11672772'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14556665'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16426923'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21752100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21752100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21891868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2243504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23562784'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27873317'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30021393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30792270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31109623'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8374527'>PubMedLink</a>","tarbase","tarbase","hsa-mir-32-3p","hsa-mir-30b-3p",602,18.0731832786029,19.2305616034919,"18.6714257771213","20.3097148268124","18.774292645501","19.1107536113879","17.9494036642052","""""","""""",""""""
790,"CAD","hsa-mir-939-5p","hsa-mir-505-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10657901'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-505-5p","hsa-mir-939-5p",790,17.0130952167624,17.4357674940687,"17.8447071445302","18.5878590837167","""""","""""","""""","""""","""""",""""""
821,"CANX","hsa-mir-181c-3p","hsa-mir-708-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-708-5p","hsa-mir-181c-3p",821,19.9721755345131,20.0385556296911,"20.1330591614293","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-96-5p","hsa-mir-452-3p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17593082'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17593082'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19706817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20016842'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21479697'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21504716'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25207815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26985765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27825111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30127911'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30755239'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7529333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8045261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8959341'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-452-3p","hsa-mir-96-5p",894,15.6845409623781,15.6604194724744,"17.1661906286944","15.8438320924304","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-654-3p","hsa-mir-15b-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18941111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19738071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21804610'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25671298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31812332'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9546285'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-15b-3p","hsa-mir-654-3p",1026,17.8839957887538,17.2245989517617,"19.2333365860757","19.2020667945592","17.9061226131805","18.9736071451456","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-654-3p","hsa-mir-939-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18941111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19738071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21804610'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25671298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31812332'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9546285'>PubMedLink</a>","mirtarbase","mirtarbase tarbase","hsa-mir-939-5p","hsa-mir-654-3p",1026,18.3981712113157,17.8839957887538,"17.2245989517617","19.2020667945592","17.9061226131805","""""","""""","""""","""""",""""""
1303,"COL12A1","hsa-mir-1-3p","hsa-mir-181c-5p",0.0055,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-181c-5p","hsa-mir-1-3p",1303,12.3556874571095,11.7537477102932,"13.276504919091","12.9937623892203","""""","""""","""""","""""","""""",""""""
1385,"CREB1","hsa-mir-204-5p","hsa-mir-9-5p",5e-04,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25648114'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29576796'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257496'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-9-5p","hsa-mir-204-5p",1385,16.251881398366,16.6099209031722,"16.4686110767526","17.2405388538362","16.4530090238917","""""","""""","""""","""""",""""""
1452,"CSNK1A1","hsa-mir-181a-2-3p","hsa-mir-181d-5p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-181d-5p","hsa-mir-181a-2-3p",1452,16.871147922862,16.9342529521842,"16.1993228319104","16.5320509064479","""""","""""","""""","""""","""""",""""""
1847,"DUSP5","hsa-mir-624-5p","hsa-mir-16-1-3p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/14556661'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2497076'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2786910'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-16-1-3p","hsa-mir-624-5p",1847,17.6407284463099,17.2519352656078,"15.4776360954283","""""","""""","""""","""""","""""","""""",""""""
1894,"ECT2","hsa-mir-155-5p","hsa-mir-664a-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-664a-3p","hsa-mir-155-5p",1894,15.9564051639229,16.1416990821086,"16.6645208208979","15.5899725563798","14.8075111237818","15.4815514734895","""""","""""","""""",""""""
2035,"EPB41","hsa-mir-181d-5p","hsa-mir-9-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-9-5p","hsa-mir-181d-5p",2035,17.7669376082012,15.5859405606924,"15.7814372843216","16.7671177724205","16.2524692034377","""""","""""","""""","""""",""""""
2055,"CLN8","hsa-mir-7-5p","hsa-mir-18a-5p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-18a-5p","hsa-mir-7-5p",2055,15.3757979092377,14.883608399678,"15.0694616272352","15.2769726811902","""""","""""","""""","""""","""""",""""""
2194,"FASN","hsa-mir-342-5p","hsa-mir-940",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29483509'>PubMedLink</a>","tarbase","tarbase","hsa-mir-940","hsa-mir-342-5p",2194,18.6116459739445,17.9385655314925,"18.026934311604","16.5555278977839","17.4063012290206","16.6812314014391","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-190a-5p","hsa-mir-1-3p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-1-3p","hsa-mir-190a-5p",2200,14.4646493640876,14.0832897365275,"""""","""""","""""","""""","""""","""""","""""",""""""
2355,"FOSL2","hsa-mir-150-5p","hsa-mir-342-3p",0.002,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-342-3p","hsa-mir-150-5p",2355,15.5740236366636,15.6327890697057,"14.158748504164","15.4280165835882","14.7627816187418","15.5990310447772","""""","""""","""""",""""""
2355,"FOSL2","hsa-mir-495-3p","hsa-mir-939-5p",0.007,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>","tarbase","tarbase","hsa-mir-939-5p","hsa-mir-495-3p",2355,15.5081867851958,15.8746962106805,"15.4280165835882","15.5253820858692","""""","""""","""""","""""","""""",""""""
2935,"GSPT1","hsa-mir-9-3p","hsa-mir-129-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-129-5p","hsa-mir-9-3p",2935,17.8319538025095,18.0554129370916,"17.9925764417659","18.1516375567316","19.025933042707","""""","""""","""""","""""",""""""
2956,"MSH6","hsa-mir-1-3p","hsa-mir-139-5p",0.008,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-139-5p","hsa-mir-1-3p",2956,16.7300150609813,18.9866338834062,"17.9210425712681","17.4409106090145","17.9969250637086","""""","""""","""""","""""",""""""
3157,"HMGCS1","hsa-mir-335-5p","hsa-mir-548s",0.009,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-548s","hsa-mir-335-5p",3157,18.2152798366965,16.2547384169984,"16.3609165684113","15.786582053019","16.1294235450191","""""","""""","""""","""""",""""""
3206,"HOXA10","hsa-mir-7-5p","hsa-mir-320b",0.005,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-320b","hsa-mir-7-5p",3206,8.75136677923003,8.22873807726878,"9.64623248914934","8.68409189784042","""""","""""","""""","""""","""""",""""""
3313,"HSPA9","hsa-mir-339-5p","hsa-mir-129-5p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-129-5p","hsa-mir-339-5p",3313,20.885344729927,19.9952817139785,"20.129331988873","19.7038094300264","""""","""""","""""","""""","""""",""""""
3423,"IDS","hsa-mir-491-5p","hsa-mir-331-3p",0.0065,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-331-3p","hsa-mir-491-5p",3423,17.4796896581532,17.6937986938989,"17.4476055687267","17.2659351674625","17.031597407487","""""","""""","""""","""""",""""""
3480,"IGF1R","hsa-mir-19a-3p","hsa-mir-106a-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24651014'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24931256'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25885794'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26452103'>PubMedLink</a>","tarbase","tarbase","hsa-mir-106a-5p","hsa-mir-19a-3p",3480,14.0188724701563,12.9729790938847,"12.6516383360905","12.3549376786221","15.2980562824028","13.4156988935103","13.7872697459729","13.4981689869868","""""",""""""
