"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40"
182,"JAG1","hsa-mir-199b-5p","hsa-mir-20a-3p",0.002,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.616616794575711,-0.0791039075684187,0.213069228452134,0.319209696656698,0.48295150422856,0.0722336918241492,"hsa-mir-20a-3p","hsa-mir-199b-5p",182,20.5249222145904,21.3392525704233,"19.9639843094762","20.7602819633839","19.7626615578455","20.5706499905034","19.2569590624345","20.6583254502901","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
302,"ANXA2","hsa-mir-1-3p","hsa-mir-92a-1-5p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12845669'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24626613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24668792'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30081903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30081903'>PubMedLink</a>","mirtarbase tarbase","tarbase",8.53727925906969e-05,-0.658507083023619,0.0109265921976787,0.777197916210268,0.445092150649969,0.0751286488006066,"hsa-mir-92a-1-5p","hsa-mir-1-3p",302,21.9382632163254,21.6919943177446,"21.6323482268798","22.9556105413579","21.6637732120431","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-142-5p","hsa-mir-3170",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10419705'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10526265'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10568815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10928132'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10944553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11295092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11570573'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12014632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12202983'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12673692'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12739008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14606066'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14966901'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14966901'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15297940'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15672286'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15971196'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16051426'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16053486'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16490596'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16732330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16827140'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17016592'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17308098'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17308274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17309796'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17498553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17561354'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17912028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18665038'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18704459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19207549'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19302219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19857041'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20389301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21268129'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21537837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21785828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21869822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22150974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22150974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22761904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22919244'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22996377'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23020291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23657608'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23661400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24206575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24206575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24391010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24810640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25151357'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25160749'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25801820'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26561473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26833333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27145270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27721245'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27906434'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123566'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123574'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28325828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28365443'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28578693'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28599478'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28602785'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28818096'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29107111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29673440'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30210237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30484863'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30532557'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30779917'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30887517'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30899002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31444279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31720087'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7630641'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7747810'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7866635'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8415648'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8625145'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8781742'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9458316'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9815619'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9816282'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.183024279196479,0.249835459044566,0.950614276599816,-0.0262616568428794,0.57942770575157,0.0552861618869436,"hsa-mir-3170","hsa-mir-142-5p",595,21.6529247636518,20.9294193879995,"19.70079764406","22.0190224875052","19.8294898360751","22.0421781097562","22.9929541793046","21.8384072997216","23.189470581367","21.0362435441455","20.8011723301153","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
659,"BMPR2","hsa-mir-92a-1-5p","hsa-mir-32-3p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.0109265921976787,0.777197916210268,0.439240945718331,0.315700833676381,0.975878290808439,-0.00318149787867205,"hsa-mir-32-3p","hsa-mir-92a-1-5p",659,18.1178811019433,18.3032205182253,"17.5969670738031","17.4809289138791","18.51993275515","17.4098789504136","18.5699548315498","18.6435954951408","19.0716047825851","18.076727911412","18.4714231350688","18.990806712464","18.1889102301328","19.2449642513479","18.0732394937798","18.7956107124102","18.7074778692826","18.4718542934199","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
667,"DST","hsa-let-7f-5p","hsa-mir-221-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.448637560671287,-0.0869838972190063,0.0490858924173014,0.857387081135056,0.960446404577889,-0.00526418301344141,"hsa-mir-221-5p","hsa-let-7f-5p",667,19.0973545682987,18.6249724016465,"19.1763511246023","17.703710299361","18.7303977582259","18.4878979250895","18.1259111176011","18.4729118094254","17.7799092280546","18.6610809143664","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-378a-3p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.584139996716103,-0.125949945919935,0.176123886184517,-0.181067617885932,0.826909520883101,-0.0211717196324046,"hsa-mir-378a-3p","hsa-mir-125b-2-3p",678,21.0573305535216,20.6865156090908,"20.7795772796571","20.3451942219853","21.1675911482967","22.2554416179582","21.6228935456497","21.2320797621886","20.9156109849401","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-671-5p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.584139996716103,-0.125949945919935,0.17005467722345,0.371223641911052,0.826909520883101,-0.0211717196324046,"hsa-mir-671-5p","hsa-mir-125b-2-3p",678,21.0573305535216,21.9735668910255,"20.3451942219853","21.3080490851209","22.8303691707028","21.1658453355675","20.8812406758027","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
774,"CACNA1B","hsa-mir-335-5p","hsa-mir-3150b-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.146104275413537,0.388963005577453,0.00185513472178015,1.53744137166486,0.673984101547104,0.0579901526757753,"hsa-mir-3150b-3p","hsa-mir-335-5p",774,11.1179681305016,15.631115048014,"15.0415350745497","14.9682288935688","7.74973707584903","-2","15.0462982446686","10.344470581043","16.6440208813846","15.2928680495317","16.7039585459816","13.3861476263698","13.317457605108","14.9691635459821","10.2928585325349","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-1271-5p","hsa-mir-2355-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.153432969428519,0.516641241584676,0.711525672980465,0.0698343229071695,0.717715171476196,-0.0380891413609441,"hsa-mir-2355-5p","hsa-mir-1271-5p",894,18.9006719736845,18.0222221880863,"19.9152563915892","18.4185079065356","17.6997406619504","18.6660030433871","20.8934110916661","18.9633636760858","16.0620839435489","15.7760925092601","19.9312963101807","18.6217744578426","16.9364587957844","18.5524578907331","17.0273508498656","18.7928737738233","18.6337836537599","19.4903041129608","17.689476385188","20.1838960292754","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-33a-3p","hsa-mir-7-1-3p",0.008,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.928037588668743,0.0305053885936759,0.965182642290544,0.00874904021302699,0.717715171476196,-0.0380891413609441,"hsa-mir-7-1-3p","hsa-mir-33a-3p",894,18.0222221880863,18.0850251691077,"16.9133117511731","16.8952948147053","18.7438620044568","18.9587587600842","17.0599914514745","17.5697768325396","17.2352955970046","19.7244179351135","16.783178050767","16.3481174746004","17.498272247448","18.8442806577352","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
