"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40"
182,"JAG1","hsa-mir-199b-5p","hsa-mir-20a-3p",0.002,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.616616794575711,-0.0791039075684187,0.213069228452134,0.319209696656698,0.48295150422856,0.0722336918241492,"hsa-mir-20a-3p","hsa-mir-199b-5p",182,19.4485787693589,17.311909419613,"20.0443498717173","19.3871598394235","19.0018556003577","18.5558685710557","19.8474186292899","19.0240846109341","19.7906709370641","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
302,"ANXA2","hsa-mir-1-3p","hsa-mir-92a-1-5p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12845669'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24626613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24668792'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30081903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30081903'>PubMedLink</a>","mirtarbase tarbase","tarbase",8.53727925906969e-05,-0.658507083023619,0.0109265921976787,0.777197916210268,0.445092150649969,0.0751286488006066,"hsa-mir-92a-1-5p","hsa-mir-1-3p",302,19.97076841065,20.62913324191,"21.1161776695892","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-142-5p","hsa-mir-3170",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10419705'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10526265'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10568815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10928132'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10944553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11295092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11570573'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12014632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12202983'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12673692'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12739008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14606066'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14966901'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14966901'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15297940'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15672286'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15971196'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16051426'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16053486'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16490596'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16732330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16827140'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17016592'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17308098'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17308274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17309796'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17498553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17561354'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17912028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18665038'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18704459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19207549'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19302219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19857041'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20389301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21268129'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21537837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21785828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21869822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22150974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22150974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22761904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22919244'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22996377'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23020291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23657608'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23661400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24206575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24206575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24391010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24810640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25151357'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25160749'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25801820'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26561473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26833333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27145270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27721245'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27906434'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123566'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123574'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28325828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28365443'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28578693'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28599478'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28602785'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28818096'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29107111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29673440'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30210237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30484863'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30532557'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30779917'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30887517'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30899002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31444279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31720087'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7630641'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7747810'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7866635'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8415648'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8625145'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8781742'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9458316'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9815619'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9816282'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.183024279196479,0.249835459044566,0.950614276599816,-0.0262616568428794,0.57942770575157,0.0552861618869436,"hsa-mir-3170","hsa-mir-142-5p",595,19.3255202269,20.3651561840131,"19.7899050960587","19.7730183206433","19.4684893792631","22.1734666619997","19.7398969779419","20.3417693117172","18.894217584982","19.6057997761466","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
659,"BMPR2","hsa-mir-92a-1-5p","hsa-mir-32-3p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.0109265921976787,0.777197916210268,0.439240945718331,0.315700833676381,0.975878290808439,-0.00318149787867205,"hsa-mir-32-3p","hsa-mir-92a-1-5p",659,18.6814813603756,18.0293047151876,"17.8220443115839","17.4239996666224","18.1014804272854","16.8371511267507","16.7347012181723","18.66543204293","17.3901558584693","18.3054111612545","17.4914806165563","16.7136135840945","16.9215504516522","16.8742182835941","16.8504334773609","17.6241519448039","17.1442735097623","20.1409983390944","17.4316320261057","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
667,"DST","hsa-let-7f-5p","hsa-mir-221-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.448637560671287,-0.0869838972190063,0.0490858924173014,0.857387081135056,0.960446404577889,-0.00526418301344141,"hsa-mir-221-5p","hsa-let-7f-5p",667,16.8870013406635,17.5059723235689,"14.6944841269773","16.0828136354246","17.8065496794111","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-378a-3p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.584139996716103,-0.125949945919935,0.176123886184517,-0.181067617885932,0.826909520883101,-0.0211717196324046,"hsa-mir-378a-3p","hsa-mir-125b-2-3p",678,21.3632662163918,21.5395843527435,"20.9041423824708","19.7014686579544","19.4706313727062","19.787110343477","19.4591545309843","19.7564904399035","19.8732537154463","19.9716799805197","19.3759418348064","20.1329958737776","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-671-5p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.584139996716103,-0.125949945919935,0.17005467722345,0.371223641911052,0.826909520883101,-0.0211717196324046,"hsa-mir-671-5p","hsa-mir-125b-2-3p",678,19.5928000995977,21.1829474251321,"19.7014686579544","19.9134794594828","20.8300996608078","19.4706313727062","19.787110343477","20.6503174886548","19.3759418348064","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
774,"CACNA1B","hsa-mir-335-5p","hsa-mir-3150b-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.146104275413537,0.388963005577453,0.00185513472178015,1.53744137166486,0.673984101547104,0.0579901526757753,"hsa-mir-3150b-3p","hsa-mir-335-5p",774,8.13315094680708,8.21948619438246,"13.7860826266693","8.90220371614414","8.1808059102906","10.7342298234383","8.26760413732526","8.60364147494301","6.98717807742279","11.3915123747773","13.2195866280402","7.54740286367863","7.85842074037612","4.83806223443554","14.1849636978606","12.8444448093096","13.7536953976718","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-1271-5p","hsa-mir-2355-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.153432969428519,0.516641241584676,0.711525672980465,0.0698343229071695,0.717715171476196,-0.0380891413609441,"hsa-mir-2355-5p","hsa-mir-1271-5p",894,18.5053267619258,16.3856284595712,"16.9324539563915","15.6288239367593","19.0813063226434","15.0842564053549","18.064544260807","15.7449124696795","16.3929512859388","15.6379452833849","15.8713465368834","17.6252857406473","16.0080385180432","15.851819769007","17.0520876275051","19.0462722989536","17.8851676310727","15.1615472073351","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-33a-3p","hsa-mir-7-1-3p",0.008,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.928037588668743,0.0305053885936759,0.965182642290544,0.00874904021302699,0.717715171476196,-0.0380891413609441,"hsa-mir-7-1-3p","hsa-mir-33a-3p",894,15.9425798752373,14.3481064093538,"18.6660030433871","16.0123140671283","14.8397496755757","16.0620839435489","16.9364587957844","17.0273508498656","16.5881449371586","17.7940199312709","15.851819769007","20.4515677867574","14.7948830443234","20.1682123030592","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1073,"CFL2","hsa-let-7f-5p","hsa-mir-19a-3p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.448637560671287,-0.0869838972190063,0.321989538623403,0.182199266719142,0.629259661541474,-0.0530894750642791,"hsa-mir-19a-3p","hsa-let-7f-5p",1073,15.6052314138232,15.4070879694792,"15.7612177060412","15.8091425003353","16.533789045721","15.5643740496936","14.419700583736","16.3884879941059","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
