"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72","_c73","_c74","_c75","_c76","_c77","_c78","_c79","_c80","_c81","_c82","_c83","_c84","_c85","_c86","_c87","_c88","_c89","_c90","_c91","_c92","_c93","_c94","_c95","_c96","_c97","_c98","_c99","_c100","_c101","_c102"
360,"AQP3","hsa-mir-20a-3p","hsa-mir-196a-5p",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25450461'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26794461'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30110699'>PubMedLink</a>","tarbase","tarbase",0.0976570481674786,-0.418445970665069,0.0175405999889321,-0.278613691934985,0.00472477874598452,-0.132735724118432,"hsa-mir-196a-5p","hsa-mir-20a-3p",360,22.6046811212092,20.3131245419048,22.2532566335132,"22.5505820833804","19.7915455709734","23.878536922634","24.1132199354041","24.4111970693709","25.6049090892352","22.9437297108717","24.4836681959806","19.8881927653029","24.2647655807521","24.5717933006859","22.851047310548","18.6687298876875","19.4111029812424","22.0056058302951","19.981550982915","25.1613601267867","23.2790368044567","21.881506043591","23.4487495871076","23.3456869000166","20.7972886311037","21.0964477380406","23.9641375569779","23.5105082461617","20.1498599380811","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
388,"RHOB","hsa-mir-23c","hsa-mir-30c-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.0843859613030757,-0.599833091822472,0.689710380560104,0.0413593060431594,0.718287903802605,-0.0177068612634755,"hsa-mir-30c-5p","hsa-mir-23c",388,22.7739211071113,22.2319574366737,21.3024472995405,"21.8566671277952","20.8848132620545","21.2425078466543","21.4463929004734","23.6968658344367","19.7477324957217","20.5722120396315","21.6052161101421","21.2747842122639","21.7730511621675","20.7421974477445","21.5447941296531","20.5594196609404","22.7235047534323","22.8655419311615","23.776051538919","21.8170148746425","21.5937842588541","19.8452809498791","22.1147474887545","22.9961030163612","20.5150456404275","20.6158955863285","22.553470378657","19.364372509752","21.3421754829945","23.0193673748107","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1000,"CDH2","hsa-mir-196a-5p","hsa-mir-582-5p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26040981'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27149165'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454316'>PubMedLink</a>","tarbase","tarbase",0.0175405999889321,-0.278613691934985,7.16112192490361e-06,0.73467379058701,0.411874189915296,0.0516564327574781,"hsa-mir-582-5p","hsa-mir-196a-5p",1000,12.8685265853717,13.2266519574927,11.7678179496523,"19.1424004564841","16.6631782326648","11.8478657913999","15.3862643517232","12.6553124314325","14.9278063117102","13.8627296658197","11.7035795507193","14.1854560127328","15.4013910959047","9.93713231596734","12.6379835821134","16.2412550248478","14.5820043249627","13.2626268951121","13.59895333915","13.7650798658759","9.80308871131993","16.0540778509905","14.4708197698816","10.756726564012","12.7232337110759","15.307250582777","13.4610968364207","12.7614187075612","14.5743062794108","16.6575265926808","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-320b","hsa-let-7c-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24647829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25755767'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27507850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29464035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30380421'>PubMedLink</a>","tarbase","tarbase",0.0320871557264656,-0.508410940691625,0.487379338998123,-0.070238805081537,0.148695935665129,0.0790524829820619,"hsa-let-7c-5p","hsa-mir-320b",1021,17.5368108462517,16.6137512744392,18.3504135965839,"18.058355897371","18.0806455075193","19.4004584408818","17.3404678005081","17.756654469018","17.9410596978101","19.0888739637652","16.3835612488816","19.5931945851472","17.9335940717489","16.5537077625546","18.1620441082443","17.1395307070556","18.2170953096951","18.4675983113571","19.210019606349","18.9715077393669","18.1885707847862","17.9122309175197","17.3332114474451","20.0070978552835","18.42327492034","17.0007314757613","18.9441521422582","16.3905126004894","17.9234747481891","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1191,"CLU","hsa-mir-27a-5p","hsa-mir-20a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24327270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26716898'>PubMedLink</a>","tarbase","tarbase",1.36136921326934e-05,-0.980575248883739,0.52644039376038,0.0790035557734634,2.06195053344879e-05,-0.214813812479908,"hsa-mir-20a-5p","hsa-mir-27a-5p",1191,18.5100661386294,19.7809051972833,22.1867461707515,"17.8160254675033","17.685159604859","16.228002265504","18.0385392357886","17.1392141836468","18.9408016583642","17.7797107420378","20.3076858503155","16.5569111060206","21.8552916470309","17.1671864374979","20.645230205068","19.1817741437445","19.3166523229305","16.6371782626469","20.3501131180892","17.4105000788059","21.550137063324","20.8967493363554","21.1410480249758","19.9620367580144","17.6661110680023","20.6696859620167","16.5182092720873","18.9693783593524","20.8385060762115","17.3871919074709","19.5545859828016","18.4124848827848","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1281,"COL3A1","hsa-mir-455-3p","hsa-mir-378a-3p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase",1.36219972318397e-07,-0.671232369724789,0.439431599149385,0.0930251970173741,3.71111249570678e-05,0.20523363277368,"hsa-mir-378a-3p","hsa-mir-455-3p",1281,24.9067945943817,22.3233512415327,22.6011841044718,"24.7664560555006","25.8250993759574","25.3913113340805","23.7500306830988","21.3553253172375","24.8855899831415","24.5762579084008","24.115916453518","22.6418194442702","24.4365872391446","23.7927217214117","21.4382352682269","19.7953857389421","21.6452200689315","22.1132623677846","25.0959480251584","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1373,"CPS1","hsa-mir-106a-5p","hsa-mir-582-5p",0.006,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.0292168360672743,-0.369485019756277,7.16112192490361e-06,0.73467379058701,0.0296526876104762,-0.135370130992789,"hsa-mir-582-5p","hsa-mir-106a-5p",1373,14.0307379109176,12.4901975793071,10.3520163800875,"13.8810128291326","12.6036227446556","11.142067700128","12.2253460517186","10.8299032828433","13.2303206583091","14.4845683129304","11.980240229879","11.922690006608","11.2115738421684","11.7255308153361","13.6123023518239","13.3231582089182","11.7713014310828","10.4608204023699","11.3884029157219","12.4395073466402","9.75668552037046","14.6144923089822","14.3740263551593","10.1635763191203","14.9382943876784","9.35966830835259","13.604200588606","12.8044263886473","11.1797068534262","14.2835294875451","13.3902242276426","12.2526509515774","14.7030846024764","14.5866833496776","14.2910858788023","14.4857476597556","7.99411237895054","10.7524768114673","12.4704747408417","9.910057502558","13.1894527170256","9.97889237436956","10.9381391518367","10.895886235915","11.7451501478766","12.1452584292683","14.5386849025449","12.385570094672","14.4723052932577","11.589485598092","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2020,"EN2","hsa-mir-203a-3p","hsa-mir-494-3p",0.0085,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28982387'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/30381030'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.190509641640438,-0.139902045805269,0.0150102243787244,-1.06143823219495,6.13275243366261e-08,0.367473030749822,"hsa-mir-494-3p","hsa-mir-203a-3p",2020,13.9955914562475,13.8057910183127,10.8049538821597,"15.0583841023241","13.4118971349882","11.4866388157209","14.0505916088486","15.4264051170752","15.9272647833597","12.9323859890463","15.94372246725","15.7704263392345","14.9967820677951","17.129533871379","16.8284956347543","7.95726457865598","13.3665352695973","15.0102664729639","14.9056639495843","11.7745872424031","14.8648232089643","14.5049401560697","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2069,"EREG","hsa-mir-29b-3p","hsa-mir-20a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30302873'>PubMedLink</a>","mirtarbase","mirtarbase",0.0382074916989863,0.222998536779986,0.52644039376038,0.0790035557734634,0.0749887410652609,-0.100238482874822,"hsa-mir-20a-5p","hsa-mir-29b-3p",2069,20.0674225022029,17.9129251494049,16.162300796423,"17.7419503386155","18.3572223225348","15.0159801766641","19.6249399237936","12.9387857009818","16.2962532386692","16.8869009462534","18.0855293040241","13.1125702542452","18.4868224431404","20.0075512519886","14.9335092024671","14.2045114049384","15.7981036332246","9.27947264472296","18.522386208909","11.3656460102747","16.3999716001082","17.2827185661762","17.6220784506396","18.3189349084491","16.9159216386175","18.3148028469208","14.8675334563157","14.9980432528873","16.1121732153025","14.9287266943006","19.1390734028827","17.0574741384243","7.54083647461649","12.6737753353418","12.8349375012255","16.0446680143537","16.3451605105124","15.5883783454319","18.3785714793915","16.1950222804852","16.162570837927","17.9715188843417","17.6063487281784","14.1658451740422","11.504742822549","15.7374542413634","18.2751353530686","18.5092179297931","17.2477583268603","15.6807759664891","15.5026937406274","14.8936629848149","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2201,"FBN2","hsa-mir-19a-3p","hsa-mir-2355-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.284727786973506,-0.200597541212287,0.109339135455735,0.248603082438776,1.83383377916234e-06,0.297551714194751,"hsa-mir-2355-5p","hsa-mir-19a-3p",2201,10.387405005311,12.6981293789816,14.9356525771442,"10.8148614575352","17.8655599641365","16.195984661318","16.029738669637","15.6428380928462","17.4611647506101","17.6039874326548","19.7645993836297","12.9975982867337","17.2841672410354","17.4363526956987","13.4924139749974","16.010322197876","13.6182198637309","16.236435019375","10.5591544726297","16.6037531928461","12.9687817037602","14.5616545194447","17.9703623932054","12.5555120536153","15.4945776315284","20.1294368492096","15.3651581699421","15.8209807340433","15.4886671444599","17.5317767134224","13.5768999537995","11.9307463109725","17.4302213266778","16.2021913735318","16.6981872108024","17.052678355596","16.4335087076565","19.0457917784109","17.8095503942403","12.9999579357197","12.7456139017779","14.6151503828537","12.3471125418865","17.8938560958939","14.3466248336846","16.5309810308669","13.6836583902675","16.5571013149313","17.3298963688165","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
