"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16"
36,"ACADSB","hsa-mir-15b-3p","hsa-mir-215-5p",0.0015,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0156366640122253,0.40903925918714,0.00274283123267962,-0.544276173485431,0.426316793476317,-0.0633063593304184,"hsa-mir-215-5p","hsa-mir-15b-3p",36,17.4358262500812,19.2101811368949,"18.3956511645645","19.9715543696326","19.0664000934108","17.341249641206","20.2510530476098","19.1625998209454","18.7560834646634","20.7090533879304","""""","""""","""""",""""""
36,"ACADSB","hsa-mir-15b-3p","hsa-mir-9-5p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0156366640122253,0.40903925918714,0.00487172866555441,-0.311555474503904,0.426316793476317,-0.0633063593304184,"hsa-mir-9-5p","hsa-mir-15b-3p",36,19.9715543696326,19.0664000934108,"19.8255966849741","20.2510530476098","20.7090533879304","17.3948118207546","""""","""""","""""","""""","""""","""""","""""",""""""
153,"ADRB1","hsa-mir-141-5p","hsa-mir-363-3p",0.0035,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.00112279725588573,0.400269372156654,0.0031598017131187,-0.482984128023688,0.202482218022358,0.11358859656318,"hsa-mir-363-3p","hsa-mir-141-5p",153,20.7563155519337,17.5793492264264,"18.8630209892347","17.7911895558982","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
153,"ADRB1","hsa-mir-363-3p","hsa-mir-654-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.0031598017131187,-0.482984128023688,4.25415244200225e-06,-0.920777028026195,0.202482218022358,0.11358859656318,"hsa-mir-654-3p","hsa-mir-363-3p",153,16.8368397081099,17.5793492264264,"14.9104568335749","17.520538350562","14.1092087326718","17.7911895558982","""""","""""","""""","""""","""""","""""","""""",""""""
351,"APP","hsa-mir-570-3p","hsa-mir-135a-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.225102164603993,0.432684153846797,4.62145352083672e-06,-1.06287356965796,0.622022581169433,-0.0353562311975377,"hsa-mir-135a-5p","hsa-mir-570-3p",351,23.1399230494598,22.6430883385166,"23.382478347773","23.316670305576","23.5852386117057","""""","""""","""""","""""","""""","""""","""""","""""",""""""
394,"ARHGAP5","hsa-mir-212-3p","hsa-mir-493-5p",0.0055,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.00198920466897351,-0.676292879508713,9.87484665678077e-05,-1.0303630246589,0.452773732118896,0.0602133636030896,"hsa-mir-493-5p","hsa-mir-212-3p",394,18.8328860373028,18.371757225851,"19.2144148793452","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
463,"ZFHX3","hsa-mir-20b-5p","hsa-mir-204-5p",0,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>",NA,NA,"tarbase","mirtarbase",0.15270823885516,-0.208113811789293,1.66648719744921e-17,-1.27818300980535,0.437654735916615,0.0663992120103793,"hsa-mir-204-5p","hsa-mir-20b-5p",463,16.671321645348,15.6412855995047,"17.1369842602935","16.8849621942516","16.9828212141525","16.1055312407525","16.7329470057141","16.7871730890627","""""","""""","""""","""""","""""",""""""
476,"ATP1A1","hsa-mir-511-5p","hsa-mir-193b-3p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28484360'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28484360'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30015972'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.255012865235525,-0.260028094385711,0.278501614684647,0.160208853100491,0.499627452253121,-0.0480321266205083,"hsa-mir-193b-3p","hsa-mir-511-5p",476,23.3806163011058,23.5520021309364,"23.0733711636637","22.0626791895429","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
538,"ATP7A","hsa-mir-34a-5p","hsa-mir-335-5p",0.004,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.440730082467716,0.102563025348855,9.14371672772996e-10,-1.35157373194338,0.157713354629557,0.119016836485756,"hsa-mir-335-5p","hsa-mir-34a-5p",538,18.0820752243852,18.4484435935607,"18.5363438708283","16.7264580700971","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
596,"BCL2","hsa-mir-181d-5p","hsa-mir-34a-5p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10101681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11351249'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12017273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12796377'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12941126'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14710230'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15188008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15357873'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15756350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15826766'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15985079'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16643620'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17541305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19380190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20037166'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20208132'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22398398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22591748'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23469687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25833690'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26406868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27483435'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27554585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27779645'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28449664'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28464919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29731840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31031856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8621251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9042262'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.00174788597184081,-0.575019966337691,0.440730082467716,0.102563025348855,0.246541891257945,0.0944136976953861,"hsa-mir-34a-5p","hsa-mir-181d-5p",596,17.8216119408877,18.4595104265552,"18.1490622949059","18.9667388317484","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
