"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72","_c73","_c74","_c75","_c76","_c77","_c78","_c79","_c80","_c81","_c82","_c83","_c84","_c85","_c86","_c87","_c88","_c89","_c90","_c91","_c92","_c93"
528,"ATP6V1C1","hsa-mir-30a-5p","hsa-mir-335-3p",0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26589417'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/27574447'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/34113402'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","tarbase",0.804283539,0.050343415,0.870928857,-0.027926504,0.32025489,0.06685071,"hsa-mir-335-3p","hsa-mir-30a-5p",528,18.5760145536697,17.9620072414269,18.4453330023576,18.4281472979608,"18.2878899641985","18.6008907862747","18.5687682309805","18.7332179887233","18.6925910417349","18.1890279724687","18.3286452731711","17.9796027292425","18.2783559021363","17.9872708393564","17.6961097357932","18.5414464642292","17.912616236829","18.3233593966844","18.5069555967798","17.7265097667044","19.02199398967","17.9104918238897","18.3146069182075","17.4946687761091","18.2648720023474","17.6798314025514","19.3357269270478","17.5775225407385","18.4899619143976","18.1191627521082","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
547,"KIF1A","hsa-mir-548b-3p","hsa-mir-744-3p",0.005,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30671469'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.013257122,0.558736317,0.136569908,-0.253721002,0.39916548,-0.0829561,"hsa-mir-744-3p","hsa-mir-548b-3p",547,9.75687036970738,12.235140250731,10.4796815598636,10.0886500398242,"10.512961750432","7.92425458409094","7.38240504687192","12.4862657566172","8.237624894964","11.4324977255747","14.3319362043967","8.69456797923101","10.3960869252175","9.59053431764297","9.57195895618414","5.40464660855399","9.56877537265127","6.46918485960241","11.0692633454557","8.17799333572328","7.64968429644842","11.8504531297195","9.54538203911192","7.85740752683305","5.59156685844342","13.5774052089631","8.9553274689484","-2","9.52250620591947","7.26363373140472","6.09891231733681","15.2310839608008","11.6661262662922","11.7674061285747","8.53636424658321","7.03676609647954","8.81813260959675","7.85363086825227","12.4880310215589","9.32394189774829","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-7-5p","hsa-mir-1-3p",0.0075,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30962696'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10385644'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11368878'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11406552'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11408803'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11813305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11906173'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12029619'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12375019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12601350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12692418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12845670'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12960127'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14687479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15026472'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15706412'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15991281'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16940298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17587243'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18059167'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18350604'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19009649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19411833'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19885547'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19919837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20332458'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20347627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20512928'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21327578'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21397858'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21691299'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21878637'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22249261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22292081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22292081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22429965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22472110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22649188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22942238'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23221382'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23462179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23613111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23740840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23812424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24008375'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24083596'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24570185'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25015194'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25109821'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25280563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25313882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25822088'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25851350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26125710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26189965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26359353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26361959'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26500057'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26530887'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26882953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27062697'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27351279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27448450'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27596272'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27697092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28182015'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28292020'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28330473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28368741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28378640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28791413'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28885717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29328502'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29441724'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29895195'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29949741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29970717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30201494'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30509085'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30646811'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30698907'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30810974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30930425'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31168049'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31340767'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31667787'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31747859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8205525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8240318'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9302564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9722210'>PubMedLink</a>","tarbase","mirtarbase tarbase",5.84e-05,1.191142718,0.179942908,0.35509983,0.32015365,-0.0640341,"hsa-mir-1-3p","hsa-mir-7-5p",595,16.8271301683154,18.8304883732111,20.2379752028001,20.288916443798,"20.7985641363677","17.2367888438366","16.7091186057833","18.0821332775796","19.4213055966468","18.7622710235928","19.6392734269125","20.4976855694489","19.5690657274526","19.9536103043241","19.0623140330565","20.3346834042074","16.9429617294013","18.9493494081806","19.21381064666","16.9765755597711","16.4136041765759","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
687,"KLF9","hsa-mir-146b-5p","hsa-mir-129-5p",0.0085,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28404923'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25912876'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/24173774'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25242357'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25652467'>PubMedLink</a>","tarbase","tarbase",6.66e-06,1.333221497,0.000664,0.989197233,0.18066737,-0.0865467,"hsa-mir-129-5p","hsa-mir-146b-5p",687,19.5169899326362,15.9701339822915,16.5880395111927,18.1299340653345,"18.4450058178828","18.6111228456826","15.1339559014105","17.1791903530861","18.1407006089637","19.4942081367134","19.7099251679906","20.1387597355429","20.2356472489755","17.9811158154624","18.3112207041987","20.4284025325289","20.0540338932802","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
957,"ENTPD5","hsa-mir-654-5p","hsa-mir-146a-5p",0.0095,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28396836'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.759306739,0.061698239,0.813599104,0.053071916,0.21338646,-0.080638,"hsa-mir-146a-5p","hsa-mir-654-5p",957,18.7503871307055,19.3284818099968,20.5449988216677,18.4623189090539,"18.4497417398773","18.3943101568748","19.2849060871179","15.0180321443092","17.6237580054715","18.452963949963","19.2072875924501","20.31441862358","19.6265516258933","19.1254271504016","19.9060165366167","19.6717228465443","19.4993977027294","18.7958240694416","18.3557087421962","18.7181311759646","17.736224208452","17.156879538179","19.7041481271768","16.9858951034353","19.4544664407923","19.8833311187284","18.8674133792933","19.6702931094474","18.9269737638393","19.3180572198999","19.7494274896425","16.9250415688359","20.1399870088885","18.0791056072388","17.3135463654648","18.1296270145843","17.901608270229","17.3830535779714","19.6575665016428","17.981612859189","18.3020517049376","17.4133451348251","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
993,"CDC25A","hsa-mir-874-3p","hsa-mir-22-5p",5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28076852'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12738732'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12738732'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15534860'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18204780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18204780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22705122'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25909324'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26647881'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27644634'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28333141'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31293973'>PubMedLink</a>","tarbase","tarbase",0.033462237,-0.434470013,0.007181203,-0.43871847,0.02575417,0.17335118,"hsa-mir-22-5p","hsa-mir-874-3p",993,15.6735369800747,12.4097341308189,13.8025375223898,16.8643937622721,"17.7838162600309","13.3613977462288","12.9916497939232","14.6276707627565","12.3017483455049","15.6060221075834","16.0736470524597","14.6653156389489","13.155627596519","12.2534243717009","13.9423482788303","14.0720987618083","15.091838359201","12.8932822917416","13.7104038974697","12.9400616991534","11.6973285916019","11.5853989392773","14.9600648722723","15.8048872599342","12.9506564785749","13.0974211713992","13.0016204570555","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-224-3p","hsa-mir-548v",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15349907'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18350604'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21499307'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22429965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23894465'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26498144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27490780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30123094'>PubMedLink</a>","tarbase","mirtarbase",1.89e-07,1.558984129,0.465161718,0.147070269,0.95733154,-0.0038199,"hsa-mir-548v","hsa-mir-224-3p",1021,13.933757976587,11.490923820901,13.5636652141501,12.2754780905043,"15.6690655069704","12.6043394524087","15.8673507742552","15.8058267462593","17.11597047873","16.26245176734","15.8529971143313","12.7443706695626","16.2500662458392","16.319041313374","11.7475423492827","16.7148756524635","14.2071761077753","11.9263831006694","14.7453492225551","15.3908659029251","15.4763522507846","15.2447982494271","15.7138847159646","13.8637398330707","16.4504311499013","15.7174435563194","15.7719884834632","16.6054519796816","16.7177522652871","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-299-5p","hsa-mir-301b-3p",0.006,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30266288'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31207037'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10094816'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10883667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10918595'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11521219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11595124'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11906173'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12107653'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12217602'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12244568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12531694'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12531694'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12833133'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14642618'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14759525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14767984'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15201954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15201954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15666088'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15761978'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15800978'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16112786'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865289'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17211849'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17239344'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17617120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19414386'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19435914'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19465904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19533683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21666704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21890460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22909100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23537372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23542179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24885363'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25280563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25633810'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26165647'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26676829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26725321'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27154519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27698442'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28471446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28716731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29383172'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29408622'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29484736'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29795057'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30585632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8824564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9022146'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.000187,-0.737788396,5.31e-06,1.30607749,0.7133501,-0.023077,"hsa-mir-301b-3p","hsa-mir-299-5p",1026,20.3962979333466,20.8015470440286,19.5516950631699,18.6444918696695,"19.5418501793101","19.1439751648557","20.1722492390966","19.2522325623214","19.194549945513","19.4619003844444","16.6525233473942","18.8112330566254","19.5030329653412","20.8055072504229","19.8504245062599","20.4805779717518","20.9074560026247","17.5320751662658","17.6550208976719","17.4096863417997","16.2543387995754","18.4680996844457","20.66704699581","19.1692997873743","19.4677854127301","17.778887404313","18.178546797012","17.8745194072443","20.3039466894251","22.0534334688745","20.1309828716305","16.6698234914968","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1282,"COL4A1","hsa-mir-146b-5p","hsa-mir-224-5p",0.001,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28404923'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/26231037'>PubMedLink</a>",NA,"tarbase","tarbase",6.66e-06,1.333221497,3.97e-13,2.783518407,0.03156773,0.14234321,"hsa-mir-224-5p","hsa-mir-146b-5p",1282,18.8239054877612,19.8611612588945,18.894124476032,20.2729340087978,"18.3199092808563","18.5413115297669","20.3974610980379","19.6958760508332","20.3850428661015","20.0781276198289","19.1387455567943","19.1758955568556","18.6421375681902","16.0135401364288","19.137155832426","19.5260620668095","18.1827101367326","17.5601236935931","17.9837728603945","19.6462917547457","17.7474049562151","17.6006208568669","19.1403476084492","17.3153930922311","20.0034746569062","19.5727213578141","19.1692945145508","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1545,"CYP1B1","hsa-mir-377-3p","hsa-mir-222-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19064581'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24614526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25796598'>PubMedLink</a>","tarbase","tarbase",0.020329443,-0.591237408,0.006366772,0.481125384,0.86084158,0.01253395,"hsa-mir-222-5p","hsa-mir-377-3p",1545,15.5206882173891,16.7739376835239,13.6147965813274,15.6622157293684,"16.1444688163404","14.499940316329","11.7412069705118","13.573071372703","13.0683683463441","14.4195329018705","14.737109077816","14.2570856786944","13.3347165995328","17.0165517089512","13.1381258258397","16.8088281847645","14.0432200886548","17.8161993478449","13.4417387558074","15.620236180088","10.6775814347626","10.7820545159736","15.434376605915","17.3096041366147","15.8086932214381","15.2263996687784","17.4429199134916","12.2023079278138","14.2010474706387","14.316745330304","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
