"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72","_c73","_c74","_c75","_c76","_c77","_c78","_c79","_c80","_c81","_c82","_c83","_c84","_c85","_c86","_c87","_c88","_c89","_c90","_c91","_c92","_c93","_c94","_c95","_c96","_c97","_c98","_c99","_c100","_c101","_c102"
19,"ABCA1","hsa-mir-33a-3p","hsa-mir-106a-5p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17133272'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21159167'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31795847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8638091'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.27633165893703,0.214600724414561,0.00036392976554495,0.4778599928506,0.0987344196417726,-0.0787815498971332,"hsa-mir-106a-5p","hsa-mir-33a-3p",19,15.8024636230387,15.1953620146955,"14.3460455007106","16.2304987562307","14.6026055554436","15.2341829101571","15.6688328546784","17.1268526685657","16.0987800543233","14.464735470903","16.0450319978279","16.340088287177","15.6437775145808","17.6504064734814","15.5952712112015","14.7163576961645","14.9819004379596","15.9590447729345","18.1997846449221","15.8940246685733","14.2493799931534","16.6385549477403","18.2873679114572","15.1651580237951","15.1976531725096","17.509013613382","16.2317611035795","17.6757312888842","15.1629987291559","16.778671660343","17.1708791628876","16.133440781447","13.9388069042245","16.3146023805702","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
240,"ALOX5","hsa-let-7f-5p","hsa-mir-19a-3p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18976020'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29901268'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30258081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30258081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30941737'>PubMedLink</a>","tarbase","mirtarbase",0.00019080756298252,-0.22434770279065,2.06856521144369e-06,0.593274508550163,0.00047106984568596,-0.1581935770646,"hsa-mir-19a-3p","hsa-let-7f-5p",240,17.2778322356916,16.9227416317506,"15.8827083907227","15.1496826766339","16.6058764876813","16.376560579086","17.4626805731838","16.9442532961084","18.8947890634712","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
332,"BIRC5","hsa-mir-203a-3p","hsa-mir-3940-3p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12168867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15112339'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15829320'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15981204'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16382892'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16671090'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16826583'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17254769'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17693049'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18032822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18401527'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18630507'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21861135'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23232114'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26432044'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28368399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29744296'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31093306'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31093306'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31508486'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31508486'>PubMedLink</a>
