"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
27,"ABL2","hsa-mir-95-3p","hsa-mir-200a-3p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25379720'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31825826'>PubMedLink</a>","tarbase","tarbase","hsa-mir-200a-3p","hsa-mir-95-3p",27,15.5167326073315,15.8059157338924,"16.3511387473121","16.3115087492038","15.8857907831337","15.891255619447","16.1302302695071","15.6236232136898","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
125,"ADH1B","hsa-mir-34b-3p","hsa-mir-223-5p",0.0035,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29615147'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/28236470'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29808834'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-223-5p","hsa-mir-34b-3p",125,13.2586040877791,12.6792528886496,"18.4521494557174","13.4917763346835","13.3425427347371","16.4669631045666","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
330,"BIRC3","hsa-mir-196b-5p","hsa-mir-582-5p",0.002,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30536321'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31170211'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12384799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12651874'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15138717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20959404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22046421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26291056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31766357'>PubMedLink</a>","tarbase","tarbase","hsa-mir-582-5p","hsa-mir-196b-5p",330,16.9398828952979,17.1955817817208,"16.4926933532884","16.3419834434895","16.5989729030522","19.3027287004267","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
571,"BACH1","hsa-mir-188-3p","hsa-mir-497-5p",0.0055,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31257023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257027'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257029'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-497-5p","hsa-mir-188-3p",571,16.6516382865931,16.519772118255,"16.553560990669","16.6040473109283","17.5940278793953","16.3521598093626","17.4954438333102","16.3163584328139","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-542-3p","hsa-mir-20b-5p",0.0075,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28866101'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31289482'>PubMedLink</a>","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","tarbase","tarbase","hsa-mir-20b-5p","hsa-mir-542-3p",894,19.0935601018633,17.5044119584492,"14.5784893276436","18.4877716898679","17.8129797271088","16.9098397763657","17.0074560063397","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-96-5p","hsa-mir-582-3p",0.0025,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-582-3p","hsa-mir-96-5p",894,18.8498800005819,17.9954934448895,"15.5614640449004","17.8129797271088","15.627579287609","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1073,"CFL2","hsa-mir-940","hsa-mir-200a-3p",0.0085,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31258781'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase","hsa-mir-200a-3p","hsa-mir-940",1073,15.7164627313739,16.1406241108566,"16.8801241871376","15.9946817911162","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1277,"COL1A1","hsa-mir-378a-5p","hsa-mir-539-5p",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29568927'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30604926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30732676'>PubMedLink</a>","tarbase","tarbase","hsa-mir-539-5p","hsa-mir-378a-5p",1277,22.4128133326536,23.4107387485467,"22.6791522831962","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1289,"COL5A1","hsa-mir-9-5p","hsa-mir-32-3p",0.008,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29239816'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29702185'>PubMedLink</a>","tarbase","tarbase","hsa-mir-32-3p","hsa-mir-9-5p",1289,20.6636921588496,20.0910085898222,"21.4269108483307","18.5563539480773","19.4357689613709","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1300,"COL10A1","hsa-mir-335-5p","hsa-mir-29c-3p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19949890'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30442874'>PubMedLink</a>","mirtarbase tarbase","mirtarbase","hsa-mir-29c-3p","hsa-mir-335-5p",1300,15.8181072953162,13.9538614618877,"13.7690822267824","11.2357611572481","17.2880399080984","15.5835114769241","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
