"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72"
518,"ATP5MC3","hsa-mir-409-3p","hsa-mir-424-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24591819'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/29151939'>PubMedLink</a>",NA,"mirtarbase","mirtarbase tarbase","hsa-mir-424-5p","hsa-mir-409-3p",518,19.8117364171466,20.0881332278292,20.6466791410439,19.1799593982788,20.0659345061894,"19.1855506575238","21.0274618478253","19.8423751470725","19.6125704567058","19.8104106865889","19.950185852325","21.1607881917285","19.3535893205567","18.7609657692825","20.2705486713712","20.1909053850535","20.046128919757","19.4701886348134","20.3430696810188","20.8628197374341","20.3810942089542","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-338-3p","hsa-mir-17-5p",0.0075,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10329035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10584879'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11395387'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15297421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15545188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23907459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24018808'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24858206'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28598010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30409964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30414739'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8607831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9038263'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9790790'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase","hsa-mir-17-5p","hsa-mir-338-3p",595,19.2247082269596,17.1559081842557,19.7944564099278,19.9697880787484,20.6869671409138,"19.7509912589299","18.7415546143162","20.3161425501592","21.617845195642","19.4797357761576","17.0247881312399","16.7495328308971","21.0020852773047","18.0179266288092","20.1966854639873","19.645719665103","19.7887331022828","18.4145233516019","18.2817599636497","19.8759903876404","19.2650621174722","20.6747011730141","20.6691879010528","21.7256842995904","20.8329605374142","20.4758032674715","15.3797291732795","21.3420336817352","19.262494789522","20.6590445057169","20.3713605442317","21.2338216986976","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
773,"CACNA1A","hsa-mir-605-5p","hsa-mir-221-5p",0.005,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-221-5p","hsa-mir-605-5p",773,13.3210360119985,15.4061404179774,14.2839058355091,18.2222007044507,15.0044934630084,"16.1557952474261","16.0561542183558","15.1010975080264","12.9875657536318","13.0698600827532","15.267166430477","14.6542488727656","17.875816362914","15.3270408296237","14.0607949476908","15.6214659586066","15.8248235313093","15.2439826788831","14.2788332242106","14.4315450917791","17.3331209683427","14.757404526126","13.9737382820469","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
800,"CALD1","hsa-mir-17-5p","hsa-mir-98-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>",NA,NA,"tarbase","tarbase","hsa-mir-98-5p","hsa-mir-17-5p",800,20.000671980364,19.6713054429941,17.368285849283,19.1239469778852,19.1170960542102,"20.4425119835044","18.5679876128934","20.1643035337376","18.8667202101172","18.8270534386358","20.5445736657708","20.3936996375879","17.4203886808521","19.8667974173048","19.7887244227873","19.0822913844576","19.8152899762722","20.8409635874066","20.6262137073082","18.695199785251","19.5489178250144","20.6802188169596","19.1392104875859","19.9176253400896","18.3822553217534","21.3685580486389","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
857,"CAV1","hsa-mir-194-5p","hsa-mir-20a-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26503358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30487062'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31228941'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase","hsa-mir-20a-5p","hsa-mir-194-5p",857,18.9260961356285,17.965029551919,19.0108819033034,17.3510668012507,20.2037157756392,"17.3997941321357","19.1509721193896","20.3014801136785","17.9459589703521","18.0099864808624","19.4111194647454","17.7960818698239","19.8998393525405","15.7513121726403","18.3058582148072","18.0748913046889","19.963935830017","19.3510646974245","15.2736330167313","17.8673733697475","18.8887560138169","20.522432854538","18.2377808240732","18.1532345825709","18.4819886342109","19.8351309889183","18.501282402785","21.6219994711296","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-10a-5p","hsa-mir-106a-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>","tarbase","tarbase","hsa-mir-106a-5p","hsa-mir-10a-5p",894,16.5389057633429,16.8741774342338,14.431680383858,15.3337184300283,20.4765561423811,"16.6731327087859","19.6954258876606","16.7037958754674","20.3544481862238","20.5604769401613","14.0176434243934","16.7056783082832","14.802401295031","17.2537664857553","16.0103582725238","17.1921077290338","21.1570343495453","16.1867429300177","17.1872229713508","16.0307530233233","15.6448253489456","16.9086291155529","15.6510746818451","15.8321737196992","16.9987120128742","15.6348690699889","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-200a-3p","hsa-mir-378a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-378a-5p","hsa-mir-200a-3p",894,16.5389057633429,19.7168391668536,19.3753161037844,20.4765561423811,19.6954258876606,"17.9828791009841","20.5604769401613","15.4626935234674","18.1398263777548","17.1872229713508","19.8112312981295","19.7922934023035","16.0307530233233","14.7789228971","14.2672951303208","15.9027811017251","17.37466325684","21.6528912899283","15.8321737196992","16.9987120128742","17.3301975084478","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
990,"CDC6","hsa-mir-142-3p","hsa-mir-204-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29904404'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27035425'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-204-5p","hsa-mir-142-3p",990,16.6951979310873,16.6839364708628,15.4566973837579,16.5595636456252,16.9483171206534,"16.9969027555687","16.6882663880711","17.0865580847628","17.304329488845","15.4879697660869","14.205180798268","14.8344391728219","16.4024146375955","15.4511893549125","15.769726030134","17.067468792967","17.1397784385103","15.7657587277988","17.6001636550987","14.9147466091864","17.6686194588751","15.0979569694235","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-378a-3p","hsa-let-7f-5p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-let-7f-5p","hsa-mir-378a-3p",1021,15.1430972747663,17.3675939154174,16.8077112901084,17.1580995135468,17.0517034045894,"16.9243110959709","16.0618369151","16.5243111852452","16.0151628089611","11.2611487732657","17.2584503914972","16.9903755128963","14.9064730668527","13.666776619279","16.0639494253508","13.4398933636318","12.5797911569881","15.4834987067292","13.5678982202479","16.1748821348783","13.0478465244214","12.2994292117697","16.603541933454","13.6430340316204","18.1473412863462","16.1419194155206","15.6815009232623","17.9240468428502","17.2859364090067","16.600383899365","16.1171251335971","15.5394903924928","15.6884778483846","15.4990348008903","17.4882575946341","13.6506009413001","15.6810417619579","18.5982686233699","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-378a-3p","hsa-mir-200a-3p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>","mirtarbase tarbase","mirtarbase","hsa-mir-200a-3p","hsa-mir-378a-3p",1021,15.1430972747663,16.8077112901084,16.597593001164,17.6938125308062,16.9661303116298,"16.9243110959709","16.0618369151","16.5243111852452","15.5811032896933","16.196059546115","16.6197386918055","14.455581711798","18.1473412863462","16.6296994628639","15.6815009232623","17.7982143795982","17.0074444571686","16.1171251335971","15.6884778483846","15.4990348008903","13.9131531103811","15.3939150396595","18.5982686233699","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
